# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T04:16:22.588
# DATE-END: 2026-01-15T04:16:22.731
# TSTART: 1768450582587.81
# TSTOP: 1768450582617.82
# DATE: 2026-01-15T04:16:23
# EXPOSURE: 30000.0
# RA0: 4.984169e-22
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.116845426101
# DEC: 37.708393659175
# EQUINOX: 2000.0
# CRVAL1: 166.116845426101
# CRVAL2: 37.708393659175
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00168454988318973
# CD1_2: 0.000705425113515082
# CD2_1: -0.000705924063547131
# CD2_2: 0.00168470767376039
# A_ORDER: 2
# A_0_2: -3.67948413382778e-07
# A_1_1: -5.30830728104419e-07
# A_2_0: -3.06960619040567e-08
# B_ORDER: 2
# B_0_2: -1.51722131566652e-06
# B_1_1: -2.04349114914202e-07
# B_2_0: 3.86392464439222e-07
# AP_ORDER: 2
# AP_0_0: 1.15198819169104e-05
# AP_0_1: 7.55721392686645e-07
# AP_0_2: 3.67884340515024e-07
# AP_1_0: 1.59629249189715e-07
# AP_1_1: 5.30806088383115e-07
# AP_2_0: 3.07065707954782e-08
# BP_ORDER: 2
# BP_0_0: 2.36582461380882e-05
# BP_0_1: 1.80669186947716e-06
# BP_0_2: 1.51704977684231e-06
# BP_1_0: 1.24104024053495e-07
# BP_1_1: 2.04379895488751e-07
# BP_2_0: -3.86370798030341e-07
# NOME_FILE_FITS: 20260115_041622.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000010_stelle_trovate_e_catalogate_immagine_036.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_165.211__DEC_39.212,861.1192722300149,1634.9585908482377,165.21065081567744,39.21113658433351,22.0,59.0,NO,1798,234.999289382483,231.5049846728476,249.18,2.33,231.5049846728476,249.18,2.33,221.051253508286,233.11,2.39,3.5,run_00000010,36,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,231.5,249.18,2.33,3.5
RA_165.211__DEC_39.212,861.1192722300149,1634.9585908482377,165.21065081567744,39.21113658433351,22.0,59.0,NO,1796,234.999289382483,231.5049846728476,249.18,2.33,231.5049846728476,249.18,2.33,221.051253508286,233.11,2.39,3.5,run_00000010,36,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,231.5,249.18,2.33,3.5
RA_165.211__DEC_39.212,861.1192722300149,1634.9585908482377,165.21065081567744,39.21113658433351,22.0,59.0,NO,1796,234.999289382483,231.5049846728476,249.18,2.33,231.5049846728476,249.18,2.33,221.051253508286,233.11,2.39,3.5,run_00000010,36,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,231.5,249.18,2.33,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,99.32,111.66,1.12,3.5
RA_166.129__DEC_38.242,1427.0398622990297,1293.9963474808126,166.1300948198198,38.24146582518932,9.0,27.0,NO,1807,95.74211889176372,99.32422571737374,111.66,1.12,99.32422571737374,111.66,1.12,69.74772361962393,94.02,1.23,3.5,run_00000010,36,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,99.32,111.66,1.12,3.5
RA_167.329__DEC_36.312,2322.9934438086,526.2451624044329,167.3304482904585,36.309714160979205,24.0,35.0,NO,1708,253.0825441985651,225.4233437175326,258.08,2.87,225.4233437175326,258.46,2.89,200.05214093801143,230.94,2.86,3.5,run_00000010,36,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,234.92,265.96,2.69,3.91
RA_167.329__DEC_36.312,2322.9934438086,526.2451624044329,167.3304482904585,36.309714160979205,24.0,35.0,NO,1705,253.0825441985651,225.4233437175326,258.08,2.87,225.4233437175326,258.46,2.89,200.05214093801143,230.94,2.86,3.5,run_00000010,36,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,234.92,265.96,2.69,3.91
RA_167.329__DEC_36.312,2322.9934438086,526.2451624044329,167.3304482904585,36.309714160979205,24.0,35.0,NO,1702,253.0825441985651,225.4233437175326,258.08,2.87,225.4233437175326,258.46,2.89,200.05214093801143,230.94,2.86,3.5,run_00000010,36,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,234.92,265.96,2.69,3.91
RA_167.329__DEC_36.312,2322.9934438086,526.2451624044329,167.3304482904585,36.309714160979205,24.0,35.0,NO,1705,253.0825441985651,225.4233437175326,258.08,2.87,225.4233437175326,258.46,2.89,200.05214093801143,230.94,2.86,3.5,run_00000010,36,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,234.92,265.96,2.69,3.91
RA_167.329__DEC_36.312,2322.9934438086,526.2451624044329,167.3304482904585,36.309714160979205,24.0,35.0,NO,1700,253.0825441985651,225.4233437175326,258.08,2.87,225.4233437175326,258.46,2.89,200.05214093801143,230.94,2.86,3.5,run_00000010,36,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,234.92,265.96,2.69,3.91
RA_168.135__DEC_35.813,2758.991664676866,419.5198010524391,168.13503723278492,35.81210447919878,6.0,11.0,NO,174,70.54303847166645,72.04049835328672,70.35,1.15,72.04049835328672,70.35,1.15,33.467720358948625,22.33,2.16,3.5,run_00000010,36,SI (Rank 1),I/239/hip_main,54745.0,168.1347949457,35.8140802817,6.41,72.04,70.35,1.15,3.5
RA_168.135__DEC_35.813,2758.991664676866,419.5198010524391,168.13503723278492,35.81210447919878,6.0,11.0,NO,174,70.54303847166645,72.04049835328672,70.35,1.15,72.04049835328672,70.35,1.15,33.467720358948625,22.33,2.16,3.5,run_00000010,36,SI (Rank 2),II/389/ps1_dr2,1.5097168134110653e+17,168.13427445,35.81326892,8.1759,72.04,70.35,1.15,3.5
