# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T04:28:51.513
# DATE-END: 2026-01-15T04:28:51.658
# TSTART: 1768451331513.36
# TSTOP: 1768451331543.37
# DATE: 2026-01-15T04:28:52
# EXPOSURE: 30000.0
# RA0: 4.984169e-22
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112787923829
# DEC: 37.7102452094443
# EQUINOX: 2000.0
# CRVAL1: 166.112787923829
# CRVAL2: 37.7102452094442
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.0018149608193691
# CD1_2: 0.00021070609859178
# CD2_1: -0.000209886478961407
# CD2_2: 0.00181527080181382
# A_ORDER: 2
# A_0_2: 2.23741898773637e-07
# A_1_1: 9.64224741858569e-07
# A_2_0: -5.07062291160503e-08
# B_ORDER: 2
# B_0_2: 7.98566492210617e-07
# B_1_1: -1.31665927124794e-07
# B_2_0: 6.22449733072074e-07
# AP_ORDER: 2
# AP_0_0: 1.94849789830309e-05
# AP_0_1: 3.77028450869842e-07
# AP_0_2: -2.23782508088386e-07
# AP_1_0: 1.48932231478585e-06
# AP_1_1: -9.64270631051444e-07
# AP_2_0: 5.06889998449456e-08
# BP_ORDER: 2
# BP_0_0: 3.18154612280352e-05
# BP_0_1: 2.65255972098267e-06
# BP_0_2: -7.98613742712735e-07
# BP_1_0: -2.76268437008569e-07
# BP_1_1: 1.316283077937e-07
# BP_2_0: -6.22476714582126e-07
# NOME_FILE_FITS: 20260115_042851.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000010_stelle_trovate_e_catalogate_immagine_073.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,1097.3729191725618,84.13223823891178,164.88835301480813,36.09406769459832,17.0,19.0,NO,1126,158.21928306242845,150.00900599160985,155.36,2.03,150.00900599160985,155.36,2.03,123.96280851872304,127.54,2.12,3.5,run_00000010,73,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,150.01,155.36,2.03,3.5
RA_164.882__DEC_36.096,1097.3729191725618,84.13223823891178,164.88835301480813,36.09406769459832,17.0,19.0,NO,1083,158.21928306242845,150.00900599160985,155.36,2.03,150.00900599160985,155.36,2.03,123.96280851872304,127.54,2.12,3.5,run_00000010,73,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,150.01,155.36,2.03,3.5
RA_164.882__DEC_36.096,1097.3729191725618,84.13223823891178,164.88835301480813,36.09406769459832,17.0,19.0,NO,1123,158.21928306242845,150.00900599160985,155.36,2.03,150.00900599160985,155.36,2.03,123.96280851872304,127.54,2.12,3.5,run_00000010,73,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,150.01,155.36,2.03,3.5
RA_164.882__DEC_36.096,1097.3729191725618,84.13223823891178,164.88835301480813,36.09406769459832,17.0,19.0,NO,1128,158.21928306242845,150.00900599160985,155.36,2.03,150.00900599160985,155.36,2.03,123.96280851872304,127.54,2.12,3.5,run_00000010,73,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,150.01,155.36,2.03,3.5
RA_164.882__DEC_36.096,1097.3729191725618,84.13223823891178,164.88835301480813,36.09406769459832,17.0,19.0,NO,1127,158.21928306242845,150.00900599160985,155.36,2.03,150.00900599160985,155.36,2.03,123.96280851872304,127.54,2.12,3.5,run_00000010,73,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,150.01,155.36,2.03,3.5
RA_165.211__DEC_39.212,1058.930866500587,1796.9394682084153,165.2093573560949,39.21330349727977,21.0,55.0,NO,1798,227.6454729215457,224.16252800404845,249.18,2.33,224.16252800404845,249.18,2.33,199.7445039147098,233.11,2.39,3.5,run_00000010,73,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,224.16,249.18,2.33,3.5
RA_165.211__DEC_39.212,1058.930866500587,1796.9394682084153,165.2093573560949,39.21330349727977,21.0,55.0,NO,1796,227.6454729215457,224.16252800404845,249.18,2.33,224.16252800404845,249.18,2.33,199.7445039147098,233.11,2.39,3.5,run_00000010,73,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,224.16,249.18,2.33,3.5
RA_165.211__DEC_39.212,1058.930866500587,1796.9394682084153,165.2093573560949,39.21330349727977,21.0,55.0,NO,1796,227.6454729215457,224.16252800404845,249.18,2.33,224.16252800404845,249.18,2.33,199.7445039147098,233.11,2.39,3.5,run_00000010,73,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,224.16,249.18,2.33,3.5
RA_166.129__DEC_38.242,1507.9896562221563,1312.1446547433904,166.12927503920938,38.24169832655909,10.0,33.0,NO,1807,115.9484577428564,118.4206622217408,111.66,1.12,118.4206622217408,111.66,1.12,100.33331949199624,94.02,1.23,3.5,run_00000010,73,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,118.42,111.66,1.12,3.5
RA_166.129__DEC_38.242,1507.9896562221563,1312.1446547433904,166.12927503920938,38.24169832655909,10.0,33.0,NO,1807,115.9484577428564,118.4206622217408,111.66,1.12,118.4206622217408,111.66,1.12,100.33331949199624,94.02,1.23,3.5,run_00000010,73,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,118.42,111.66,1.12,3.5
