# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T04:32:33.939
# DATE-END: 2026-01-15T04:32:33.083
# TSTART: 1768451553938.7
# TSTOP: 1768451553968.7
# DATE: 2026-01-15T04:32:34
# EXPOSURE: 30000.0
# RA0: 4.984169e-22
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.110576228969
# DEC: 37.7090348166564
# EQUINOX: 2000.0
# CRVAL1: 166.110576228969
# CRVAL2: 37.7090348166564
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.001827671260283
# CD1_2: 5.05073644431954e-05
# CD2_1: -4.86229500468798e-05
# CD2_2: 0.00182766414477138
# A_ORDER: 2
# A_0_2: 2.17760741906466e-06
# A_1_1: -2.5582809909463e-06
# A_2_0: 2.06923630951828e-06
# B_ORDER: 2
# B_0_2: 1.39394248519989e-06
# B_1_1: -1.2724859853456e-06
# B_2_0: 1.32747619529934e-06
# AP_ORDER: 2
# AP_0_0: 5.22270284231278e-05
# AP_0_1: -5.31528406704397e-06
# AP_0_2: -2.17776530724177e-06
# AP_1_0: 9.98761570347608e-06
# AP_1_1: 2.55828384588147e-06
# AP_2_0: -2.06932970327078e-06
# BP_ORDER: 2
# BP_0_0: 5.03202298399212e-05
# BP_0_1: -2.65742383805404e-06
# BP_0_2: -1.39406881650021e-06
# BP_1_0: 6.97912803837645e-06
# BP_1_1: 1.2724907232045e-06
# BP_2_0: -1.32756082518967e-06
# NOME_FILE_FITS: 20260115_043233.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000010_stelle_trovate_e_catalogate_immagine_084.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,1016.2536817095788,126.41177112034838,164.88556489636483,36.092237968320376,14.0,21.0,NO,1126,147.7446435511016,143.22338827268882,155.36,2.03,143.22338827268882,155.36,2.03,115.77401724545282,127.54,2.12,3.5,run_00000010,84,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,143.22,155.36,2.03,3.5
RA_164.882__DEC_36.096,1016.2536817095788,126.41177112034838,164.88556489636483,36.092237968320376,14.0,21.0,NO,1083,147.7446435511016,143.22338827268882,155.36,2.03,143.22338827268882,155.36,2.03,115.77401724545282,127.54,2.12,3.5,run_00000010,84,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,143.22,155.36,2.03,3.5
RA_164.882__DEC_36.096,1016.2536817095788,126.41177112034838,164.88556489636483,36.092237968320376,14.0,21.0,NO,1123,147.7446435511016,143.22338827268882,155.36,2.03,143.22338827268882,155.36,2.03,115.77401724545282,127.54,2.12,3.5,run_00000010,84,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,143.22,155.36,2.03,3.5
RA_164.882__DEC_36.096,1016.2536817095788,126.41177112034838,164.88556489636483,36.092237968320376,14.0,21.0,NO,1128,147.7446435511016,143.22338827268882,155.36,2.03,143.22338827268882,155.36,2.03,115.77401724545282,127.54,2.12,3.5,run_00000010,84,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,143.22,155.36,2.03,3.5
RA_164.882__DEC_36.096,1016.2536817095788,126.41177112034838,164.88556489636483,36.092237968320376,14.0,21.0,NO,1127,147.7446435511016,143.22338827268882,155.36,2.03,143.22338827268882,155.36,2.03,115.77401724545282,127.54,2.12,3.5,run_00000010,84,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,143.22,155.36,2.03,3.5
RA_165.211__DEC_39.212,1128.7137590362534,1835.67493330988,165.2130019239817,39.21390743031281,20.0,47.0,NO,1798,222.2496835246643,218.4668667398772,249.18,2.33,218.4668667398772,249.18,2.33,199.66621793184768,233.11,2.39,3.5,run_00000010,84,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,218.47,249.18,2.33,3.5
RA_165.211__DEC_39.212,1128.7137590362534,1835.67493330988,165.2130019239817,39.21390743031281,20.0,47.0,NO,1796,222.2496835246643,218.4668667398772,249.18,2.33,218.4668667398772,249.18,2.33,199.66621793184768,233.11,2.39,3.5,run_00000010,84,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,218.47,249.18,2.33,3.5
RA_165.211__DEC_39.212,1128.7137590362534,1835.67493330988,165.2130019239817,39.21390743031281,20.0,47.0,NO,1796,222.2496835246643,218.4668667398772,249.18,2.33,218.4668667398772,249.18,2.33,199.66621793184768,233.11,2.39,3.5,run_00000010,84,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,218.47,249.18,2.33,3.5
RA_166.129__DEC_38.242,1533.239487869724,1313.1664826052377,166.12677190216212,38.24052756512291,11.0,23.0,NO,1807,106.80950573136477,107.62794858086048,111.66,1.12,107.62794858086048,111.66,1.12,92.09215819465231,94.02,1.23,3.5,run_00000010,84,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,107.63,111.66,1.12,3.5
RA_166.129__DEC_38.242,1533.239487869724,1313.1664826052377,166.12677190216212,38.24052756512291,11.0,23.0,NO,1807,106.80950573136477,107.62794858086048,111.66,1.12,107.62794858086048,111.66,1.12,92.09215819465231,94.02,1.23,3.5,run_00000010,84,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,107.63,111.66,1.12,3.5
