# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T04:33:34.788
# DATE-END: 2026-01-15T04:33:34.932
# TSTART: 1768451614788.18
# TSTOP: 1768451614818.18
# DATE: 2026-01-15T04:33:35
# EXPOSURE: 30000.0
# RA0: 4.984169e-22
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.116028815204
# DEC: 37.7093764203308
# EQUINOX: 2000.0
# CRVAL1: 166.116028815204
# CRVAL2: 37.7093764203308
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00182667878229702
# CD1_2: 5.63754332308603e-06
# CD2_1: -5.68377359508647e-06
# CD2_2: 0.00182786268020035
# A_ORDER: 2
# A_0_2: -9.21995272412444e-07
# A_1_1: -6.2278566186582e-07
# A_2_0: -5.31987941127132e-07
# B_ORDER: 2
# B_0_2: -1.01212526067532e-06
# B_1_1: 8.80848079299798e-07
# B_2_0: -1.69075045141776e-08
# AP_ORDER: 2
# AP_0_0: 4.27971725674918e-05
# AP_0_1: 1.98661494648107e-06
# AP_0_2: 9.21893287227053e-07
# AP_1_0: 9.88772588162485e-07
# AP_1_1: 6.22760396313697e-07
# AP_2_0: 5.31953916675421e-07
# BP_ORDER: 2
# BP_0_0: -1.95536540937476e-06
# BP_0_1: 1.10767211018182e-06
# BP_0_2: 1.01212030613304e-06
# BP_1_0: -1.15634210859389e-06
# BP_1_1: -8.80776046628154e-07
# BP_2_0: 1.69025318550363e-08
# NOME_FILE_FITS: 20260115_043334.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000010_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,994.5053781590652,139.72205882751902,164.88711361590327,36.092322365108025,18.0,23.0,NO,1126,180.5038594876993,173.88799587948677,155.36,2.03,173.88799587948677,155.36,2.03,146.27908486357322,127.54,2.12,3.5,run_00000010,87,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,173.89,155.36,2.03,3.5
RA_164.882__DEC_36.096,994.5053781590652,139.72205882751902,164.88711361590327,36.092322365108025,18.0,23.0,NO,1083,180.5038594876993,173.88799587948677,155.36,2.03,173.88799587948677,155.36,2.03,146.27908486357322,127.54,2.12,3.5,run_00000010,87,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,173.89,155.36,2.03,3.5
RA_164.882__DEC_36.096,994.5053781590652,139.72205882751902,164.88711361590327,36.092322365108025,18.0,23.0,NO,1123,180.5038594876993,173.88799587948677,155.36,2.03,173.88799587948677,155.36,2.03,146.27908486357322,127.54,2.12,3.5,run_00000010,87,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,173.89,155.36,2.03,3.5
RA_164.882__DEC_36.096,994.5053781590652,139.72205882751902,164.88711361590327,36.092322365108025,18.0,23.0,NO,1128,180.5038594876993,173.88799587948677,155.36,2.03,173.88799587948677,155.36,2.03,146.27908486357322,127.54,2.12,3.5,run_00000010,87,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,173.89,155.36,2.03,3.5
RA_164.882__DEC_36.096,994.5053781590652,139.72205882751902,164.88711361590327,36.092322365108025,18.0,23.0,NO,1127,180.5038594876993,173.88799587948677,155.36,2.03,173.88799587948677,155.36,2.03,146.27908486357322,127.54,2.12,3.5,run_00000010,87,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,173.89,155.36,2.03,3.5
RA_165.211__DEC_39.212,1148.083144704874,1845.9551695267096,165.21016633294147,39.211112960145314,22.0,57.0,NO,1798,230.4917662344976,222.62331328002057,249.18,2.33,222.62331328002057,249.18,2.33,209.0990783861092,233.11,2.39,3.5,run_00000010,87,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,222.62,249.18,2.33,3.5
RA_165.211__DEC_39.212,1148.083144704874,1845.9551695267096,165.21016633294147,39.211112960145314,22.0,57.0,NO,1796,230.4917662344976,222.62331328002057,249.18,2.33,222.62331328002057,249.18,2.33,209.0990783861092,233.11,2.39,3.5,run_00000010,87,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,222.62,249.18,2.33,3.5
RA_165.211__DEC_39.212,1148.083144704874,1845.9551695267096,165.21016633294147,39.211112960145314,22.0,57.0,NO,1796,230.4917662344976,222.62331328002057,249.18,2.33,222.62331328002057,249.18,2.33,209.0990783861092,233.11,2.39,3.5,run_00000010,87,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,222.62,249.18,2.33,3.5
RA_166.129__DEC_38.242,1539.997605951146,1313.8397493080297,166.13072059792606,38.24170399533261,10.0,29.0,NO,1807,102.93874436369389,105.2889090630787,111.66,1.12,105.2889090630787,111.66,1.12,94.3749354305732,94.02,1.23,3.5,run_00000010,87,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,105.29,111.66,1.12,3.5
RA_166.129__DEC_38.242,1539.997605951146,1313.8397493080297,166.13072059792606,38.24170399533261,10.0,29.0,NO,1807,102.93874436369389,105.2889090630787,111.66,1.12,105.2889090630787,111.66,1.12,94.3749354305732,94.02,1.23,3.5,run_00000010,87,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,105.29,111.66,1.12,3.5
