# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T04:37:57.519
# DATE-END: 2026-01-15T04:37:57.663
# TSTART: 1768451877519.03
# TSTOP: 1768451877549.04
# DATE: 2026-01-15T04:37:58
# EXPOSURE: 30000.0
# RA0: 4.984169e-22
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113149019043
# DEC: 37.7107419827903
# EQUINOX: 2000.0
# CRVAL1: 166.113149019043
# CRVAL2: 37.7107419827903
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00181843872260605
# CD1_2: -0.000183873037214149
# CD2_1: 0.000185208611316525
# CD2_2: 0.00181757695819298
# A_ORDER: 2
# A_0_2: 1.39288339707222e-06
# A_1_1: 2.43733972669275e-07
# A_2_0: 9.8349692556324e-08
# B_ORDER: 2
# B_0_2: -1.12766813029842e-06
# B_1_1: -8.86456828687022e-07
# B_2_0: -5.75470550566999e-07
# AP_ORDER: 2
# AP_0_0: -0.000100218942406904
# AP_0_1: -3.19568177672383e-06
# AP_0_2: -1.39263341209794e-06
# AP_1_0: -1.04078274420424e-06
# AP_1_1: -2.43498124361958e-07
# AP_2_0: -9.83074204715374e-08
# BP_ORDER: 2
# BP_0_0: 8.13728067090717e-05
# BP_0_1: 2.20240091926293e-06
# BP_0_2: 1.12754653859425e-06
# BP_1_0: 9.86205818169043e-07
# BP_1_1: 8.86262383392613e-07
# BP_2_0: 5.75390622412501e-07
# NOME_FILE_FITS: 20260115_043757.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000010_stelle_trovate_e_catalogate_immagine_100.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.889DEC36.087,905.564558833876,200.7470226275504,164.88820009494174,36.09242428354266,18.0,21.0,NO,1126,158.74679746234705,154.7503574867342,155.36,2.03,154.7503574867342,155.36,2.03,133.51874740391304,127.54,2.12,3.5,run_00000010,100,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,154.75,155.36,2.03,3.5
RA_164.889DEC36.087,905.564558833876,200.7470226275504,164.88820009494174,36.09242428354266,18.0,21.0,NO,1083,158.74679746234705,154.7503574867342,155.36,2.03,154.7503574867342,155.36,2.03,133.51874740391304,127.54,2.12,3.5,run_00000010,100,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,154.75,155.36,2.03,3.5
RA_164.889DEC36.087,905.564558833876,200.7470226275504,164.88820009494174,36.09242428354266,18.0,21.0,NO,1123,158.74679746234705,154.7503574867342,155.36,2.03,154.7503574867342,155.36,2.03,133.51874740391304,127.54,2.12,3.5,run_00000010,100,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,154.75,155.36,2.03,3.5
RA_164.889DEC36.087,905.564558833876,200.7470226275504,164.88820009494174,36.09242428354266,18.0,21.0,NO,1128,158.74679746234705,154.7503574867342,155.36,2.03,154.7503574867342,155.36,2.03,133.51874740391304,127.54,2.12,3.5,run_00000010,100,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,154.75,155.36,2.03,3.5
RA_164.889DEC36.087,905.564558833876,200.7470226275504,164.88820009494174,36.09242428354266,18.0,21.0,NO,1127,158.74679746234705,154.7503574867342,155.36,2.03,154.7503574867342,155.36,2.03,133.51874740391304,127.54,2.12,3.5,run_00000010,100,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,154.75,155.36,2.03,3.5
RA_165.211__DEC_39.212,1236.420423174284,1881.710066848345,165.2124506429159,39.21238831862555,25.0,48.0,NO,1798,270.3576879963496,260.3493893526337,249.18,2.33,260.3493893526337,249.18,2.33,241.06161776195069,233.11,2.39,3.5,run_00000010,100,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,260.35,249.18,2.33,3.5
RA_165.211__DEC_39.212,1236.420423174284,1881.710066848345,165.2124506429159,39.21238831862555,25.0,48.0,NO,1796,270.3576879963496,260.3493893526337,249.18,2.33,260.3493893526337,249.18,2.33,241.06161776195069,233.11,2.39,3.5,run_00000010,100,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,260.35,249.18,2.33,3.5
RA_165.211__DEC_39.212,1236.420423174284,1881.710066848345,165.2124506429159,39.21238831862555,25.0,48.0,NO,1796,270.3576879963496,260.3493893526337,249.18,2.33,260.3493893526337,249.18,2.33,241.06161776195069,233.11,2.39,3.5,run_00000010,100,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,260.35,249.18,2.33,3.5
RA_166.129__DEC_38.242,1570.661113535353,1311.4047360006805,166.12953538671744,38.24236228150982,13.0,35.0,NO,1807,110.95901587088144,111.7601486905618,111.66,1.12,111.7601486905618,111.66,1.12,95.76482939937324,94.02,1.23,3.5,run_00000010,100,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,111.76,111.66,1.12,3.5
RA_166.129__DEC_38.242,1570.661113535353,1311.4047360006805,166.12953538671744,38.24236228150982,13.0,35.0,NO,1807,110.95901587088144,111.7601486905618,111.66,1.12,111.7601486905618,111.66,1.12,95.76482939937324,94.02,1.23,3.5,run_00000010,100,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,111.76,111.66,1.12,3.5
