# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T02:20:08.600
# DATE-END: 2026-01-16T02:20:08.743
# TSTART: 1768530008600.03
# TSTOP: 1768530008630.04
# DATE: 2026-01-16T02:20:09
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.748802295722
# DEC: 38.2073007834404
# EQUINOX: 2000.0
# CRVAL1: 166.748802295722
# CRVAL2: 38.2073007834404
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000299690795512758
# CD1_2: 0.00180507247047123
# CD2_1: -0.00180022010444833
# CD2_2: 0.000299207895055272
# A_ORDER: 2
# A_0_2: -1.35578383251587e-06
# A_1_1: -1.50518158152641e-06
# A_2_0: 3.40890687515663e-07
# B_ORDER: 2
# B_0_2: 1.14137293659875e-06
# B_1_1: 4.62902394461043e-07
# B_2_0: 4.40689668477524e-08
# AP_ORDER: 2
# AP_0_0: -8.4958992261086e-05
# AP_0_1: -2.60489820583291e-06
# AP_0_2: 1.35590336284975e-06
# AP_1_0: -3.2440166494254e-07
# AP_1_1: 1.50534663305554e-06
# AP_2_0: -3.40823306105006e-07
# BP_ORDER: 2
# BP_0_0: 5.04200367349883e-05
# BP_0_1: 1.52501291568474e-06
# BP_0_2: -1.14156017811855e-06
# BP_1_0: 3.44198011890873e-07
# BP_1_1: -4.62958122813383e-07
# BP_2_0: -4.40820046529657e-08
# NOME_FILE_FITS: 20260116_022008.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000011_stelle_trovate_e_catalogate_immagine_013.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1316,225.54634097583155,197.1942052399804,226.68,3.97,197.9979274809944,227.50,4.01,172.35420003155892,202.99,3.99,3.6744747744103328,run_00000011,13,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,201.75,231.96,3.87,3.95
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1315,225.54634097583155,197.1942052399804,226.68,3.97,197.9979274809944,227.50,4.01,172.35420003155892,202.99,3.99,3.6744747744103328,run_00000011,13,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,201.75,231.96,3.87,3.95
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1314,225.54634097583155,197.1942052399804,225.64,3.89,197.9979274809944,226.43,3.93,172.35420003155892,201.93,3.91,3.6744747744103328,run_00000011,13,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,201.24,230.32,3.78,3.91
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1313,225.54634097583155,197.1942052399804,226.68,3.97,197.9979274809944,227.50,4.01,172.35420003155892,202.99,3.99,3.6744747744103328,run_00000011,13,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,201.75,231.96,3.87,3.95
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1308,225.54634097583155,197.1942052399804,227.50,3.99,197.9979274809944,228.36,4.04,172.35420003155892,203.75,4.00,3.6744747744103328,run_00000011,13,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,201.81,232.85,3.90,3.96
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1314,225.54634097583155,197.1942052399804,225.64,3.89,197.9979274809944,226.43,3.93,172.35420003155892,201.93,3.91,3.6744747744103328,run_00000011,13,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,201.24,230.32,3.78,3.91
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1315,225.54634097583155,197.1942052399804,226.49,3.92,197.9979274809944,227.32,3.97,172.35420003155892,202.72,3.92,3.6744747744103328,run_00000011,13,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,201.58,231.60,3.83,3.94
RA_164.865__DEC_40.434,196.5904408321617,449.7053006095696,164.86696770458855,40.43007041924994,23.0,20.0,NO,1274,225.54634097583155,197.1942052399804,226.27,3.90,197.9979274809944,227.07,3.93,172.35420003155892,202.23,3.88,3.6744747744103328,run_00000011,13,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,201.28,231.03,3.79,3.91
RA_164.882__DEC_36.096,2534.7855706318114,20.39613951162986,164.88463753100876,36.09256890696593,12.0,13.0,NO,1126,127.75795353269967,116.98331291011084,117.96,3.16,116.98331291011084,117.96,3.16,76.89024092493972,74.90,3.87,3.5,run_00000011,13,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,116.98,117.96,3.16,3.5
RA_164.882__DEC_36.096,2534.7855706318114,20.39613951162986,164.88463753100876,36.09256890696593,12.0,13.0,NO,1083,127.75795353269967,116.98331291011084,115.02,3.10,116.98331291011084,115.02,3.10,76.89024092493972,71.48,3.88,3.5,run_00000011,13,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,116.98,115.02,3.10,3.5
