# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T02:22:10.767
# DATE-END: 2026-01-16T02:22:10.911
# TSTART: 1768530130766.76
# TSTOP: 1768530130796.77
# DATE: 2026-01-16T02:22:11
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.753081151465
# DEC: 38.2125652800756
# EQUINOX: 2000.0
# CRVAL1: 166.753081151465
# CRVAL2: 38.2125652800756
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000314174923609943
# CD1_2: 0.00180199362833314
# CD2_1: -0.00179870821478545
# CD2_2: 0.000316441848872467
# A_ORDER: 2
# A_0_2: 5.64116893225863e-08
# A_1_1: 9.61463141301398e-08
# A_2_0: 1.18457494377856e-07
# B_ORDER: 2
# B_0_2: 4.0404043891229e-07
# B_1_1: -3.86693046300097e-07
# B_2_0: -2.46770875891071e-07
# AP_ORDER: 2
# AP_0_0: 2.91985246632838e-07
# AP_0_1: 7.75770744064117e-09
# AP_0_2: -5.64142079694736e-08
# AP_1_0: 1.2894462100991e-08
# AP_1_1: -9.61459448410486e-08
# AP_2_0: -1.18457216401362e-07
# BP_ORDER: 2
# BP_0_0: -1.0021926656556e-06
# BP_0_1: 8.05400683909271e-08
# BP_0_2: -4.04045862010804e-07
# BP_1_0: -1.38509189774671e-07
# BP_1_1: 3.8671325108216e-07
# BP_2_0: 2.46771496898186e-07
# NOME_FILE_FITS: 20260116_022210.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000011_stelle_trovate_e_catalogate_immagine_019.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1316,208.31807099507907,191.84877377525703,226.68,3.97,192.1935930060116,227.50,4.01,169.6243184428289,202.99,3.99,3.5162252811739343,run_00000011,19,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,198.5,231.96,3.87,3.95
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1315,208.31807099507907,191.84877377525703,226.68,3.97,192.1935930060116,227.50,4.01,169.6243184428289,202.99,3.99,3.5162252811739343,run_00000011,19,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,198.5,231.96,3.87,3.95
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1314,208.31807099507907,191.84877377525703,225.64,3.89,192.1935930060116,226.43,3.93,169.6243184428289,201.93,3.91,3.5162252811739343,run_00000011,19,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,198.09,230.32,3.78,3.91
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1313,208.31807099507907,191.84877377525703,226.68,3.97,192.1935930060116,227.50,4.01,169.6243184428289,202.99,3.99,3.5162252811739343,run_00000011,19,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,198.5,231.96,3.87,3.95
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1308,208.31807099507907,191.84877377525703,227.50,3.99,192.1935930060116,228.36,4.04,169.6243184428289,203.75,4.00,3.5162252811739343,run_00000011,19,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,198.55,232.85,3.90,3.96
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1314,208.31807099507907,191.84877377525703,225.64,3.89,192.1935930060116,226.43,3.93,169.6243184428289,201.93,3.91,3.5162252811739343,run_00000011,19,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,198.09,230.32,3.78,3.91
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1315,208.31807099507907,191.84877377525703,226.49,3.92,192.1935930060116,227.32,3.97,169.6243184428289,202.72,3.92,3.5162252811739343,run_00000011,19,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,198.37,231.60,3.83,3.94
RA_164.865__DEC_40.434,192.8274595064804,458.0268695358863,164.86341563953775,40.42996316031934,21.0,20.0,NO,1274,208.31807099507907,191.84877377525703,226.27,3.90,192.1935930060116,227.07,3.93,169.6243184428289,202.23,3.88,3.5162252811739343,run_00000011,19,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,198.12,231.03,3.79,3.91
RA_164.882__DEC_36.096,2527.780782770649,10.808676203910546,164.88604949428705,36.09230255761952,13.0,16.0,NO,1126,142.2174713993313,130.40985608504096,117.96,3.16,130.40985608504096,117.96,3.16,92.48282102112644,74.90,3.87,3.5,run_00000011,19,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,130.41,117.96,3.16,3.5
RA_164.882__DEC_36.096,2527.780782770649,10.808676203910546,164.88604949428705,36.09230255761952,13.0,16.0,NO,1083,142.2174713993313,130.40985608504096,115.02,3.10,130.40985608504096,115.02,3.10,92.48282102112644,71.48,3.88,3.5,run_00000011,19,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,130.41,115.02,3.10,3.5
RA_164.882__DEC_36.096,2527.780782770649,10.808676203910546,164.88604949428705,36.09230255761952,13.0,16.0,NO,1123,142.2174713993313,130.40985608504096,117.96,3.16,130.40985608504096,117.96,3.16,92.48282102112644,74.90,3.87,3.5,run_00000011,19,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,130.41,117.96,3.16,3.5
RA_164.882__DEC_36.096,2527.780782770649,10.808676203910546,164.88604949428705,36.09230255761952,13.0,16.0,NO,1128,142.2174713993313,130.40985608504096,117.96,3.16,130.40985608504096,117.96,3.16,92.48282102112644,74.90,3.87,3.5,run_00000011,19,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,130.41,117.96,3.16,3.5
RA_164.882__DEC_36.096,2527.780782770649,10.808676203910546,164.88604949428705,36.09230255761952,13.0,16.0,NO,1127,142.2174713993313,130.40985608504096,116.80,3.07,130.40985608504096,116.80,3.07,92.48282102112644,73.58,3.81,3.5,run_00000011,19,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,130.41,116.79,3.07,3.5
RA_165.211__DEC_39.212,876.9851292563097,473.9965277615135,165.21096294563446,39.21117752294625,21.0,38.0,NO,1798,233.27298780965327,224.6207064895549,247.99,3.40,224.6207064895549,248.08,3.40,187.43504225821468,229.31,3.60,3.5,run_00000011,19,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,224.62,247.99,3.40,3.5
RA_165.211__DEC_39.212,876.9851292563097,473.9965277615135,165.21096294563446,39.21117752294625,21.0,38.0,NO,1796,233.27298780965327,224.6207064895549,247.99,3.40,224.6207064895549,248.08,3.40,187.43504225821468,229.31,3.60,3.5,run_00000011,19,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,224.62,247.99,3.40,3.5
RA_165.211__DEC_39.212,876.9851292563097,473.9965277615135,165.21096294563446,39.21117752294625,21.0,38.0,NO,1796,233.27298780965327,224.6207064895549,247.99,3.40,224.6207064895549,248.08,3.40,187.43504225821468,229.31,3.60,3.5,run_00000011,19,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,224.62,247.99,3.40,3.5
RA_166.129__DEC_38.242,1471.4644668753103,762.4690475126132,166.1313212448496,38.24201879547864,12.0,24.0,NO,1807,106.8941743074936,106.8657814198878,104.42,2.25,106.8657814198878,104.42,2.25,76.36084910616432,76.30,2.78,3.5,run_00000011,19,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,106.87,104.42,2.25,3.5
RA_166.129__DEC_38.242,1471.4644668753103,762.4690475126132,166.1313212448496,38.24201879547864,12.0,24.0,NO,1807,106.8941743074936,106.8657814198878,104.42,2.25,106.8657814198878,104.42,2.25,76.36084910616432,76.30,2.78,3.5,run_00000011,19,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,106.87,104.42,2.25,3.5
RA_166.129__DEC_38.242,1471.4644668753103,762.4690475126132,166.1313212448496,38.24201879547864,12.0,24.0,NO,1807,106.8941743074936,106.8657814198878,104.42,2.25,106.8657814198878,104.42,2.25,76.36084910616432,76.30,2.78,3.5,run_00000011,19,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,106.87,104.42,2.25,3.5
RA_166.129__DEC_38.242,1471.4644668753103,762.4690475126132,166.1313212448496,38.24201879547864,12.0,24.0,NO,1807,106.8941743074936,106.8657814198878,104.42,2.25,106.8657814198878,104.42,2.25,76.36084910616432,76.30,2.78,3.5,run_00000011,19,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,106.87,104.42,2.25,3.5
RA_166.129__DEC_38.242,1471.4644668753103,762.4690475126132,166.1313212448496,38.24201879547864,12.0,24.0,NO,1807,106.8941743074936,106.8657814198878,104.42,2.25,106.8657814198878,104.42,2.25,76.36084910616432,76.30,2.78,3.5,run_00000011,19,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,106.87,104.42,2.25,3.5
RA_166.129__DEC_38.242,1471.4644668753103,762.4690475126132,166.1313212448496,38.24201879547864,12.0,24.0,NO,1807,106.8941743074936,106.8657814198878,104.42,2.25,106.8657814198878,104.42,2.25,76.36084910616432,76.30,2.78,3.5,run_00000011,19,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,106.87,104.42,2.25,3.5
RA_166.129__DEC_38.242,1471.4644668753103,762.4690475126132,166.1313212448496,38.24201879547864,12.0,24.0,NO,1807,106.8941743074936,106.8657814198878,104.42,2.25,106.8657814198878,104.42,2.25,76.36084910616432,76.30,2.78,3.5,run_00000011,19,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,106.87,104.42,2.25,3.5
