# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T02:22:31.122
# DATE-END: 2026-01-16T02:22:31.267
# TSTART: 1768530151122.36
# TSTOP: 1768530151152.37
# DATE: 2026-01-16T02:22:32
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.74908682218
# DEC: 38.2088967132919
# EQUINOX: 2000.0
# CRVAL1: 166.74908682218
# CRVAL2: 38.2088967132919
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000316295123220023
# CD1_2: 0.00179761284577585
# CD2_1: -0.00179972986519311
# CD2_2: 0.000318706454021644
# A_ORDER: 2
# A_0_2: 2.06017962203539e-06
# A_1_1: -2.54351156583052e-07
# A_2_0: -2.95366965946607e-07
# B_ORDER: 2
# B_0_2: -6.68509867402994e-06
# B_1_1: -1.64141492556133e-06
# B_2_0: 1.88001426236639e-06
# AP_ORDER: 2
# AP_0_0: -0.000371070128080338
# AP_0_1: -1.09310980245377e-05
# AP_0_2: -2.05782847357687e-06
# AP_1_0: -2.65808574701298e-06
# AP_1_1: 2.54405728972077e-07
# AP_2_0: 2.95183842366249e-07
# BP_ORDER: 2
# BP_0_0: 0.00119916485533101
# BP_0_1: 3.57690456742552e-05
# BP_0_2: 6.67756351302156e-06
# BP_1_0: 8.36428351402399e-06
# BP_1_1: 1.64001136992522e-06
# BP_2_0: -1.87929150220777e-06
# NOME_FILE_FITS: 20260116_022231.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000011_stelle_trovate_e_catalogate_immagine_020.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1316,274.325272916691,257.4340978589987,226.68,3.97,258.41764898450657,227.50,4.01,234.61105941336248,202.99,3.99,3.761882881821721,run_00000011,20,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,262.26,231.96,3.87,3.95
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1315,274.325272916691,257.4340978589987,226.68,3.97,258.41764898450657,227.50,4.01,234.61105941336248,202.99,3.99,3.761882881821721,run_00000011,20,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,262.26,231.96,3.87,3.95
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1314,274.325272916691,257.4340978589987,225.64,3.89,258.41764898450657,226.43,3.93,234.61105941336248,201.93,3.91,3.761882881821721,run_00000011,20,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,261.47,230.32,3.78,3.91
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1313,274.325272916691,257.4340978589987,226.68,3.97,258.41764898450657,227.50,4.01,234.61105941336248,202.99,3.99,3.761882881821721,run_00000011,20,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,262.26,231.96,3.87,3.95
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1308,274.325272916691,257.4340978589987,227.50,3.99,258.41764898450657,228.36,4.04,234.61105941336248,203.75,4.00,3.761882881821721,run_00000011,20,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,262.36,232.85,3.90,3.96
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1314,274.325272916691,257.4340978589987,225.64,3.89,258.41764898450657,226.43,3.93,234.61105941336248,201.93,3.91,3.761882881821721,run_00000011,20,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,261.47,230.32,3.78,3.91
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1315,274.325272916691,257.4340978589987,226.49,3.92,258.41764898450657,227.32,3.97,234.61105941336248,202.72,3.92,3.761882881821721,run_00000011,20,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,262.0,231.60,3.83,3.94
RA_164.865__DEC_40.434,190.82127603889631,461.36266423633407,164.86732095022992,40.43207360015937,26.0,28.0,NO,1274,274.325272916691,257.4340978589987,226.27,3.90,258.41764898450657,227.07,3.93,234.61105941336248,202.23,3.88,3.761882881821721,run_00000011,20,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,261.53,231.03,3.79,3.91
RA_164.889DEC36.087,2525.457414304039,11.503831889094704,164.8830607976549,36.08492488528098,14.0,13.0,NO,1126,148.1094077623729,137.32839606274158,117.96,3.16,137.32839606274158,117.96,3.16,97.5377986677849,74.90,3.87,3.5,run_00000011,20,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,137.33,117.96,3.16,3.5
RA_164.889DEC36.087,2525.457414304039,11.503831889094704,164.8830607976549,36.08492488528098,14.0,13.0,NO,1123,148.1094077623729,137.32839606274158,117.96,3.16,137.32839606274158,117.96,3.16,97.5377986677849,74.90,3.87,3.5,run_00000011,20,SI (Rank 2),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,137.33,117.96,3.16,3.5
RA_164.889DEC36.087,2525.457414304039,11.503831889094704,164.8830607976549,36.08492488528098,14.0,13.0,NO,1128,148.1094077623729,137.32839606274158,117.96,3.16,137.32839606274158,117.96,3.16,97.5377986677849,74.90,3.87,3.5,run_00000011,20,SI (Rank 3),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,137.33,117.96,3.16,3.5
RA_164.889DEC36.087,2525.457414304039,11.503831889094704,164.8830607976549,36.08492488528098,14.0,13.0,NO,1127,148.1094077623729,137.32839606274158,116.80,3.07,137.32839606274158,116.80,3.07,97.5377986677849,73.58,3.81,3.5,run_00000011,20,SI (Rank 4),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,137.33,116.79,3.07,3.5
RA_164.889DEC36.087,2525.457414304039,11.503831889094704,164.8830607976549,36.08492488528098,14.0,13.0,NO,262,148.1094077623729,137.32839606274158,118.88,2.83,137.32839606274158,118.88,2.83,97.5377986677849,75.20,4.81,3.5,run_00000011,20,SI (Rank 5),II/389/ps1_dr2,1.513016487574839e+17,164.87577662,36.08615428,13.3087,137.33,118.88,2.83,3.5
RA_165.211__DEC_39.212,875.0197389372728,476.4065606767332,165.2093899882352,39.21022654569193,26.0,49.0,NO,1798,279.5129487998223,263.1797338540575,247.99,3.40,263.1797338540575,248.08,3.40,243.492545777884,229.31,3.60,3.5,run_00000011,20,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,263.18,247.99,3.40,3.5
RA_165.211__DEC_39.212,875.0197389372728,476.4065606767332,165.2093899882352,39.21022654569193,26.0,49.0,NO,1796,279.5129487998223,263.1797338540575,247.99,3.40,263.1797338540575,248.08,3.40,243.492545777884,229.31,3.60,3.5,run_00000011,20,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,263.18,247.99,3.40,3.5
RA_165.211__DEC_39.212,875.0197389372728,476.4065606767332,165.2093899882352,39.21022654569193,26.0,49.0,NO,1796,279.5129487998223,263.1797338540575,247.99,3.40,263.1797338540575,248.08,3.40,243.492545777884,229.31,3.60,3.5,run_00000011,20,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,263.18,247.99,3.40,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,84.86,104.42,2.25,3.5
RA_166.129__DEC_38.242,1469.999012320524,764.0212387722776,166.1305195893991,38.2405924569521,9.0,26.0,NO,1807,83.82593711499841,84.86144963272328,104.42,2.25,84.86144963272328,104.42,2.25,60.33091121170922,76.30,2.78,3.5,run_00000011,20,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,84.86,104.42,2.25,3.5
RA_167.329__DEC_36.312,2602.495920201148,1094.6913449549552,167.33328976979195,36.31032710112413,18.0,22.0,NO,1708,213.7944631266485,178.24700215582914,208.80,3.84,178.24700215582914,209.34,3.92,136.23606502945725,174.26,4.03,3.5,run_00000011,20,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,188.72,216.78,3.76,3.89
RA_167.329__DEC_36.312,2602.495920201148,1094.6913449549552,167.33328976979195,36.31032710112413,18.0,22.0,NO,1705,213.7944631266485,178.24700215582914,208.80,3.84,178.24700215582914,209.34,3.92,136.23606502945725,174.26,4.03,3.5,run_00000011,20,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,188.72,216.78,3.76,3.89
RA_167.329__DEC_36.312,2602.495920201148,1094.6913449549552,167.33328976979195,36.31032710112413,18.0,22.0,NO,1702,213.7944631266485,178.24700215582914,208.80,3.84,178.24700215582914,209.34,3.92,136.23606502945725,174.26,4.03,3.5,run_00000011,20,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,188.72,216.78,3.76,3.89
RA_167.329__DEC_36.312,2602.495920201148,1094.6913449549552,167.33328976979195,36.31032710112413,18.0,22.0,NO,1705,213.7944631266485,178.24700215582914,208.80,3.84,178.24700215582914,209.34,3.92,136.23606502945725,174.26,4.03,3.5,run_00000011,20,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,188.72,216.78,3.76,3.89
RA_167.329__DEC_36.312,2602.495920201148,1094.6913449549552,167.33328976979195,36.31032710112413,18.0,22.0,NO,1700,213.7944631266485,178.24700215582914,208.80,3.84,178.24700215582914,209.34,3.92,136.23606502945725,174.26,4.03,3.5,run_00000011,20,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,188.72,216.78,3.76,3.89
