# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T03:27:44.875
# DATE-END: 2026-01-16T03:27:44.020
# TSTART: 1768534064875.05
# TSTOP: 1768534064905.06
# DATE: 2026-01-16T03:27:46
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112753363922
# DEC: 38.7104851222203
# EQUINOX: 2000.0
# CRVAL1: 166.112753363922
# CRVAL2: 38.7104851222203
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00101281446399015
# CD1_2: 0.0015267078432519
# CD2_1: -0.00151776543561757
# CD2_2: 0.00101125335423608
# A_ORDER: 2
# A_0_2: 1.53205604634754e-06
# A_1_1: -2.86221170399512e-06
# A_2_0: 1.17418830459495e-06
# B_ORDER: 2
# B_0_2: 4.28147922612971e-06
# B_1_1: -7.18032093500876e-07
# B_2_0: 9.28122807739578e-07
# AP_ORDER: 2
# AP_0_0: 1.49781869716037e-05
# AP_0_1: 1.23373038955664e-06
# AP_0_2: -1.53277987610592e-06
# AP_1_0: -7.83596066806115e-07
# AP_1_1: 2.86251816518927e-06
# AP_2_0: -1.17402989425637e-06
# BP_ORDER: 2
# BP_0_0: 0.000678105558340765
# BP_0_1: 2.43408532152195e-05
# BP_0_2: -4.28447730679633e-06
# BP_1_0: 7.22736540852743e-07
# BP_1_1: 7.18220427656575e-07
# BP_2_0: -9.28256781214482e-07
# NOME_FILE_FITS: 20260116_032744.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000012_stelle_trovate_e_catalogate_immagine_024.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1316,274.988993567937,251.58788113311337,251.27,3.47,251.58788113311337,251.27,3.47,231.21629820835412,232.54,3.49,3.5,run_00000012,24,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,251.59,251.27,3.47,3.5
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1315,274.988993567937,251.58788113311337,251.45,3.56,251.58788113311337,251.45,3.56,231.21629820835412,232.75,3.58,3.5,run_00000012,24,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,251.59,251.45,3.56,3.5
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1314,274.988993567937,251.58788113311337,251.45,3.56,251.58788113311337,251.45,3.56,231.21629820835412,232.75,3.58,3.5,run_00000012,24,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,251.59,251.45,3.56,3.5
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1313,274.988993567937,251.58788113311337,251.45,3.56,251.58788113311337,251.45,3.56,231.21629820835412,232.75,3.58,3.5,run_00000012,24,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,251.59,251.45,3.56,3.5
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1308,274.988993567937,251.58788113311337,251.30,3.57,251.58788113311337,251.30,3.57,231.21629820835412,232.46,3.58,3.5,run_00000012,24,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,251.59,251.30,3.57,3.5
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1314,274.988993567937,251.58788113311337,251.45,3.56,251.58788113311337,251.45,3.56,231.21629820835412,232.75,3.58,3.5,run_00000012,24,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,251.59,251.45,3.56,3.5
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1315,274.988993567937,251.58788113311337,251.30,3.57,251.58788113311337,251.30,3.57,231.21629820835412,232.46,3.58,3.5,run_00000012,24,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,251.59,251.30,3.57,3.5
RA_164.865__DEC_40.434,457.9852308985752,1112.9188439816874,164.8669963571977,40.4272989119954,23.0,37.0,NO,1274,274.988993567937,251.58788113311337,251.64,3.67,251.58788113311337,251.64,3.67,231.21629820835412,232.59,3.67,3.5,run_00000012,24,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,251.59,251.64,3.67,3.5
RA_165.211__DEC_39.212,1091.0272073920396,856.2315484586356,165.20607254425502,39.212062281343925,24.0,65.0,NO,1798,267.91221939980534,260.3879844292005,272.84,2.74,260.3879844292005,272.84,2.74,246.88847137153223,256.70,2.69,3.5,run_00000012,24,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,260.39,272.84,2.74,3.5
RA_165.211__DEC_39.212,1091.0272073920396,856.2315484586356,165.20607254425502,39.212062281343925,24.0,65.0,NO,1796,267.91221939980534,260.3879844292005,272.84,2.74,260.3879844292005,272.84,2.74,246.88847137153223,256.70,2.69,3.5,run_00000012,24,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,260.39,272.84,2.74,3.5
