# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T03:44:04.483
# DATE-END: 2026-01-16T03:44:04.627
# TSTART: 1768535044482.86
# TSTOP: 1768535044512.87
# DATE: 2026-01-16T03:44:05
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.470680570822
# DEC: 38.2145527868668
# EQUINOX: 2000.0
# CRVAL1: 165.470680570822
# CRVAL2: 38.2145527868668
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00126747527488177
# CD1_2: 0.00132200060172739
# CD2_1: -0.00131352477847938
# CD2_2: 0.00126072290986675
# A_ORDER: 2
# A_0_2: 2.27966901835625e-05
# A_1_1: -1.19863208473636e-05
# A_2_0: 5.09175744118547e-07
# B_ORDER: 2
# B_0_2: -3.14219464209958e-06
# B_1_1: 1.96058190601118e-06
# B_2_0: -2.66957102755265e-08
# AP_ORDER: 2
# AP_0_0: -0.00571640149338707
# AP_0_1: -0.000306237542586452
# AP_0_2: -2.27830446262356e-05
# AP_1_0: 0.000107638351031072
# AP_1_1: 1.19775431769553e-05
# AP_2_0: -5.05948365601711e-07
# BP_ORDER: 2
# BP_0_0: 0.000859210520913511
# BP_0_1: 4.65532453868104e-05
# BP_0_2: 3.1400567832084e-06
# BP_1_0: -1.57538071245094e-05
# BP_1_1: -1.95927382675611e-06
# BP_2_0: 2.62365378194293e-08
# NOME_FILE_FITS: 20260116_034404.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000013_stelle_trovate_e_catalogate_immagine_015.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.894__DEC_40.402,481.2573175510303,1684.5095582664776,164.89400246119223,40.40178630344612,26.0,34.0,NO,1,257.39280445066066,241.39764034720503,241.40,NaN,241.39764034720503,241.40,NaN,229.4250527521372,229.43,NaN,3.5,run_00000013,15,NO,,INT_49,,,,241.4,241.40,NaN,3.5
RA_164.915__DEC_36.062,2187.60415782254,31.55271807281313,164.9149957475761,36.06172063617677,15.0,17.0,NO,1,149.96927686425025,145.0808427789831,145.08,NaN,145.0808427789831,145.08,NaN,113.30968971950692,113.31,NaN,3.5,run_00000013,15,NO,,INT_50,,,,145.08,145.08,NaN,3.5
RA_165.211__DEC_39.212,1061.2165619006091,1322.81148504888,165.2142773614782,39.20864673774376,22.0,47.0,NO,1798,270.6599690884706,266.668534891983,269.17,2.49,266.668534891983,269.17,2.49,249.17999491015124,253.67,2.46,3.5,run_00000013,15,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,266.67,269.17,2.49,3.5
RA_165.211__DEC_39.212,1061.2165619006091,1322.81148504888,165.2142773614782,39.20864673774376,22.0,47.0,NO,1796,270.6599690884706,266.668534891983,269.17,2.49,266.668534891983,269.17,2.49,249.17999491015124,253.67,2.46,3.5,run_00000013,15,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,266.67,269.17,2.49,3.5
RA_165.211__DEC_39.212,1061.2165619006091,1322.81148504888,165.2142773614782,39.20864673774376,22.0,47.0,NO,1796,270.6599690884706,266.668534891983,269.17,2.49,266.668534891983,269.17,2.49,249.17999491015124,253.67,2.46,3.5,run_00000013,15,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,266.67,269.17,2.49,3.5
RA_166.129__DEC_38.242,1716.2050244852255,1237.956454163916,166.1274458452098,38.24479558452816,10.0,24.0,NO,1807,103.248413529896,105.184006974855,111.15,1.30,105.184006974855,111.15,1.30,88.73354772253785,90.71,1.19,3.5,run_00000013,15,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,105.18,111.15,1.30,3.5
RA_166.129__DEC_38.242,1716.2050244852255,1237.956454163916,166.1274458452098,38.24479558452816,10.0,24.0,NO,1807,103.248413529896,105.184006974855,111.15,1.30,105.184006974855,111.15,1.30,88.73354772253785,90.71,1.19,3.5,run_00000013,15,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,105.18,111.15,1.30,3.5
RA_166.129__DEC_38.242,1716.2050244852255,1237.956454163916,166.1274458452098,38.24479558452816,10.0,24.0,NO,1807,103.248413529896,105.184006974855,111.15,1.30,105.184006974855,111.15,1.30,88.73354772253785,90.71,1.19,3.5,run_00000013,15,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,105.18,111.15,1.30,3.5
RA_166.129__DEC_38.242,1716.2050244852255,1237.956454163916,166.1274458452098,38.24479558452816,10.0,24.0,NO,1807,103.248413529896,105.184006974855,111.15,1.30,105.184006974855,111.15,1.30,88.73354772253785,90.71,1.19,3.5,run_00000013,15,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,105.18,111.15,1.30,3.5
RA_166.129__DEC_38.242,1716.2050244852255,1237.956454163916,166.1274458452098,38.24479558452816,10.0,24.0,NO,1807,103.248413529896,105.184006974855,111.15,1.30,105.184006974855,111.15,1.30,88.73354772253785,90.71,1.19,3.5,run_00000013,15,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,105.18,111.15,1.30,3.5
