# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T03:53:25.479
# DATE-END: 2026-01-16T03:53:25.622
# TSTART: 1768535605478.64
# TSTOP: 1768535605508.65
# DATE: 2026-01-16T03:53:26
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.476865781893
# DEC: 38.208692570603
# EQUINOX: 2000.0
# CRVAL1: 165.476865781893
# CRVAL2: 38.208692570603
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00143077924234333
# CD1_2: 0.00113871668560054
# CD2_1: -0.00113594735402151
# CD2_2: 0.00143131449803236
# A_ORDER: 2
# A_0_2: 1.14092541632083e-08
# A_1_1: -8.53758340165159e-07
# A_2_0: -1.8674032340662e-07
# B_ORDER: 2
# B_0_2: -1.0699432229301e-06
# B_1_1: -6.53070763166132e-07
# B_2_0: -7.52581895998727e-08
# AP_ORDER: 2
# AP_0_0: 2.49632385721732e-05
# AP_0_1: 8.29126085904504e-07
# AP_0_2: -1.14330578981954e-08
# AP_1_0: 7.86388776075888e-07
# AP_1_1: 8.53680197874661e-07
# AP_2_0: 1.86718724596038e-07
# BP_ORDER: 2
# BP_0_0: 4.97081739750123e-05
# BP_0_1: 2.17556066278973e-06
# BP_0_2: 1.06980128040984e-06
# BP_1_0: 1.07539964728294e-06
# BP_1_1: 6.52968228678925e-07
# BP_2_0: 7.52420523188876e-08
# NOME_FILE_FITS: 20260116_035325.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000013_stelle_trovate_e_catalogate_immagine_034.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1316,234.892820141064,221.0161014479141,225.56,2.30,221.0161014479141,225.59,2.30,198.5318636990158,207.62,2.43,3.5,run_00000013,34,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,221.02,225.55,2.29,3.5
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1315,234.892820141064,221.0161014479141,225.56,2.30,221.0161014479141,225.59,2.30,198.5318636990158,207.62,2.43,3.5,run_00000013,34,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,221.02,225.55,2.29,3.5
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1314,234.892820141064,221.0161014479141,225.56,2.30,221.0161014479141,225.59,2.30,198.5318636990158,207.62,2.43,3.5,run_00000013,34,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,221.02,225.55,2.29,3.5
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1313,234.892820141064,221.0161014479141,225.56,2.30,221.0161014479141,225.59,2.30,198.5318636990158,207.62,2.43,3.5,run_00000013,34,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,221.02,225.55,2.29,3.5
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1308,234.892820141064,221.0161014479141,225.49,2.29,221.0161014479141,225.52,2.30,198.5318636990158,207.44,2.43,3.5,run_00000013,34,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,221.02,225.48,2.29,3.5
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1314,234.892820141064,221.0161014479141,225.56,2.30,221.0161014479141,225.59,2.30,198.5318636990158,207.62,2.43,3.5,run_00000013,34,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,221.02,225.55,2.29,3.5
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1315,234.892820141064,221.0161014479141,225.50,2.33,221.0161014479141,225.53,2.34,198.5318636990158,207.58,2.47,3.5,run_00000013,34,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,221.02,225.49,2.33,3.5
RA_164.865__DEC_40.434,576.4181452888812,1816.670224366322,164.8650691344823,40.43009694681887,23.0,38.0,NO,1274,234.892820141064,221.0161014479141,225.50,2.33,221.0161014479141,225.53,2.34,198.5318636990158,207.58,2.47,3.5,run_00000013,34,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,221.02,225.49,2.33,3.5
RA_165.211__DEC_39.212,1104.123832174611,1381.806430589877,165.2103401039964,39.2112661976421,22.0,47.0,NO,1798,244.7186244599908,240.15387551612724,269.17,2.49,240.15387551612724,269.17,2.49,220.67792757531325,253.67,2.46,3.5,run_00000013,34,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,240.15,269.17,2.49,3.5
RA_165.211__DEC_39.212,1104.123832174611,1381.806430589877,165.2103401039964,39.2112661976421,22.0,47.0,NO,1796,244.7186244599908,240.15387551612724,269.17,2.49,240.15387551612724,269.17,2.49,220.67792757531325,253.67,2.46,3.5,run_00000013,34,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,240.15,269.17,2.49,3.5
