# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:12:16.902
# DATE-END: 2026-01-16T04:12:16.045
# TSTART: 1768536736901.77
# TSTOP: 1768536736931.78
# DATE: 2026-01-16T04:12:17
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.474789247597
# DEC: 38.2079411647893
# EQUINOX: 2000.0
# CRVAL1: 165.474789247597
# CRVAL2: 38.2079411647893
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.0017284253894595
# CD1_2: 0.000590949825500665
# CD2_1: -0.000591251071424231
# CD2_2: 0.00172866456756749
# A_ORDER: 2
# A_0_2: -3.49127748908717e-07
# A_1_1: 6.42949691911565e-07
# A_2_0: -5.37570181553517e-07
# B_ORDER: 2
# B_0_2: -1.64670684173842e-06
# B_1_1: -3.43864716883693e-07
# B_2_0: 4.94084415679055e-07
# AP_ORDER: 2
# AP_0_0: 1.13137774721513e-05
# AP_0_1: -7.18369661019448e-07
# AP_0_2: 3.49083163730459e-07
# AP_1_0: 1.3161705753256e-06
# AP_1_1: -6.42901312559527e-07
# AP_2_0: 5.37553459443137e-07
# BP_ORDER: 2
# BP_0_0: 3.72988200322055e-05
# BP_0_1: 3.04211774829273e-06
# BP_0_2: 1.64644508075335e-06
# BP_1_0: -6.27358076811931e-07
# BP_1_1: 3.43851698007904e-07
# BP_2_0: -4.94045120521404e-07
# NOME_FILE_FITS: 20260116_041216.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000013_stelle_trovate_e_catalogate_immagine_074.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_165.211__DEC_39.212,1250.5529743123907,1506.1929001177366,165.20962374842824,39.21117538337156,27.0,54.0,NO,1798,294.25569081613173,285.2694701884152,269.17,2.49,285.2694701884152,269.17,2.49,270.61118416324894,253.67,2.46,3.5,run_00000013,74,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,285.27,269.17,2.49,3.5
RA_165.211__DEC_39.212,1250.5529743123907,1506.1929001177366,165.20962374842824,39.21117538337156,27.0,54.0,NO,1796,294.25569081613173,285.2694701884152,269.17,2.49,285.2694701884152,269.17,2.49,270.61118416324894,253.67,2.46,3.5,run_00000013,74,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,285.27,269.17,2.49,3.5
RA_165.211__DEC_39.212,1250.5529743123907,1506.1929001177366,165.20962374842824,39.21117538337156,27.0,54.0,NO,1796,294.25569081613173,285.2694701884152,269.17,2.49,285.2694701884152,269.17,2.49,270.61118416324894,253.67,2.46,3.5,run_00000013,74,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,285.27,269.17,2.49,3.5
RA_166.129__DEC_38.242,1794.8003604084656,1131.80532529633,166.12980577623654,38.24119040742359,11.0,24.0,NO,1807,105.46122431619963,105.64485834025204,111.15,1.30,105.64485834025204,111.15,1.30,82.97144445296513,90.71,1.19,3.5,run_00000013,74,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,105.64,111.15,1.30,3.5
RA_166.129__DEC_38.242,1794.8003604084656,1131.80532529633,166.12980577623654,38.24119040742359,11.0,24.0,NO,1807,105.46122431619963,105.64485834025204,111.15,1.30,105.64485834025204,111.15,1.30,82.97144445296513,90.71,1.19,3.5,run_00000013,74,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,105.64,111.15,1.30,3.5
RA_166.129__DEC_38.242,1794.8003604084656,1131.80532529633,166.12980577623654,38.24119040742359,11.0,24.0,NO,1807,105.46122431619963,105.64485834025204,111.15,1.30,105.64485834025204,111.15,1.30,82.97144445296513,90.71,1.19,3.5,run_00000013,74,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,105.64,111.15,1.30,3.5
RA_166.129__DEC_38.242,1794.8003604084656,1131.80532529633,166.12980577623654,38.24119040742359,11.0,24.0,NO,1807,105.46122431619963,105.64485834025204,111.15,1.30,105.64485834025204,111.15,1.30,82.97144445296513,90.71,1.19,3.5,run_00000013,74,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,105.64,111.15,1.30,3.5
RA_166.129__DEC_38.242,1794.8003604084656,1131.80532529633,166.12980577623654,38.24119040742359,11.0,24.0,NO,1807,105.46122431619963,105.64485834025204,111.15,1.30,105.64485834025204,111.15,1.30,82.97144445296513,90.71,1.19,3.5,run_00000013,74,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,105.64,111.15,1.30,3.5
RA_166.129__DEC_38.242,1794.8003604084656,1131.80532529633,166.12980577623654,38.24119040742359,11.0,24.0,NO,1807,105.46122431619963,105.64485834025204,111.15,1.30,105.64485834025204,111.15,1.30,82.97144445296513,90.71,1.19,3.5,run_00000013,74,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,105.64,111.15,1.30,3.5
RA_166.129__DEC_38.242,1794.8003604084656,1131.80532529633,166.12980577623654,38.24119040742359,11.0,24.0,NO,1807,105.46122431619963,105.64485834025204,111.15,1.30,105.64485834025204,111.15,1.30,82.97144445296513,90.71,1.19,3.5,run_00000013,74,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,105.64,111.15,1.30,3.5
