# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:15:36.344
# DATE-END: 2026-01-16T04:15:36.488
# TSTART: 1768536936343.87
# TSTOP: 1768536936373.87
# DATE: 2026-01-16T04:15:37
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.474628283224
# DEC: 38.2092473252083
# EQUINOX: 2000.0
# CRVAL1: 165.474628283224
# CRVAL2: 38.2092473252083
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00176609902569433
# CD1_2: 0.000468303575510766
# CD2_1: -0.000468219301155349
# CD2_2: 0.00176611451752217
# A_ORDER: 2
# A_0_2: 1.94518859780549e-07
# A_1_1: 5.33605862868893e-08
# A_2_0: -5.92663229352411e-07
# B_ORDER: 2
# B_0_2: 1.53504735520815e-06
# B_1_1: -6.07934482159243e-07
# B_2_0: -9.817137847804e-08
# AP_ORDER: 2
# AP_0_0: 1.70513409363101e-05
# AP_0_1: 2.60510817891827e-07
# AP_0_2: -1.94536843792197e-07
# AP_1_0: 8.93003609938024e-07
# AP_1_1: -5.33454278545521e-08
# AP_2_0: 5.92633698459858e-07
# BP_ORDER: 2
# BP_0_0: 3.07249437520844e-05
# BP_0_1: 3.34491759876449e-06
# BP_0_2: -1.53518494639389e-06
# BP_1_0: -7.82521704609146e-07
# BP_1_1: 6.0799803724625e-07
# BP_2_0: 9.81575257283539e-08
# NOME_FILE_FITS: 20260116_041536.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000013_stelle_trovate_e_catalogate_immagine_082.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_165.211__DEC_39.212,1285.225632894739,1523.610201669197,165.20964144021846,39.21137956893136,24.0,44.0,NO,1798,278.6855891393733,269.8167433233865,269.17,2.49,269.8167433233865,269.17,2.49,249.69940752981063,253.67,2.46,3.5,run_00000013,82,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,269.82,269.17,2.49,3.5
RA_165.211__DEC_39.212,1285.225632894739,1523.610201669197,165.20964144021846,39.21137956893136,24.0,44.0,NO,1796,278.6855891393733,269.8167433233865,269.17,2.49,269.8167433233865,269.17,2.49,249.69940752981063,253.67,2.46,3.5,run_00000013,82,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,269.82,269.17,2.49,3.5
RA_165.211__DEC_39.212,1285.225632894739,1523.610201669197,165.20964144021846,39.21137956893136,24.0,44.0,NO,1796,278.6855891393733,269.8167433233865,269.17,2.49,269.8167433233865,269.17,2.49,249.69940752981063,253.67,2.46,3.5,run_00000013,82,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,269.82,269.17,2.49,3.5
RA_166.129__DEC_38.242,1801.868390579124,1112.0613849946956,166.12912771902268,38.240420714394354,14.0,30.0,NO,1807,135.5396923896849,136.04163913536863,111.15,1.30,136.04163913536863,111.15,1.30,112.0016402998527,90.71,1.19,3.5,run_00000013,82,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,136.04,111.15,1.30,3.5
RA_166.129__DEC_38.242,1801.868390579124,1112.0613849946956,166.12912771902268,38.240420714394354,14.0,30.0,NO,1807,135.5396923896849,136.04163913536863,111.15,1.30,136.04163913536863,111.15,1.30,112.0016402998527,90.71,1.19,3.5,run_00000013,82,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,136.04,111.15,1.30,3.5
RA_166.129__DEC_38.242,1801.868390579124,1112.0613849946956,166.12912771902268,38.240420714394354,14.0,30.0,NO,1807,135.5396923896849,136.04163913536863,111.15,1.30,136.04163913536863,111.15,1.30,112.0016402998527,90.71,1.19,3.5,run_00000013,82,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,136.04,111.15,1.30,3.5
RA_166.129__DEC_38.242,1801.868390579124,1112.0613849946956,166.12912771902268,38.240420714394354,14.0,30.0,NO,1807,135.5396923896849,136.04163913536863,111.15,1.30,136.04163913536863,111.15,1.30,112.0016402998527,90.71,1.19,3.5,run_00000013,82,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,136.04,111.15,1.30,3.5
RA_166.129__DEC_38.242,1801.868390579124,1112.0613849946956,166.12912771902268,38.240420714394354,14.0,30.0,NO,1807,135.5396923896849,136.04163913536863,111.15,1.30,136.04163913536863,111.15,1.30,112.0016402998527,90.71,1.19,3.5,run_00000013,82,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,136.04,111.15,1.30,3.5
RA_166.129__DEC_38.242,1801.868390579124,1112.0613849946956,166.12912771902268,38.240420714394354,14.0,30.0,NO,1807,135.5396923896849,136.04163913536863,111.15,1.30,136.04163913536863,111.15,1.30,112.0016402998527,90.71,1.19,3.5,run_00000013,82,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,136.04,111.15,1.30,3.5
RA_166.129__DEC_38.242,1801.868390579124,1112.0613849946956,166.12912771902268,38.240420714394354,14.0,30.0,NO,1807,135.5396923896849,136.04163913536863,111.15,1.30,136.04163913536863,111.15,1.30,112.0016402998527,90.71,1.19,3.5,run_00000013,82,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,136.04,111.15,1.30,3.5
