# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:30:17.646
# DATE-END: 2026-01-16T04:30:17.791
# TSTART: 1768537817646.23
# TSTOP: 1768537817676.24
# DATE: 2026-01-16T04:30:18
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115783815386
# DEC: 37.7109917380244
# EQUINOX: 2000.0
# CRVAL1: 166.115783815386
# CRVAL2: 37.7109917380244
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00182681237475718
# CD1_2: -2.20701940757041e-05
# CD2_1: 2.14471654564776e-05
# CD2_2: 0.00182754483268381
# A_ORDER: 2
# A_0_2: 5.20283558997052e-07
# A_1_1: -8.60658819081724e-07
# A_2_0: -1.07892984417647e-07
# B_ORDER: 2
# B_0_2: -4.03663385260001e-06
# B_1_1: 2.94419753800407e-06
# B_2_0: -2.09364391358419e-06
# AP_ORDER: 2
# AP_0_0: -5.02815012251171e-05
# AP_0_1: -6.67958332202359e-06
# AP_0_2: -5.20126682335121e-07
# AP_1_0: 5.30117061660122e-06
# AP_1_1: 8.60574633123342e-07
# AP_2_0: 1.07870687240951e-07
# BP_ORDER: 2
# BP_0_0: 0.000536526549348319
# BP_0_1: 4.59906998408384e-05
# BP_0_2: 4.03536563704751e-06
# BP_1_0: -2.31054119343143e-05
# BP_1_1: -2.94383797430963e-06
# BP_2_0: 2.09349808556032e-06
# NOME_FILE_FITS: 20260116_043017.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000014_stelle_trovate_e_catalogate_immagine_033.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,980.5425263492606,149.02288729578834,164.88781458645087,36.09275284768731,16.0,27.0,NO,1126,165.6941802123321,159.68303071476024,160.31,1.56,159.68303071476024,160.31,1.56,125.7318693023357,128.82,1.65,3.5,run_00000014,33,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,159.68,160.31,1.56,3.5
RA_164.882__DEC_36.096,980.5425263492606,149.02288729578834,164.88781458645087,36.09275284768731,16.0,27.0,NO,1083,165.6941802123321,159.68303071476024,160.49,1.58,159.68303071476024,160.49,1.58,125.7318693023357,128.97,1.67,3.5,run_00000014,33,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,159.68,160.49,1.58,3.5
RA_164.882__DEC_36.096,980.5425263492606,149.02288729578834,164.88781458645087,36.09275284768731,16.0,27.0,NO,1123,165.6941802123321,159.68303071476024,160.31,1.56,159.68303071476024,160.31,1.56,125.7318693023357,128.82,1.65,3.5,run_00000014,33,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,159.68,160.31,1.56,3.5
RA_164.882__DEC_36.096,980.5425263492606,149.02288729578834,164.88781458645087,36.09275284768731,16.0,27.0,NO,1128,165.6941802123321,159.68303071476024,160.19,1.55,159.68303071476024,160.19,1.55,125.7318693023357,128.72,1.63,3.5,run_00000014,33,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,159.68,160.19,1.55,3.5
RA_164.882__DEC_36.096,980.5425263492606,149.02288729578834,164.88781458645087,36.09275284768731,16.0,27.0,NO,1127,165.6941802123321,159.68303071476024,160.31,1.56,159.68303071476024,160.31,1.56,125.7318693023357,128.82,1.65,3.5,run_00000014,33,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,159.68,160.31,1.56,3.5
RA_165.211__DEC_39.212,1160.2667235849992,1852.5893832889087,165.21172537801397,39.20887606448969,24.0,42.0,NO,1798,257.45210870405543,247.05810970093447,248.27,1.63,247.05810970093447,248.27,1.63,229.2632748028009,230.29,1.66,3.5,run_00000014,33,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,247.06,248.27,1.63,3.5
RA_165.211__DEC_39.212,1160.2667235849992,1852.5893832889087,165.21172537801397,39.20887606448969,24.0,42.0,NO,1796,257.45210870405543,247.05810970093447,248.30,1.64,247.05810970093447,248.30,1.64,229.2632748028009,230.35,1.67,3.5,run_00000014,33,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,247.06,248.30,1.64,3.5
RA_165.211__DEC_39.212,1160.2667235849992,1852.5893832889087,165.21172537801397,39.20887606448969,24.0,42.0,NO,1796,257.45210870405543,247.05810970093447,248.30,1.64,247.05810970093447,248.30,1.64,229.2632748028009,230.35,1.67,3.5,run_00000014,33,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,247.06,248.30,1.64,3.5
RA_166.129__DEC_38.242,1544.1245326942403,1314.512602887814,166.13007115912558,38.24423462717105,15.0,25.0,NO,1807,131.62451650352196,131.65447533294878,117.18,1.14,131.65447533294878,117.18,1.14,114.288375081255,96.04,1.16,3.5,run_00000014,33,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,131.65,117.18,1.14,3.5
RA_166.129__DEC_38.242,1544.1245326942403,1314.512602887814,166.13007115912558,38.24423462717105,15.0,25.0,NO,1807,131.62451650352196,131.65447533294878,117.18,1.14,131.65447533294878,117.18,1.14,114.288375081255,96.04,1.16,3.5,run_00000014,33,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,131.65,117.18,1.14,3.5
