# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:35:41.847
# DATE-END: 2026-01-16T04:35:41.991
# TSTART: 1768538141847.31
# TSTOP: 1768538141877.32
# DATE: 2026-01-16T04:35:42
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112869021594
# DEC: 37.7081726364522
# EQUINOX: 2000.0
# CRVAL1: 166.112869021594
# CRVAL2: 37.7081726364522
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00180337093579148
# CD1_2: -0.000258289414896066
# CD2_1: 0.000252316445827284
# CD2_2: 0.00180959077911148
# A_ORDER: 2
# A_0_2: 2.03232501739548e-07
# A_1_1: -7.21565768906657e-06
# A_2_0: -5.55829596459597e-07
# B_ORDER: 2
# B_0_2: 4.59251295811906e-07
# B_1_1: -3.39940682272875e-06
# B_2_0: 6.64020711762909e-07
# AP_ORDER: 2
# AP_0_0: 0.000871807643014755
# AP_0_1: 2.94354826644386e-05
# AP_0_2: -2.04262950759807e-07
# AP_1_0: 1.088711521304e-05
# AP_1_1: 7.21318008650234e-06
# AP_2_0: 5.55221591522079e-07
# BP_ORDER: 2
# BP_0_0: 0.000160372325949136
# BP_0_1: 3.49166144386346e-06
# BP_0_2: -4.59690516011616e-07
# BP_1_0: 2.85713582008745e-06
# BP_1_1: 3.39869047011888e-06
# BP_2_0: -6.63979082969399e-07
# NOME_FILE_FITS: 20260116_043541.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000014_stelle_trovate_e_catalogate_immagine_049.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,873.5904958026011,226.09121818773127,164.8847254298873,36.091225403184126,17.0,23.0,NO,1126,162.60418244334988,154.76560581007453,160.31,1.56,154.76560581007453,160.31,1.56,128.81997644347732,128.82,1.65,3.5,run_00000014,49,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,154.77,160.31,1.56,3.5
RA_164.882__DEC_36.096,873.5904958026011,226.09121818773127,164.8847254298873,36.091225403184126,17.0,23.0,NO,1083,162.60418244334988,154.76560581007453,160.49,1.58,154.76560581007453,160.49,1.58,128.81997644347732,128.97,1.67,3.5,run_00000014,49,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,154.77,160.49,1.58,3.5
RA_164.882__DEC_36.096,873.5904958026011,226.09121818773127,164.8847254298873,36.091225403184126,17.0,23.0,NO,1123,162.60418244334988,154.76560581007453,160.31,1.56,154.76560581007453,160.31,1.56,128.81997644347732,128.82,1.65,3.5,run_00000014,49,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,154.77,160.31,1.56,3.5
RA_164.882__DEC_36.096,873.5904958026011,226.09121818773127,164.8847254298873,36.091225403184126,17.0,23.0,NO,1128,162.60418244334988,154.76560581007453,160.19,1.55,154.76560581007453,160.19,1.55,128.81997644347732,128.72,1.63,3.5,run_00000014,49,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,154.77,160.19,1.55,3.5
RA_164.882__DEC_36.096,873.5904958026011,226.09121818773127,164.8847254298873,36.091225403184126,17.0,23.0,NO,1127,162.60418244334988,154.76560581007453,160.31,1.56,154.76560581007453,160.31,1.56,128.81997644347732,128.82,1.65,3.5,run_00000014,49,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,154.77,160.31,1.56,3.5
RA_164.882__DEC_36.096,873.5904958026011,226.09121818773127,164.8847254298873,36.091225403184126,17.0,23.0,NO,262,162.60418244334988,154.76560581007453,158.07,4.80,154.76560581007453,158.07,4.80,128.81997644347732,128.44,4.58,3.5,run_00000014,49,SI (Rank 6),II/389/ps1_dr2,1.513016487574839e+17,164.87577662,36.08615428,13.3087,154.77,158.08,4.80,3.5
RA_165.211__DEC_39.212,1269.9940388233722,1892.600840063133,165.21122699057614,39.21471190601336,25.0,48.0,NO,1798,258.54171406474563,244.31290834110024,248.27,1.63,244.31290834110024,248.27,1.63,228.6674684908272,230.29,1.66,3.5,run_00000014,49,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,244.31,248.27,1.63,3.5
RA_165.211__DEC_39.212,1269.9940388233722,1892.600840063133,165.21122699057614,39.21471190601336,25.0,48.0,NO,1796,258.54171406474563,244.31290834110024,248.30,1.64,244.31290834110024,248.30,1.64,228.6674684908272,230.35,1.67,3.5,run_00000014,49,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,244.31,248.30,1.64,3.5
RA_165.211__DEC_39.212,1269.9940388233722,1892.600840063133,165.21122699057614,39.21471190601336,25.0,48.0,NO,1796,258.54171406474563,244.31290834110024,248.30,1.64,244.31290834110024,248.30,1.64,228.6674684908272,230.35,1.67,3.5,run_00000014,49,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,244.31,248.30,1.64,3.5
RA_166.129__DEC_38.242,1581.8218254758076,1309.862602953675,166.12683401447623,38.24007214789684,11.0,25.0,NO,1807,114.84837033596844,114.68330153595814,117.18,1.14,114.68330153595814,117.18,1.14,95.08765015834864,96.04,1.16,3.5,run_00000014,49,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,114.68,117.18,1.14,3.5
