# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:42:26.911
# DATE-END: 2026-01-16T04:42:26.055
# TSTART: 1768538546911.43
# TSTOP: 1768538546941.44
# DATE: 2026-01-16T04:42:27
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115998607167
# DEC: 37.7074646023239
# EQUINOX: 2000.0
# CRVAL1: 166.115998607167
# CRVAL2: 37.7074646023239
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00174715059782348
# CD1_2: -0.000531522304785773
# CD2_1: 0.000532829803123165
# CD2_2: 0.00174895997520652
# A_ORDER: 2
# A_0_2: 6.58379683558946e-07
# A_1_1: 1.6523280615855e-07
# A_2_0: -2.67952244608596e-07
# B_ORDER: 2
# B_0_2: 3.5317871758539e-07
# B_1_1: 2.56431199800437e-06
# B_2_0: 1.91444937899647e-07
# AP_ORDER: 2
# AP_0_0: 2.72435393589454e-05
# AP_0_1: 8.18046393928849e-07
# AP_0_2: -6.58437966267085e-07
# AP_1_0: 1.37877086354268e-06
# AP_1_1: -1.65359177349283e-07
# AP_2_0: 2.67937612298229e-07
# BP_ORDER: 2
# BP_0_0: 0.000129098457482909
# BP_0_1: 6.27259628292215e-06
# BP_0_2: -3.53311605163987e-07
# BP_1_0: 1.79410255238928e-06
# BP_1_1: -2.56460976035933e-06
# BP_2_0: -1.91569221349146e-07
# NOME_FILE_FITS: 20260116_044226.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000014_stelle_trovate_e_catalogate_immagine_069.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,758.5899848771867,338.09765747742244,164.8885289416345,36.09420377062415,17.0,25.0,NO,1126,167.19187130372117,163.67589690595915,160.31,1.56,163.67589690595915,160.31,1.56,136.11200444606564,128.82,1.65,3.5,run_00000014,69,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,163.68,160.31,1.56,3.5
RA_164.882__DEC_36.096,758.5899848771867,338.09765747742244,164.8885289416345,36.09420377062415,17.0,25.0,NO,1083,167.19187130372117,163.67589690595915,160.49,1.58,163.67589690595915,160.49,1.58,136.11200444606564,128.97,1.67,3.5,run_00000014,69,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,163.68,160.49,1.58,3.5
RA_164.882__DEC_36.096,758.5899848771867,338.09765747742244,164.8885289416345,36.09420377062415,17.0,25.0,NO,1123,167.19187130372117,163.67589690595915,160.31,1.56,163.67589690595915,160.31,1.56,136.11200444606564,128.82,1.65,3.5,run_00000014,69,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,163.68,160.31,1.56,3.5
RA_164.882__DEC_36.096,758.5899848771867,338.09765747742244,164.8885289416345,36.09420377062415,17.0,25.0,NO,1128,167.19187130372117,163.67589690595915,160.19,1.55,163.67589690595915,160.19,1.55,136.11200444606564,128.72,1.63,3.5,run_00000014,69,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,163.68,160.19,1.55,3.5
RA_164.882__DEC_36.096,758.5899848771867,338.09765747742244,164.8885289416345,36.09420377062415,17.0,25.0,NO,1127,167.19187130372117,163.67589690595915,160.31,1.56,163.67589690595915,160.31,1.56,136.11200444606564,128.82,1.65,3.5,run_00000014,69,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,163.68,160.31,1.56,3.5
RA_165.211__DEC_39.212,1406.5372354685703,1923.8742618316733,165.21060593516708,39.21215965601717,20.0,37.0,NO,1798,231.5254321483618,223.62713474308995,248.27,1.63,223.62713474308995,248.27,1.63,201.99245079758268,230.29,1.66,3.5,run_00000014,69,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,223.63,248.27,1.63,3.5
RA_165.211__DEC_39.212,1406.5372354685703,1923.8742618316733,165.21060593516708,39.21215965601717,20.0,37.0,NO,1796,231.5254321483618,223.62713474308995,248.30,1.64,223.62713474308995,248.30,1.64,201.99245079758268,230.35,1.67,3.5,run_00000014,69,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,223.63,248.30,1.64,3.5
RA_165.211__DEC_39.212,1406.5372354685703,1923.8742618316733,165.21060593516708,39.21215965601717,20.0,37.0,NO,1796,231.5254321483618,223.62713474308995,248.30,1.64,223.62713474308995,248.30,1.64,201.99245079758268,230.35,1.67,3.5,run_00000014,69,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,223.63,248.30,1.64,3.5
RA_166.129__DEC_38.242,1624.9786440588505,1300.0114484102244,166.12951803643003,38.24120550087772,9.0,33.0,NO,1807,107.217438667364,109.8549008246507,117.18,1.14,109.8549008246507,117.18,1.14,82.85637066551142,96.04,1.16,3.5,run_00000014,69,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,109.85,117.18,1.14,3.5
RA_166.129__DEC_38.242,1624.9786440588505,1300.0114484102244,166.12951803643003,38.24120550087772,9.0,33.0,NO,1807,107.217438667364,109.8549008246507,117.18,1.14,109.8549008246507,117.18,1.14,82.85637066551142,96.04,1.16,3.5,run_00000014,69,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,109.85,117.18,1.14,3.5
