# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:42:47.258
# DATE-END: 2026-01-16T04:42:47.402
# TSTART: 1768538567258.03
# TSTOP: 1768538567288.04
# DATE: 2026-01-16T04:42:48
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112519015731
# DEC: 37.7102595408606
# EQUINOX: 2000.0
# CRVAL1: 166.112519015731
# CRVAL2: 37.7102595408606
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00174403074228954
# CD1_2: -0.000543419745595423
# CD2_1: 0.00054475195393237
# CD2_2: 0.00174542793904971
# A_ORDER: 2
# A_0_2: 1.01640082956438e-06
# A_1_1: 7.73211236525148e-07
# A_2_0: 9.15021517441082e-08
# B_ORDER: 2
# B_0_2: -4.32514967176251e-06
# B_1_1: 1.02390825584275e-07
# B_2_0: 7.42566744091999e-07
# AP_ORDER: 2
# AP_0_0: -6.27938415979597e-05
# AP_0_1: -3.73044458219193e-06
# AP_0_2: -1.01599784874069e-06
# AP_1_0: 1.97172405767571e-08
# AP_1_1: -7.73199137088775e-07
# AP_2_0: -9.15544606158635e-08
# BP_ORDER: 2
# BP_0_0: 0.000339433578919923
# BP_0_1: 2.01060496916668e-05
# BP_0_2: 4.32344453634908e-06
# BP_1_0: 4.10044112110681e-07
# BP_1_1: -1.02227374578703e-07
# BP_2_0: -7.42513259555228e-07
# NOME_FILE_FITS: 20260116_044247.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000014_stelle_trovate_e_catalogate_immagine_070.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.889DEC36.087,754.3856567420279,343.106525812955,164.8893128873856,36.09157618818755,13.0,18.0,NO,1126,131.01267428804036,128.73324783002553,160.31,1.56,128.73324783002553,160.31,1.56,98.95084557875175,128.82,1.65,3.5,run_00000014,70,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,128.73,160.31,1.56,3.5
RA_164.889DEC36.087,754.3856567420279,343.106525812955,164.8893128873856,36.09157618818755,13.0,18.0,NO,1083,131.01267428804036,128.73324783002553,160.49,1.58,128.73324783002553,160.49,1.58,98.95084557875175,128.97,1.67,3.5,run_00000014,70,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,128.73,160.49,1.58,3.5
RA_164.889DEC36.087,754.3856567420279,343.106525812955,164.8893128873856,36.09157618818755,13.0,18.0,NO,1123,131.01267428804036,128.73324783002553,160.31,1.56,128.73324783002553,160.31,1.56,98.95084557875175,128.82,1.65,3.5,run_00000014,70,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,128.73,160.31,1.56,3.5
RA_164.889DEC36.087,754.3856567420279,343.106525812955,164.8893128873856,36.09157618818755,13.0,18.0,NO,1128,131.01267428804036,128.73324783002553,160.19,1.55,128.73324783002553,160.19,1.55,98.95084557875175,128.72,1.63,3.5,run_00000014,70,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,128.73,160.19,1.55,3.5
RA_164.889DEC36.087,754.3856567420279,343.106525812955,164.8893128873856,36.09157618818755,13.0,18.0,NO,1127,131.01267428804036,128.73324783002553,160.31,1.56,128.73324783002553,160.31,1.56,98.95084557875175,128.82,1.65,3.5,run_00000014,70,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,128.73,160.31,1.56,3.5
RA_165.211__DEC_39.212,1414.2540062553724,1923.8111437999696,165.21423710727785,39.20840730145868,22.0,35.0,NO,1798,239.6455990753645,233.08845387825164,248.27,1.63,233.08845387825164,248.27,1.63,213.76806614295148,230.29,1.66,3.5,run_00000014,70,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,233.09,248.27,1.63,3.5
RA_165.211__DEC_39.212,1414.2540062553724,1923.8111437999696,165.21423710727785,39.20840730145868,22.0,35.0,NO,1796,239.6455990753645,233.08845387825164,248.30,1.64,233.08845387825164,248.30,1.64,213.76806614295148,230.35,1.67,3.5,run_00000014,70,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,233.09,248.30,1.64,3.5
RA_165.211__DEC_39.212,1414.2540062553724,1923.8111437999696,165.21423710727785,39.20840730145868,22.0,35.0,NO,1796,239.6455990753645,233.08845387825164,248.30,1.64,233.08845387825164,248.30,1.64,213.76806614295148,230.35,1.67,3.5,run_00000014,70,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,233.09,248.30,1.64,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,105.03,117.18,1.14,3.5
RA_166.129__DEC_38.242,1628.008249671842,1298.2081228863583,166.12983499614103,38.24190594112214,10.0,36.0,NO,1807,102.57243245688024,105.02751314384471,117.18,1.14,105.02751314384471,117.18,1.14,86.086851958354,96.04,1.16,3.5,run_00000014,70,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,105.03,117.18,1.14,3.5
RA_167.329__DEC_36.301,1819.1935057003463,134.66120171588418,167.33046475743166,36.30423269753638,24.0,25.0,NO,1708,240.9228741986871,226.41168887324952,278.56,2.21,226.5140335100216,279.42,2.24,200.29917025032944,247.59,2.09,3.504205508878402,run_00000014,70,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,234.94,286.62,2.04,4.05
RA_167.329__DEC_36.301,1819.1935057003463,134.66120171588418,167.33046475743166,36.30423269753638,24.0,25.0,NO,1705,240.9228741986871,226.41168887324952,278.56,2.21,226.5140335100216,279.42,2.24,200.29917025032944,247.59,2.09,3.504205508878402,run_00000014,70,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,234.94,286.62,2.04,4.05
RA_167.329__DEC_36.301,1819.1935057003463,134.66120171588418,167.33046475743166,36.30423269753638,24.0,25.0,NO,1702,240.9228741986871,226.41168887324952,278.56,2.21,226.5140335100216,279.42,2.24,200.29917025032944,247.59,2.09,3.504205508878402,run_00000014,70,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,234.94,286.62,2.04,4.05
RA_167.329__DEC_36.301,1819.1935057003463,134.66120171588418,167.33046475743166,36.30423269753638,24.0,25.0,NO,1705,240.9228741986871,226.41168887324952,278.56,2.21,226.5140335100216,279.42,2.24,200.29917025032944,247.59,2.09,3.504205508878402,run_00000014,70,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,234.94,286.62,2.04,4.05
RA_167.329__DEC_36.301,1819.1935057003463,134.66120171588418,167.33046475743166,36.30423269753638,24.0,25.0,NO,1700,240.9228741986871,226.41168887324952,278.56,2.21,226.5140335100216,279.42,2.24,200.29917025032944,247.59,2.09,3.504205508878402,run_00000014,70,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,234.94,286.62,2.04,4.05
