# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:44:48.377
# DATE-END: 2026-01-16T04:44:48.521
# TSTART: 1768538688377.04
# TSTOP: 1768538688407.05
# DATE: 2026-01-16T04:44:49
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112067824483
# DEC: 37.7088567826902
# EQUINOX: 2000.0
# CRVAL1: 166.112067824483
# CRVAL2: 37.7088567826902
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00171582784495068
# CD1_2: -0.000622295396077898
# CD2_1: 0.000620075223473657
# CD2_2: 0.00171695795868574
# A_ORDER: 2
# A_0_2: 3.53597679672858e-06
# A_1_1: 3.17699125576631e-06
# A_2_0: 4.41569286596839e-09
# B_ORDER: 2
# B_0_2: -1.04523056032645e-06
# B_1_1: 5.31645865607657e-07
# B_2_0: -8.16175598058311e-07
# AP_ORDER: 2
# AP_0_0: -2.03337022359834e-05
# AP_0_1: -7.82474737626476e-07
# AP_0_2: -3.53641060932604e-06
# AP_1_0: 5.6761791344238e-08
# AP_1_1: -3.17709622942424e-06
# AP_2_0: -4.14272372630362e-09
# BP_ORDER: 2
# BP_0_0: -5.59579404425155e-05
# BP_0_1: 6.10957858198121e-08
# BP_0_2: 1.04519671769088e-06
# BP_1_0: -2.72524075409938e-06
# BP_1_1: -5.31316380859451e-07
# BP_2_0: 8.16237638450585e-07
# NOME_FILE_FITS: 20260116_044448.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000014_stelle_trovate_e_catalogate_immagine_076.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.896__DEC_36.095,724.4671355921939,378.1411883074938,164.8959898171398,36.09526842707659,15.0,23.0,NO,1126,153.48102789631812,149.19390775792084,160.31,1.56,149.19390775792084,160.31,1.56,119.14265472439868,128.82,1.65,3.5,run_00000014,76,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,149.19,160.31,1.56,3.5
RA_164.896__DEC_36.095,724.4671355921939,378.1411883074938,164.8959898171398,36.09526842707659,15.0,23.0,NO,1123,153.48102789631812,149.19390775792084,160.31,1.56,149.19390775792084,160.31,1.56,119.14265472439868,128.82,1.65,3.5,run_00000014,76,SI (Rank 2),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,149.19,160.31,1.56,3.5
RA_164.896__DEC_36.095,724.4671355921939,378.1411883074938,164.8959898171398,36.09526842707659,15.0,23.0,NO,1128,153.48102789631812,149.19390775792084,160.19,1.55,149.19390775792084,160.19,1.55,119.14265472439868,128.72,1.63,3.5,run_00000014,76,SI (Rank 3),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,149.19,160.19,1.55,3.5
RA_164.896__DEC_36.095,724.4671355921939,378.1411883074938,164.8959898171398,36.09526842707659,15.0,23.0,NO,1127,153.48102789631812,149.19390775792084,160.31,1.56,149.19390775792084,160.31,1.56,119.14265472439868,128.82,1.65,3.5,run_00000014,76,SI (Rank 4),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,149.19,160.31,1.56,3.5
RA_165.211__DEC_39.212,1453.3386990377303,1928.594714334724,165.21159514721677,39.210550184959885,24.0,37.0,NO,1798,259.5057421210958,250.05093000620937,248.27,1.63,250.05093000620937,248.27,1.63,238.62870003772247,230.29,1.66,3.5,run_00000014,76,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,250.05,248.27,1.63,3.5
RA_165.211__DEC_39.212,1453.3386990377303,1928.594714334724,165.21159514721677,39.210550184959885,24.0,37.0,NO,1796,259.5057421210958,250.05093000620937,248.30,1.64,250.05093000620937,248.30,1.64,238.62870003772247,230.35,1.67,3.5,run_00000014,76,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,250.05,248.30,1.64,3.5
RA_165.211__DEC_39.212,1453.3386990377303,1928.594714334724,165.21159514721677,39.210550184959885,24.0,37.0,NO,1796,259.5057421210958,250.05093000620937,248.30,1.64,250.05093000620937,248.30,1.64,238.62870003772247,230.35,1.67,3.5,run_00000014,76,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,250.05,248.30,1.64,3.5
RA_166.129__DEC_38.242,1639.1323215450946,1294.3558379534309,166.12607780077627,38.24058173913667,9.0,19.0,NO,1807,88.2270945651297,93.52324646923502,117.18,1.14,93.52324646923502,117.18,1.14,76.90815834678534,96.04,1.16,3.5,run_00000014,76,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,93.52,117.18,1.14,3.5
RA_166.129__DEC_38.242,1639.1323215450946,1294.3558379534309,166.12607780077627,38.24058173913667,9.0,19.0,NO,1807,88.2270945651297,93.52324646923502,117.18,1.14,93.52324646923502,117.18,1.14,76.90815834678534,96.04,1.16,3.5,run_00000014,76,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,93.52,117.18,1.14,3.5
RA_166.129__DEC_38.242,1639.1323215450946,1294.3558379534309,166.12607780077627,38.24058173913667,9.0,19.0,NO,1807,88.2270945651297,93.52324646923502,117.18,1.14,93.52324646923502,117.18,1.14,76.90815834678534,96.04,1.16,3.5,run_00000014,76,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,93.52,117.18,1.14,3.5
RA_166.129__DEC_38.242,1639.1323215450946,1294.3558379534309,166.12607780077627,38.24058173913667,9.0,19.0,NO,1807,88.2270945651297,93.52324646923502,117.18,1.14,93.52324646923502,117.18,1.14,76.90815834678534,96.04,1.16,3.5,run_00000014,76,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,93.52,117.18,1.14,3.5
