# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:55:33.170
# DATE-END: 2026-01-16T04:55:33.314
# TSTART: 1768539333169.78
# TSTOP: 1768539333199.79
# DATE: 2026-01-16T04:55:34
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.111123687575
# DEC: 37.7119924122002
# EQUINOX: 2000.0
# CRVAL1: 166.111123687575
# CRVAL2: 37.7119924122002
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00154679101731078
# CD1_2: -0.000970510937724662
# CD2_1: 0.00097097676811231
# CD2_2: 0.00154975868605122
# A_ORDER: 2
# A_0_2: 8.5793476859875e-07
# A_1_1: 2.88456864817202e-07
# A_2_0: -1.41557021217008e-08
# B_ORDER: 2
# B_0_2: -1.96978937613916e-06
# B_1_1: -6.69489608979081e-07
# B_2_0: -6.49076062361343e-07
# AP_ORDER: 2
# AP_0_0: -6.21607808738489e-05
# AP_0_1: -3.1251987813313e-06
# AP_0_2: -8.57766031132244e-07
# AP_1_0: -8.76871314765252e-07
# AP_1_1: -2.88367503128679e-07
# AP_2_0: 1.41820909243076e-08
# BP_ORDER: 2
# BP_0_0: 0.000131845833076483
# BP_0_1: 6.85220025151118e-06
# BP_0_2: 1.96942102130075e-06
# BP_1_0: 1.62937503077896e-06
# BP_1_1: 6.69330054549946e-07
# BP_2_0: 6.49019396707339e-07
# NOME_FILE_FITS: 20260116_045533.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000014_stelle_trovate_e_catalogate_immagine_101.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.889DEC36.087,606.969381844662,563.2059400206073,164.88993119224634,36.09214968072977,19.0,26.0,NO,1126,197.7765385857764,167.4119974223218,160.31,1.56,167.4119974223218,160.31,1.56,131.69062576565594,128.82,1.65,3.5,run_00000014,101,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,167.41,160.31,1.56,3.5
RA_164.889DEC36.087,606.969381844662,563.2059400206073,164.88993119224634,36.09214968072977,19.0,26.0,NO,1083,197.7765385857764,167.4119974223218,160.49,1.58,167.4119974223218,160.49,1.58,131.69062576565594,128.97,1.67,3.5,run_00000014,101,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,167.41,160.49,1.58,3.5
RA_164.889DEC36.087,606.969381844662,563.2059400206073,164.88993119224634,36.09214968072977,19.0,26.0,NO,1123,197.7765385857764,167.4119974223218,160.31,1.56,167.4119974223218,160.31,1.56,131.69062576565594,128.82,1.65,3.5,run_00000014,101,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,167.41,160.31,1.56,3.5
RA_164.889DEC36.087,606.969381844662,563.2059400206073,164.88993119224634,36.09214968072977,19.0,26.0,NO,1128,197.7765385857764,167.4119974223218,160.19,1.55,167.4119974223218,160.19,1.55,131.69062576565594,128.72,1.63,3.5,run_00000014,101,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,167.41,160.19,1.55,3.5
RA_164.889DEC36.087,606.969381844662,563.2059400206073,164.88993119224634,36.09214968072977,19.0,26.0,NO,1127,197.7765385857764,167.4119974223218,160.31,1.56,167.4119974223218,160.31,1.56,131.69062576565594,128.82,1.65,3.5,run_00000014,101,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,167.41,160.31,1.56,3.5
RA_165.211__DEC_39.212,1647.0835023766022,1923.9126832271008,165.21067386183492,39.212575505822,24.0,50.0,NO,1798,302.7115009472916,274.4884275063965,248.27,1.63,274.4884275063965,248.27,1.63,260.1457352789983,230.29,1.66,3.5,run_00000014,101,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,274.49,248.27,1.63,3.5
RA_165.211__DEC_39.212,1647.0835023766022,1923.9126832271008,165.21067386183492,39.212575505822,24.0,50.0,NO,1796,302.7115009472916,274.4884275063965,248.30,1.64,274.4884275063965,248.30,1.64,260.1457352789983,230.35,1.67,3.5,run_00000014,101,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,274.49,248.30,1.64,3.5
RA_165.211__DEC_39.212,1647.0835023766022,1923.9126832271008,165.21067386183492,39.212575505822,24.0,50.0,NO,1796,302.7115009472916,274.4884275063965,248.30,1.64,274.4884275063965,248.30,1.64,260.1457352789983,230.35,1.67,3.5,run_00000014,101,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,274.49,248.30,1.64,3.5
RA_166.129__DEC_38.242,1694.71658233811,1264.7924309916436,166.12757637542592,38.24285156673176,12.0,26.0,NO,1807,120.96702732119157,121.72776766536585,117.18,1.14,121.72776766536585,117.18,1.14,99.90394118962708,96.04,1.16,3.5,run_00000014,101,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,121.73,117.18,1.14,3.5
RA_166.129__DEC_38.242,1694.71658233811,1264.7924309916436,166.12757637542592,38.24285156673176,12.0,26.0,NO,1807,120.96702732119157,121.72776766536585,117.18,1.14,121.72776766536585,117.18,1.14,99.90394118962708,96.04,1.16,3.5,run_00000014,101,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,121.73,117.18,1.14,3.5
