# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T04:57:34.780
# DATE-END: 2026-01-16T04:57:34.925
# TSTART: 1768539454780.06
# TSTOP: 1768539454810.07
# DATE: 2026-01-16T04:57:36
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.116097183082
# DEC: 37.7100836245488
# EQUINOX: 2000.0
# CRVAL1: 166.116097183082
# CRVAL2: 37.7100836245488
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00151075576727101
# CD1_2: -0.00102364491656022
# CD2_1: 0.001025000268644
# CD2_2: 0.00151130043587015
# A_ORDER: 2
# A_0_2: 3.59852464484917e-08
# A_1_1: -4.21841040340129e-07
# A_2_0: -7.43232525102145e-07
# B_ORDER: 2
# B_0_2: 1.05804163665256e-06
# B_1_1: 1.68128373081271e-06
# B_2_0: 6.5641760428327e-07
# AP_ORDER: 2
# AP_0_0: 2.14451147733996e-05
# AP_0_1: 2.69290016502631e-07
# AP_0_2: -3.59847475692405e-08
# AP_1_0: 1.15316820631458e-06
# AP_1_1: 4.21840565738817e-07
# AP_2_0: 7.43191861282086e-07
# BP_ORDER: 2
# BP_0_0: 7.38746841650576e-05
# BP_0_1: 3.48173098965131e-06
# BP_0_2: -1.05819699873864e-06
# BP_1_0: 1.87995130579483e-06
# BP_1_1: -1.68149895726228e-06
# BP_2_0: -6.56461513809465e-07
# NOME_FILE_FITS: 20260116_045734.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000014_stelle_trovate_e_catalogate_immagine_107.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,590.4016000513609,596.5851125063128,164.887723958,36.09420161527135,15.0,22.0,NO,1126,151.73051715772056,144.00325013056064,160.31,1.56,144.00325013056064,160.31,1.56,109.8706231208146,128.82,1.65,3.5,run_00000014,107,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,144.0,160.31,1.56,3.5
RA_164.882__DEC_36.096,590.4016000513609,596.5851125063128,164.887723958,36.09420161527135,15.0,22.0,NO,1083,151.73051715772056,144.00325013056064,160.49,1.58,144.00325013056064,160.49,1.58,109.8706231208146,128.97,1.67,3.5,run_00000014,107,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,144.0,160.49,1.58,3.5
RA_164.882__DEC_36.096,590.4016000513609,596.5851125063128,164.887723958,36.09420161527135,15.0,22.0,NO,1123,151.73051715772056,144.00325013056064,160.31,1.56,144.00325013056064,160.31,1.56,109.8706231208146,128.82,1.65,3.5,run_00000014,107,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,144.0,160.31,1.56,3.5
RA_164.882__DEC_36.096,590.4016000513609,596.5851125063128,164.887723958,36.09420161527135,15.0,22.0,NO,1128,151.73051715772056,144.00325013056064,160.19,1.55,144.00325013056064,160.19,1.55,109.8706231208146,128.72,1.63,3.5,run_00000014,107,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,144.0,160.19,1.55,3.5
RA_164.882__DEC_36.096,590.4016000513609,596.5851125063128,164.887723958,36.09420161527135,15.0,22.0,NO,1127,151.73051715772056,144.00325013056064,160.31,1.56,144.00325013056064,160.31,1.56,109.8706231208146,128.82,1.65,3.5,run_00000014,107,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,144.0,160.31,1.56,3.5
RA_165.211__DEC_39.212,1679.1223172190837,1919.032258247512,165.21247516916847,39.21100791207402,24.0,47.0,NO,1798,300.9838315936463,281.4459540850899,248.27,1.63,281.4459540850899,248.27,1.63,264.4730593284372,230.29,1.66,3.5,run_00000014,107,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,281.45,248.27,1.63,3.5
RA_165.211__DEC_39.212,1679.1223172190837,1919.032258247512,165.21247516916847,39.21100791207402,24.0,47.0,NO,1796,300.9838315936463,281.4459540850899,248.30,1.64,281.4459540850899,248.30,1.64,264.4730593284372,230.35,1.67,3.5,run_00000014,107,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,281.45,248.30,1.64,3.5
RA_165.211__DEC_39.212,1679.1223172190837,1919.032258247512,165.21247516916847,39.21100791207402,24.0,47.0,NO,1796,300.9838315936463,281.4459540850899,248.30,1.64,281.4459540850899,248.30,1.64,264.4730593284372,230.35,1.67,3.5,run_00000014,107,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,281.45,248.30,1.64,3.5
RA_166.129__DEC_38.242,1702.921583731979,1258.6672560332988,166.1319991596421,38.23980094568844,12.0,27.0,NO,1807,118.2735437354335,116.93336564385112,117.18,1.14,116.93336564385112,117.18,1.14,98.94109033005095,96.04,1.16,3.5,run_00000014,107,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,116.93,117.18,1.14,3.5
RA_166.129__DEC_38.242,1702.921583731979,1258.6672560332988,166.1319991596421,38.23980094568844,12.0,27.0,NO,1807,118.2735437354335,116.93336564385112,117.18,1.14,116.93336564385112,117.18,1.14,98.94109033005095,96.04,1.16,3.5,run_00000014,107,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,116.93,117.18,1.14,3.5
