# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T05:07:35.450
# DATE-END: 2026-01-16T05:07:35.593
# TSTART: 1768540055449.71
# TSTOP: 1768540055479.72
# DATE: 2026-01-16T05:07:36
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.749502514001
# DEC: 38.2110668828356
# EQUINOX: 2000.0
# CRVAL1: 166.749502514001
# CRVAL2: 38.2110668828356
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00140826819012662
# CD1_2: -0.00116331295075121
# CD2_1: 0.00116381354148266
# CD2_2: 0.00140890425170472
# A_ORDER: 2
# A_0_2: -8.12113398821149e-09
# A_1_1: -7.91989863172324e-08
# A_2_0: -3.253682039977e-07
# B_ORDER: 2
# B_0_2: 1.4421032312234e-07
# B_1_1: 1.301954977873e-07
# B_2_0: -7.49125994484887e-07
# AP_ORDER: 2
# AP_0_0: 1.20680260731791e-05
# AP_0_1: 6.29681538810189e-08
# AP_0_2: 8.12105201952406e-09
# AP_1_0: 3.93327172434537e-07
# AP_1_1: 7.91944620159904e-08
# AP_2_0: 3.25344477806751e-07
# BP_ORDER: 2
# BP_0_0: 1.49712575729192e-05
# BP_0_1: -7.31858228929887e-08
# BP_0_2: -1.44213597634049e-07
# BP_1_0: 5.88109728939401e-07
# BP_1_1: -1.30191005864164e-07
# BP_2_0: 7.49095891068571e-07
# NOME_FILE_FITS: 20260116_050735.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000015_stelle_trovate_e_catalogate_immagine_021.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.889DEC36.087,165.50992368817114,659.9683686752468,164.88796449623476,36.09097815165803,12.0,18.0,NO,1126,143.43584869863886,137.1318649821152,135.02,2.05,137.1318649821152,135.05,2.07,88.77185864325352,95.26,2.41,3.5,run_00000015,21,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,137.13,134.90,2.00,3.5
RA_164.889DEC36.087,165.50992368817114,659.9683686752468,164.88796449623476,36.09097815165803,12.0,18.0,NO,1083,143.43584869863886,137.1318649821152,135.02,2.16,137.1318649821152,135.05,2.18,88.77185864325352,95.44,2.54,3.5,run_00000015,21,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,137.13,134.90,2.10,3.5
RA_164.889DEC36.087,165.50992368817114,659.9683686752468,164.88796449623476,36.09097815165803,12.0,18.0,NO,1123,143.43584869863886,137.1318649821152,135.02,2.05,137.1318649821152,135.05,2.07,88.77185864325352,95.26,2.41,3.5,run_00000015,21,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,137.13,134.90,2.00,3.5
RA_164.889DEC36.087,165.50992368817114,659.9683686752468,164.88796449623476,36.09097815165803,12.0,18.0,NO,1128,143.43584869863886,137.1318649821152,135.02,2.05,137.1318649821152,135.05,2.07,88.77185864325352,95.26,2.41,3.5,run_00000015,21,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,137.13,134.90,2.00,3.5
RA_164.889DEC36.087,165.50992368817114,659.9683686752468,164.88796449623476,36.09097815165803,12.0,18.0,NO,1127,143.43584869863886,137.1318649821152,135.02,2.05,137.1318649821152,135.05,2.07,88.77185864325352,95.26,2.41,3.5,run_00000015,21,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,137.13,134.90,2.00,3.5
RA_165.211__DEC_39.212,1383.8873261754754,1865.1137997877463,165.21090478034728,39.21281144232015,22.0,57.0,NO,1798,250.4600376543993,244.9499758284628,248.34,2.61,244.9499758284628,248.34,2.61,229.3282851749397,230.86,2.58,3.5,run_00000015,21,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,244.95,248.34,2.61,3.5
RA_165.211__DEC_39.212,1383.8873261754754,1865.1137997877463,165.21090478034728,39.21281144232015,22.0,57.0,NO,1796,250.4600376543993,244.9499758284628,248.34,2.61,244.9499758284628,248.34,2.61,229.3282851749397,230.86,2.58,3.5,run_00000015,21,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,244.95,248.34,2.61,3.5
RA_165.211__DEC_39.212,1383.8873261754754,1865.1137997877463,165.21090478034728,39.21281144232015,22.0,57.0,NO,1796,250.4600376543993,244.9499758284628,248.34,2.61,244.9499758284628,248.34,2.61,229.3282851749397,230.86,2.58,3.5,run_00000015,21,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,244.95,248.34,2.61,3.5
RA_166.129__DEC_38.242,1340.3946733704713,1205.9130764587983,166.12983186259413,38.24189605160998,11.0,24.0,NO,1807,104.3421073353494,104.6194937203079,117.87,1.72,104.6194937203079,117.87,1.72,91.4531895718541,99.03,1.67,3.5,run_00000015,21,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,104.62,117.87,1.72,3.5
RA_166.129__DEC_38.242,1340.3946733704713,1205.9130764587983,166.12983186259413,38.24189605160998,11.0,24.0,NO,1807,104.3421073353494,104.6194937203079,117.87,1.72,104.6194937203079,117.87,1.72,91.4531895718541,99.03,1.67,3.5,run_00000015,21,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,104.62,117.87,1.72,3.5
