# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T05:09:36.669
# DATE-END: 2026-01-16T05:09:36.813
# TSTART: 1768540176669.15
# TSTOP: 1768540176699.15
# DATE: 2026-01-16T05:09:37
# EXPOSURE: 30000.0
# RA0: 1.740824e-06
# DEC0: 4.591214e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.748598978058
# DEC: 38.2104077040559
# EQUINOX: 2000.0
# CRVAL1: 166.748598978058
# CRVAL2: 38.2104077040558
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00137486167324008
# CD1_2: -0.00120462061146728
# CD2_1: 0.00120181044812285
# CD2_2: 0.00137157116961085
# A_ORDER: 2
# A_0_2: -9.52184432884009e-07
# A_1_1: -1.17229453459749e-06
# A_2_0: -8.13505661120249e-07
# B_ORDER: 2
# B_0_2: -1.66289783045173e-06
# B_1_1: -4.58800398038651e-06
# B_2_0: -2.61908948515405e-06
# AP_ORDER: 2
# AP_0_0: 0.000477643583125934
# AP_0_1: 1.36715458261905e-05
# AP_0_2: 9.51565557165382e-07
# AP_1_0: 1.14328082902276e-05
# AP_1_1: 1.17147132101307e-06
# AP_2_0: 8.13119489470035e-07
# BP_ORDER: 2
# BP_0_0: 0.00140017443225654
# BP_0_1: 3.90587970215671e-05
# BP_0_2: 1.66135586825473e-06
# BP_1_0: 3.61353859439878e-05
# BP_1_1: 4.58577672206086e-06
# BP_2_0: 2.61781382201849e-06
# NOME_FILE_FITS: 20260116_050936.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000015_stelle_trovate_e_catalogate_immagine_027.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.889DEC36.087,156.41832955200667,701.8499442269926,164.8905877785524,36.08859327150498,13.0,17.0,NO,1126,139.43832992922103,129.13356372831493,135.02,2.05,129.13356372831493,135.05,2.07,87.81238097101736,95.26,2.41,3.5,run_00000015,27,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,129.13,134.90,2.00,3.5
RA_164.889DEC36.087,156.41832955200667,701.8499442269926,164.8905877785524,36.08859327150498,13.0,17.0,NO,1083,139.43832992922103,129.13356372831493,135.02,2.16,129.13356372831493,135.05,2.18,87.81238097101736,95.44,2.54,3.5,run_00000015,27,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,129.13,134.90,2.10,3.5
RA_164.889DEC36.087,156.41832955200667,701.8499442269926,164.8905877785524,36.08859327150498,13.0,17.0,NO,1123,139.43832992922103,129.13356372831493,135.02,2.05,129.13356372831493,135.05,2.07,87.81238097101736,95.26,2.41,3.5,run_00000015,27,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,129.13,134.90,2.00,3.5
RA_164.889DEC36.087,156.41832955200667,701.8499442269926,164.8905877785524,36.08859327150498,13.0,17.0,NO,1128,139.43832992922103,129.13356372831493,135.02,2.05,129.13356372831493,135.05,2.07,87.81238097101736,95.26,2.41,3.5,run_00000015,27,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,129.13,134.90,2.00,3.5
RA_164.889DEC36.087,156.41832955200667,701.8499442269926,164.8905877785524,36.08859327150498,13.0,17.0,NO,1127,139.43832992922103,129.13356372831493,135.02,2.05,129.13356372831493,135.05,2.07,87.81238097101736,95.26,2.41,3.5,run_00000015,27,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,129.13,134.90,2.00,3.5
RA_165.211__DEC_39.212,1409.9404478784552,1870.2478010974835,165.21010860446293,39.21151370811244,24.0,58.0,NO,1798,252.85125807090373,240.8671548382672,248.34,2.61,240.8671548382672,248.34,2.61,220.5620052034828,230.86,2.58,3.5,run_00000015,27,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,240.87,248.34,2.61,3.5
RA_165.211__DEC_39.212,1409.9404478784552,1870.2478010974835,165.21010860446293,39.21151370811244,24.0,58.0,NO,1796,252.85125807090373,240.8671548382672,248.34,2.61,240.8671548382672,248.34,2.61,220.5620052034828,230.86,2.58,3.5,run_00000015,27,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,240.87,248.34,2.61,3.5
RA_165.211__DEC_39.212,1409.9404478784552,1870.2478010974835,165.21010860446293,39.21151370811244,24.0,58.0,NO,1796,252.85125807090373,240.8671548382672,248.34,2.61,240.8671548382672,248.34,2.61,220.5620052034828,230.86,2.58,3.5,run_00000015,27,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,240.87,248.34,2.61,3.5
RA_166.129__DEC_38.242,1347.0240272405056,1212.4467626769424,166.12902532073596,38.24398404358314,12.0,34.0,NO,1807,110.22416200890976,111.22436741741882,117.87,1.72,111.22436741741882,117.87,1.72,96.90314672684008,99.03,1.67,3.5,run_00000015,27,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,111.22,117.87,1.72,3.5
RA_166.129__DEC_38.242,1347.0240272405056,1212.4467626769424,166.12902532073596,38.24398404358314,12.0,34.0,NO,1807,110.22416200890976,111.22436741741882,117.87,1.72,111.22436741741882,117.87,1.72,96.90314672684008,99.03,1.67,3.5,run_00000015,27,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,111.22,117.87,1.72,3.5
