# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T05:42:54.616
# DATE-END: 2026-01-16T05:42:54.760
# TSTART: 1768542174615.66
# TSTOP: 1768542174645.67
# DATE: 2026-01-16T05:42:55
# EXPOSURE: 30000.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.111797065283
# DEC: 38.7113923387746
# EQUINOX: 2000.0
# CRVAL1: 166.111797065283
# CRVAL2: 38.7113923387746
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000862969418265765
# CD1_2: -0.00159921297876099
# CD2_1: 0.00160987394712121
# CD2_2: 0.000871426089935015
# A_ORDER: 2
# A_0_2: -1.76757302951933e-06
# A_1_1: -1.3608146980277e-08
# A_2_0: -1.01577483867541e-06
# B_ORDER: 2
# B_0_2: -1.67180878823152e-05
# B_1_1: 1.61869744887932e-05
# B_2_0: 2.50571733795457e-06
# AP_ORDER: 2
# AP_0_0: 0.00117832331647184
# AP_0_1: 3.06609945431677e-05
# AP_0_2: 1.76293404906045e-06
# AP_1_0: -1.61750273502585e-05
# AP_1_1: 1.57971685575239e-08
# AP_2_0: 1.01564163080508e-06
# BP_ORDER: 2
# BP_0_0: 0.0149953163051964
# BP_0_1: 0.000475127663300028
# BP_0_2: 1.6677927043617e-05
# BP_1_0: -0.000242756266375525
# BP_1_1: -1.61617918090012e-05
# BP_2_0: -2.51236039458739e-06
# NOME_FILE_FITS: 20260116_054254.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000016_stelle_trovate_e_catalogate_immagine_005.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1316,251.9671348012032,233.60485753840163,255.31,2.99,233.60485753840163,255.36,3.00,215.84358805879265,235.00,3.32,3.5,run_00000016,5,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,233.65,255.33,2.98,3.5
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1315,251.9671348012032,233.60485753840163,255.31,2.99,233.60485753840163,255.36,3.00,215.84358805879265,235.00,3.32,3.5,run_00000016,5,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,233.65,255.33,2.98,3.5
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1314,251.9671348012032,233.60485753840163,255.31,2.99,233.60485753840163,255.36,3.00,215.84358805879265,235.00,3.32,3.5,run_00000016,5,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,233.65,255.33,2.98,3.5
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1313,251.9671348012032,233.60485753840163,255.31,2.99,233.60485753840163,255.36,3.00,215.84358805879265,235.00,3.32,3.5,run_00000016,5,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,233.65,255.33,2.98,3.5
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1308,251.9671348012032,233.60485753840163,255.82,3.02,233.60485753840163,255.88,3.03,215.84358805879265,235.56,3.35,3.5,run_00000016,5,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,233.66,255.84,3.01,3.5
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1314,251.9671348012032,233.60485753840163,255.31,2.99,233.60485753840163,255.36,3.00,215.84358805879265,235.00,3.32,3.5,run_00000016,5,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,233.65,255.33,2.98,3.5
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1315,251.9671348012032,233.60485753840163,255.82,3.02,233.60485753840163,255.88,3.03,215.84358805879265,235.56,3.35,3.5,run_00000016,5,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,233.66,255.84,3.01,3.5
RA_164.864__DEC_40.420,2114.9332884264536,1933.2948594144104,164.86437754936304,40.42547011266218,25.0,44.0,NO,1274,251.9671348012032,233.60485753840163,255.61,3.20,233.60485753840163,255.66,3.22,215.84358805879265,235.40,3.54,3.5,run_00000016,5,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,233.66,255.63,3.19,3.5
RA_164.889DEC36.087,18.89192768832061,813.8124103650327,164.88496443449463,36.090118511130974,15.0,16.0,NO,1126,162.42353678424206,146.2107582581611,133.80,2.51,146.2107582581611,134.03,2.60,108.4812212964095,93.84,3.23,3.5,run_00000016,5,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,147.85,135.13,2.49,3.58
RA_164.889DEC36.087,18.89192768832061,813.8124103650327,164.88496443449463,36.090118511130974,15.0,16.0,NO,1083,162.42353678424206,146.2107582581611,134.35,2.69,146.2107582581611,134.61,2.80,108.4812212964095,94.98,3.45,3.5,run_00000016,5,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,148.32,136.08,2.69,3.61
