# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T05:48:17.974
# DATE-END: 2026-01-16T05:48:17.117
# TSTART: 1768542497973.9
# TSTOP: 1768542498003.91
# DATE: 2026-01-16T05:48:18
# EXPOSURE: 30000.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115714243997
# DEC: 38.7089982351999
# EQUINOX: 2000.0
# CRVAL1: 166.115714243997
# CRVAL2: 38.7089982351999
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00081165253238591
# CD1_2: -0.00163570774138354
# CD2_1: 0.00163643479067329
# CD2_2: 0.000812177760661291
# A_ORDER: 2
# A_0_2: -6.68146223176355e-08
# A_1_1: -5.41066232674372e-07
# A_2_0: -1.05728260376258e-07
# B_ORDER: 2
# B_0_2: -4.83628809058628e-07
# B_1_1: -6.05545726995375e-07
# B_2_0: 2.64676701560719e-07
# AP_ORDER: 2
# AP_0_0: 8.67818627100133e-06
# AP_0_1: 4.47503198166189e-07
# AP_0_2: 6.68001735370536e-08
# AP_1_0: 5.49156654715873e-08
# AP_1_1: 5.41030959365011e-07
# AP_2_0: 1.05725093236639e-07
# BP_ORDER: 2
# BP_0_0: 6.00973938527834e-06
# BP_0_1: 2.36539545369189e-07
# BP_0_2: 4.83584924606872e-07
# BP_1_0: 1.01874469529022e-07
# BP_1_1: 6.05508940587224e-07
# BP_2_0: -2.6466582332278e-07
# NOME_FILE_FITS: 20260116_054817.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000016_stelle_trovate_e_catalogate_immagine_021.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1316,272.9856374091348,253.20071358050544,255.31,2.99,253.20071358050544,255.36,3.00,232.55382329632243,235.00,3.32,3.5,run_00000016,21,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,253.25,255.33,2.98,3.5
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1315,272.9856374091348,253.20071358050544,255.31,2.99,253.20071358050544,255.36,3.00,232.55382329632243,235.00,3.32,3.5,run_00000016,21,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,253.25,255.33,2.98,3.5
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1314,272.9856374091348,253.20071358050544,255.31,2.99,253.20071358050544,255.36,3.00,232.55382329632243,235.00,3.32,3.5,run_00000016,21,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,253.25,255.33,2.98,3.5
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1313,272.9856374091348,253.20071358050544,255.31,2.99,253.20071358050544,255.36,3.00,232.55382329632243,235.00,3.32,3.5,run_00000016,21,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,253.25,255.33,2.98,3.5
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1308,272.9856374091348,253.20071358050544,255.82,3.02,253.20071358050544,255.88,3.03,232.55382329632243,235.56,3.35,3.5,run_00000016,21,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,253.25,255.84,3.01,3.5
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1314,272.9856374091348,253.20071358050544,255.31,2.99,253.20071358050544,255.36,3.00,232.55382329632243,235.00,3.32,3.5,run_00000016,21,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,253.25,255.33,2.98,3.5
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1315,272.9856374091348,253.20071358050544,255.82,3.02,253.20071358050544,255.88,3.03,232.55382329632243,235.56,3.35,3.5,run_00000016,21,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,253.25,255.84,3.01,3.5
RA_164.865__DEC_40.434,2150.9574430925486,1910.3751035598336,164.86664704503784,40.43052324540174,26.0,46.0,NO,1274,272.9856374091348,253.20071358050544,255.61,3.20,253.20071358050544,255.66,3.22,232.55382329632243,235.40,3.54,3.5,run_00000016,21,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,253.25,255.63,3.19,3.5
RA_164.882__DEC_36.096,12.024874282928105,874.7292578348978,164.88565241529696,36.09284772584744,14.0,15.0,NO,1126,146.89732439056343,133.7105020453066,133.80,2.51,133.7105020453066,134.03,2.60,93.43464364743896,93.84,3.23,3.5,run_00000016,21,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,135.3,135.13,2.49,3.58
RA_164.882__DEC_36.096,12.024874282928105,874.7292578348978,164.88565241529696,36.09284772584744,14.0,15.0,NO,1083,146.89732439056343,133.7105020453066,134.35,2.69,133.7105020453066,134.61,2.80,93.43464364743896,94.98,3.45,3.5,run_00000016,21,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,135.68,136.08,2.69,3.61
