# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T05:48:58.304
# DATE-END: 2026-01-16T05:48:58.449
# TSTART: 1768542538304.38
# TSTOP: 1768542538334.39
# DATE: 2026-01-16T05:48:59
# EXPOSURE: 30000.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115796399892
# DEC: 38.7092433240463
# EQUINOX: 2000.0
# CRVAL1: 166.115796399892
# CRVAL2: 38.7092433240463
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000803698752644607
# CD1_2: -0.00164095204704467
# CD2_1: 0.00164199230948021
# CD2_2: 0.000803187714100742
# A_ORDER: 2
# A_0_2: -2.05640778780532e-07
# A_1_1: -1.37504156472147e-06
# A_2_0: 9.01379978425636e-07
# B_ORDER: 2
# B_0_2: -4.51586612630851e-07
# B_1_1: -2.15549963320666e-06
# B_2_0: 9.80874313422445e-07
# AP_ORDER: 2
# AP_0_0: 3.41682104561869e-05
# AP_0_1: -6.37631664059512e-07
# AP_0_2: 2.05528320534073e-07
# AP_1_0: 1.50263063122391e-06
# AP_1_1: 1.3750187518394e-06
# AP_2_0: -9.01386333625406e-07
# BP_ORDER: 2
# BP_0_0: 4.53030138174881e-05
# BP_0_1: -1.64542715151727e-07
# BP_0_2: 4.51387018620136e-07
# BP_1_0: 1.48452195824899e-06
# BP_1_1: 2.15539720076458e-06
# BP_2_0: -9.80842233196977e-07
# NOME_FILE_FITS: 20260116_054858.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000016_stelle_trovate_e_catalogate_immagine_023.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1316,264.40349067331726,253.36738966358607,255.31,2.99,253.36738966358607,255.36,3.00,232.8112665692418,235.00,3.32,3.5,run_00000016,23,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,253.41,255.33,2.98,3.5
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1315,264.40349067331726,253.36738966358607,255.31,2.99,253.36738966358607,255.36,3.00,232.8112665692418,235.00,3.32,3.5,run_00000016,23,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,253.41,255.33,2.98,3.5
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1314,264.40349067331726,253.36738966358607,255.31,2.99,253.36738966358607,255.36,3.00,232.8112665692418,235.00,3.32,3.5,run_00000016,23,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,253.41,255.33,2.98,3.5
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1313,264.40349067331726,253.36738966358607,255.31,2.99,253.36738966358607,255.36,3.00,232.8112665692418,235.00,3.32,3.5,run_00000016,23,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,253.41,255.33,2.98,3.5
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1308,264.40349067331726,253.36738966358607,255.82,3.02,253.36738966358607,255.88,3.03,232.8112665692418,235.56,3.35,3.5,run_00000016,23,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,253.41,255.84,3.01,3.5
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1314,264.40349067331726,253.36738966358607,255.31,2.99,253.36738966358607,255.36,3.00,232.8112665692418,235.00,3.32,3.5,run_00000016,23,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,253.41,255.33,2.98,3.5
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1315,264.40349067331726,253.36738966358607,255.82,3.02,253.36738966358607,255.88,3.03,232.8112665692418,235.56,3.35,3.5,run_00000016,23,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,253.41,255.84,3.01,3.5
RA_164.865__DEC_40.434,2154.947590448711,1907.521474361552,164.8655488723271,40.42972804430113,26.0,47.0,NO,1274,264.40349067331726,253.36738966358607,255.61,3.20,253.36738966358607,255.66,3.22,232.8112665692418,235.40,3.54,3.5,run_00000016,23,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,253.41,255.63,3.19,3.5
RA_164.882__DEC_36.096,11.49799789711559,881.7632847959075,164.88626198089315,36.09536024887666,14.0,20.0,NO,1126,155.02458991202857,142.33262883314254,133.80,2.51,142.33262883314254,134.03,2.60,98.36999345947898,93.84,3.23,3.5,run_00000016,23,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,143.57,135.13,2.49,3.58
RA_164.882__DEC_36.096,11.49799789711559,881.7632847959075,164.88626198089315,36.09536024887666,14.0,20.0,NO,1083,155.02458991202857,142.33262883314254,134.35,2.69,142.33262883314254,134.61,2.80,98.36999345947898,94.98,3.45,3.5,run_00000016,23,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,143.94,136.08,2.69,3.61
