# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-16T05:58:42.506
# DATE-END: 2026-01-16T05:58:42.650
# TSTART: 1768543122506.41
# TSTOP: 1768543122536.42
# DATE: 2026-01-16T05:58:43
# EXPOSURE: 30000.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.11168101403
# DEC: 38.7107565182868
# EQUINOX: 2000.0
# CRVAL1: 166.11168101403
# CRVAL2: 38.7107565182868
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000697910561549355
# CD1_2: -0.00168733854873059
# CD2_1: 0.00168752624261165
# CD2_2: 0.000696996760828596
# A_ORDER: 2
# A_0_2: 8.62111056919934e-07
# A_1_1: -5.430168901866e-07
# A_2_0: -4.81819563183946e-07
# B_ORDER: 2
# B_0_2: -1.38188540755935e-06
# B_1_1: 6.23961990638918e-07
# B_2_0: -1.51682380968415e-07
# AP_ORDER: 2
# AP_0_0: -2.11891146759532e-05
# AP_0_1: -1.6824396569093e-06
# AP_0_2: -8.61951780438909e-07
# AP_1_0: 1.2757275693452e-06
# AP_1_1: 5.42960384453664e-07
# AP_2_0: 4.81798157433614e-07
# BP_ORDER: 2
# BP_0_0: 5.96562545187288e-05
# BP_0_1: 3.36235342987687e-06
# BP_0_2: 1.38165367967041e-06
# BP_1_0: -1.06575893195613e-06
# BP_1_1: -6.23847618074194e-07
# BP_2_0: 1.5166570523421e-07
# NOME_FILE_FITS: 20260116_055842.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000016_stelle_trovate_e_catalogate_immagine_041.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1316,275.29795800845534,244.71527462477823,255.31,2.99,244.71527462477823,255.36,3.00,220.00843176810903,235.00,3.32,3.5,run_00000016,41,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,244.76,255.33,2.98,3.5
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1315,275.29795800845534,244.71527462477823,255.31,2.99,244.71527462477823,255.36,3.00,220.00843176810903,235.00,3.32,3.5,run_00000016,41,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,244.76,255.33,2.98,3.5
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1314,275.29795800845534,244.71527462477823,255.31,2.99,244.71527462477823,255.36,3.00,220.00843176810903,235.00,3.32,3.5,run_00000016,41,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,244.76,255.33,2.98,3.5
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1313,275.29795800845534,244.71527462477823,255.31,2.99,244.71527462477823,255.36,3.00,220.00843176810903,235.00,3.32,3.5,run_00000016,41,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,244.76,255.33,2.98,3.5
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1308,275.29795800845534,244.71527462477823,255.82,3.02,244.71527462477823,255.88,3.03,220.00843176810903,235.56,3.35,3.5,run_00000016,41,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,244.76,255.84,3.01,3.5
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1314,275.29795800845534,244.71527462477823,255.31,2.99,244.71527462477823,255.36,3.00,220.00843176810903,235.00,3.32,3.5,run_00000016,41,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,244.76,255.33,2.98,3.5
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1315,275.29795800845534,244.71527462477823,255.82,3.02,244.71527462477823,255.88,3.03,220.00843176810903,235.56,3.35,3.5,run_00000016,41,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,244.76,255.84,3.01,3.5
RA_164.865__DEC_40.434,2209.827874160168,1864.6388187427328,164.86635927360322,40.42981035858119,24.0,38.0,NO,1274,275.29795800845534,244.71527462477823,255.61,3.20,244.71527462477823,255.66,3.22,220.00843176810903,235.40,3.54,3.5,run_00000016,41,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,244.77,255.63,3.19,3.5
RA_165.211__DEC_39.212,1643.7721487785193,1481.5292107542198,165.21123426110807,39.21168743857129,30.0,74.0,NO,1798,346.1049287258916,320.540348014188,275.80,3.95,320.540348014188,275.80,3.95,308.7611877409708,257.47,4.10,3.5,run_00000016,41,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,320.54,275.80,3.95,3.5
RA_165.211__DEC_39.212,1643.7721487785193,1481.5292107542198,165.21123426110807,39.21168743857129,30.0,74.0,NO,1796,346.1049287258916,320.540348014188,275.80,3.95,320.540348014188,275.80,3.95,308.7611877409708,257.47,4.10,3.5,run_00000016,41,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,320.54,275.80,3.95,3.5
