# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T02:27:38.928
# DATE-END: 2026-01-17T02:27:38.072
# TSTART: 1768616858928.07
# TSTOP: 1768616858958.08
# DATE: 2026-01-17T02:27:39
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.747442231361
# DEC: 38.2063415520231
# EQUINOX: 2000.0
# CRVAL1: 166.747442231361
# CRVAL2: 38.2063415520231
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000381467593730911
# CD1_2: 0.00178342357795589
# CD2_1: -0.00178688789420962
# CD2_2: 0.00037863184875425
# A_ORDER: 2
# A_0_2: -5.60990715319686e-06
# A_1_1: -5.15573192687917e-06
# A_2_0: 4.29171440133652e-07
# B_ORDER: 2
# B_0_2: 7.03921524493404e-06
# B_1_1: -1.91997618141519e-07
# B_2_0: 1.08264713748117e-06
# AP_ORDER: 2
# AP_0_0: -0.000970901575646543
# AP_0_1: -4.70094384543329e-05
# AP_0_2: 5.61238040398684e-06
# AP_1_0: -1.20557205217738e-05
# AP_1_1: 5.15717439449807e-06
# AP_2_0: -4.2838998799468e-07
# BP_ORDER: 2
# BP_0_0: 0.000667949426773854
# BP_0_1: 6.85120578424342e-05
# BP_0_2: -7.04294807140823e-06
# BP_1_0: -4.46411484983481e-06
# BP_1_1: 1.92191161998946e-07
# BP_2_0: -1.08275925307852e-06
# NOME_FILE_FITS: 20260117_022738.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000017_stelle_trovate_e_catalogate_immagine_075.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.863__DEC_40.444,171.69582212290177,508.8381389890881,164.86903989271767,40.43975503314771,24.0,23.0,NO,1316,240.72032760455085,230.28553026892368,267.75,4.38,231.01125455400395,268.96,4.42,211.07093923714635,245.11,4.45,3.620476538931925,run_00000017,75,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,237.57,273.45,4.23,4.13
RA_164.863__DEC_40.444,171.69582212290177,508.8381389890881,164.86903989271767,40.43975503314771,24.0,23.0,NO,1315,240.72032760455085,230.28553026892368,268.13,4.28,231.01125455400395,269.32,4.31,211.07093923714635,245.63,4.34,3.620476538931925,run_00000017,75,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,237.55,273.81,4.12,4.13
RA_164.863__DEC_40.444,171.69582212290177,508.8381389890881,164.86903989271767,40.43975503314771,24.0,23.0,NO,1314,240.72032760455085,230.28553026892368,268.16,4.35,231.01125455400395,269.37,4.38,211.07093923714635,245.57,4.42,3.620476538931925,run_00000017,75,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,237.57,273.92,4.19,4.13
RA_164.863__DEC_40.444,171.69582212290177,508.8381389890881,164.86903989271767,40.43975503314771,24.0,23.0,NO,1313,240.72032760455085,230.28553026892368,268.13,4.28,231.01125455400395,269.32,4.31,211.07093923714635,245.63,4.34,3.620476538931925,run_00000017,75,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,237.55,273.81,4.12,4.13
RA_164.863__DEC_40.444,171.69582212290177,508.8381389890881,164.86903989271767,40.43975503314771,24.0,23.0,NO,1314,240.72032760455085,230.28553026892368,268.16,4.35,231.01125455400395,269.37,4.38,211.07093923714635,245.57,4.42,3.620476538931925,run_00000017,75,SI (Rank 5),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,237.57,273.92,4.19,4.13
RA_165.211__DEC_39.212,855.7654294092367,499.477741302358,165.21354462996968,39.21751520475158,28.0,44.0,NO,1798,279.31422105609295,266.6807828276785,279.33,3.27,266.6807828276785,279.47,3.29,249.91944155184183,264.25,3.50,3.5,run_00000017,75,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,268.35,280.90,3.26,3.6
RA_165.211__DEC_39.212,855.7654294092367,499.477741302358,165.21354462996968,39.21751520475158,28.0,44.0,NO,1796,279.31422105609295,266.6807828276785,279.43,3.30,266.6807828276785,279.57,3.32,249.91944155184183,264.38,3.53,3.5,run_00000017,75,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,268.36,281.02,3.30,3.6
RA_165.211__DEC_39.212,855.7654294092367,499.477741302358,165.21354462996968,39.21751520475158,28.0,44.0,NO,1796,279.31422105609295,266.6807828276785,279.43,3.30,266.6807828276785,279.57,3.32,249.91944155184183,264.38,3.53,3.5,run_00000017,75,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,268.36,281.02,3.30,3.6
RA_166.129__DEC_38.242,1460.4577201551365,765.5316352661653,166.12883475093054,38.24073674798115,12.0,19.0,NO,1807,99.69788837740631,100.12432116440452,121.10,2.12,100.12432116440452,121.10,2.12,74.50324544180774,96.72,2.44,3.5,run_00000017,75,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,100.12,121.10,2.12,3.5
RA_166.129__DEC_38.242,1460.4577201551365,765.5316352661653,166.12883475093054,38.24073674798115,12.0,19.0,NO,1807,99.69788837740631,100.12432116440452,121.10,2.12,100.12432116440452,121.10,2.12,74.50324544180774,96.72,2.44,3.5,run_00000017,75,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,100.12,121.10,2.12,3.5
