# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T02:47:01.670
# DATE-END: 2026-01-17T02:47:01.814
# TSTART: 1768618021669.88
# TSTOP: 1768618021699.89
# DATE: 2026-01-17T02:47:02
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.11542679326
# DEC: 38.7094184593142
# EQUINOX: 2000.0
# CRVAL1: 166.11542679326
# CRVAL2: 38.7094184593142
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000595028368578517
# CD1_2: 0.00172488329280554
# CD2_1: -0.00172193362466144
# CD2_2: 0.000586492853949575
# A_ORDER: 2
# A_0_2: 1.67300786207487e-06
# A_1_1: -3.87165712176242e-06
# A_2_0: 1.90096216643069e-06
# B_ORDER: 2
# B_0_2: -7.72282057887069e-07
# B_1_1: 2.97274154507407e-06
# B_2_0: -1.81706212236169e-06
# AP_ORDER: 2
# AP_0_0: -0.000367897843270034
# AP_0_1: -3.8531346887164e-05
# AP_0_2: -1.6726966056265e-06
# AP_1_0: 3.35289595788175e-05
# AP_1_1: 3.87179084829973e-06
# AP_2_0: -1.90094284765641e-06
# BP_ORDER: 2
# BP_0_0: 0.000267536344199707
# BP_0_1: 2.98151683910067e-05
# BP_0_2: 7.72051527388068e-07
# BP_1_0: -2.70834428507124e-05
# BP_1_1: -2.97292855908636e-06
# BP_2_0: 1.81709777731424e-06
# NOME_FILE_FITS: 20260117_024701.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000018_stelle_trovate_e_catalogate_immagine_011.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1316,208.63918840052537,205.80733943499584,269.91,4.05,205.80733943499584,270.03,4.08,183.28057411687195,251.19,4.25,3.5,run_00000018,11,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,207.16,273.24,4.06,3.7
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1315,208.63918840052537,205.80733943499584,270.08,4.05,205.80733943499584,270.20,4.08,183.28057411687195,251.43,4.24,3.5,run_00000018,11,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,207.23,273.60,4.07,3.71
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1314,208.63918840052537,205.80733943499584,270.08,4.05,205.80733943499584,270.20,4.08,183.28057411687195,251.43,4.24,3.5,run_00000018,11,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,207.23,273.60,4.07,3.71
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1313,208.63918840052537,205.80733943499584,270.08,4.05,205.80733943499584,270.20,4.08,183.28057411687195,251.43,4.24,3.5,run_00000018,11,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,207.23,273.60,4.07,3.71
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1308,208.63918840052537,205.80733943499584,269.91,4.05,205.80733943499584,270.03,4.08,183.28057411687195,251.19,4.25,3.5,run_00000018,11,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,207.16,273.24,4.06,3.7
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1314,208.63918840052537,205.80733943499584,269.57,4.07,205.80733943499584,269.69,4.10,183.28057411687195,250.92,4.27,3.5,run_00000018,11,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,207.16,272.87,4.09,3.7
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1315,208.63918840052537,205.80733943499584,269.91,4.05,205.80733943499584,270.03,4.08,183.28057411687195,251.19,4.25,3.5,run_00000018,11,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,207.16,273.24,4.06,3.7
RA_164.864__DEC_40.420,470.0104771115151,837.8825923805495,164.86346389877326,40.42347414199587,21.0,28.0,NO,1274,208.63918840052537,205.80733943499584,270.20,4.08,205.80733943499584,270.33,4.11,183.28057411687195,251.46,4.29,3.5,run_00000018,11,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,207.19,273.65,4.09,3.7
RA_164.889DEC36.087,2710.19584468875,44.57408406963208,164.88729846600788,36.08809756331483,12.0,17.0,NO,1126,119.53732078498338,116.10650932678048,131.44,5.26,116.10650932678048,131.68,5.37,80.12676704877329,91.36,6.54,3.5,run_00000018,11,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,116.57,132.23,5.17,3.57
RA_164.889DEC36.087,2710.19584468875,44.57408406963208,164.88729846600788,36.08809756331483,12.0,17.0,NO,1083,119.53732078498338,116.10650932678048,126.93,4.44,116.10650932678048,127.02,4.46,80.12676704877329,86.20,5.74,3.5,run_00000018,11,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,116.36,127.49,4.48,3.54
