# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T02:51:14.135
# DATE-END: 2026-01-17T02:51:14.278
# TSTART: 1768618274134.59
# TSTOP: 1768618274164.59
# DATE: 2026-01-17T02:51:14
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.108182749383
# DEC: 38.7086584159958
# EQUINOX: 2000.0
# CRVAL1: 166.108182749383
# CRVAL2: 38.7086584159958
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000634338204017066
# CD1_2: 0.00171615953951806
# CD2_1: -0.0017119916848031
# CD2_2: 0.000633431526064476
# A_ORDER: 2
# A_0_2: -3.41352787100251e-07
# A_1_1: -4.31721066937459e-07
# A_2_0: 3.92917267642223e-07
# B_ORDER: 2
# B_0_2: 1.45295377831715e-06
# B_1_1: 7.82029918938535e-07
# B_2_0: -1.56841208214014e-07
# AP_ORDER: 2
# AP_0_0: -1.88208215630444e-05
# AP_0_1: -1.15412410921738e-06
# AP_0_2: 3.41416947469629e-07
# AP_1_0: 1.09753137522116e-07
# AP_1_1: 4.31788230575955e-07
# AP_2_0: -3.92921046861411e-07
# BP_ORDER: 2
# BP_0_0: 6.47090344892594e-05
# BP_0_1: 3.04865886677263e-06
# BP_0_2: -1.45321107946782e-06
# BP_1_0: 7.80067648929181e-07
# BP_1_1: -7.82162005025047e-07
# BP_2_0: 1.56841480891125e-07
# NOME_FILE_FITS: 20260117_025114.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000018_stelle_trovate_e_catalogate_immagine_018.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1316,228.8768404150502,218.276244651652,269.91,4.05,218.276244651652,270.03,4.08,197.0574654095351,251.19,4.25,3.5,run_00000018,18,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,221.8,273.24,4.06,3.7
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1315,228.8768404150502,218.276244651652,270.08,4.05,218.276244651652,270.20,4.08,197.0574654095351,251.43,4.24,3.5,run_00000018,18,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,222.03,273.60,4.07,3.71
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1314,228.8768404150502,218.276244651652,270.08,4.05,218.276244651652,270.20,4.08,197.0574654095351,251.43,4.24,3.5,run_00000018,18,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,222.03,273.60,4.07,3.71
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1313,228.8768404150502,218.276244651652,270.08,4.05,218.276244651652,270.20,4.08,197.0574654095351,251.43,4.24,3.5,run_00000018,18,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,222.03,273.60,4.07,3.71
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1308,228.8768404150502,218.276244651652,269.91,4.05,218.276244651652,270.03,4.08,197.0574654095351,251.19,4.25,3.5,run_00000018,18,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,221.8,273.24,4.06,3.7
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1314,228.8768404150502,218.276244651652,269.57,4.07,218.276244651652,269.69,4.10,197.0574654095351,250.92,4.27,3.5,run_00000018,18,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,221.8,272.87,4.09,3.7
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1315,228.8768404150502,218.276244651652,269.91,4.05,218.276244651652,270.03,4.08,197.0574654095351,251.19,4.25,3.5,run_00000018,18,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,221.8,273.24,4.06,3.7
RA_164.865__DEC_40.434,467.2798729815309,864.9762020070895,164.8646310553198,40.42813057530372,24.0,25.0,NO,1274,228.8768404150502,218.276244651652,270.20,4.08,218.276244651652,270.33,4.11,197.0574654095351,251.46,4.29,3.5,run_00000018,18,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,221.91,273.65,4.09,3.7
RA_164.882__DEC_36.096,2688.0903962649536,19.217860823670847,164.8856309549988,36.09286561663808,17.0,16.0,NO,1126,174.6834442288383,153.93010314922537,131.44,5.26,153.93010314922537,131.68,5.37,115.4508000996478,91.36,6.54,3.5,run_00000018,18,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,155.28,132.23,5.17,3.57
RA_164.882__DEC_36.096,2688.0903962649536,19.217860823670847,164.8856309549988,36.09286561663808,17.0,16.0,NO,1083,174.6834442288383,153.93010314922537,126.93,4.44,153.93010314922537,127.02,4.46,115.4508000996478,86.20,5.74,3.5,run_00000018,18,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,154.68,127.49,4.48,3.54
