# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:03:01.168
# DATE-END: 2026-01-17T03:03:01.312
# TSTART: 1768618981168.05
# TSTOP: 1768618981198.06
# DATE: 2026-01-17T03:03:02
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.111817916282
# DEC: 38.7112705786711
# EQUINOX: 2000.0
# CRVAL1: 166.111817916282
# CRVAL2: 38.7112705786711
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000755312907497403
# CD1_2: 0.00166474678107101
# CD2_1: -0.00166207770937852
# CD2_2: 0.000760453526636996
# A_ORDER: 2
# A_0_2: -2.52692856696227e-06
# A_1_1: -1.01354355344357e-06
# A_2_0: 6.36472788360832e-07
# B_ORDER: 2
# B_0_2: 2.99833052392707e-06
# B_1_1: 1.2887779566991e-06
# B_2_0: 5.53493478440982e-07
# AP_ORDER: 2
# AP_0_0: -0.000376230733781746
# AP_0_1: -1.2977701392284e-05
# AP_0_2: 2.52802570434031e-06
# AP_1_0: -3.78324024102406e-06
# AP_1_1: 1.01431192339325e-06
# AP_2_0: -6.36309512936273e-07
# BP_ORDER: 2
# BP_0_0: 0.000393069443732349
# BP_0_1: 1.32125082206445e-05
# BP_0_2: -2.99953268309999e-06
# BP_1_0: 4.74965390577621e-06
# BP_1_1: -1.28928597690034e-06
# BP_2_0: -5.53685177733256e-07
# NOME_FILE_FITS: 20260117_030301.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000018_stelle_trovate_e_catalogate_immagine_038.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1316,288.40249525575626,271.4753592003533,269.91,4.05,271.4753592003533,270.03,4.08,251.2508992069544,251.19,4.25,3.5,run_00000018,38,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,275.72,273.24,4.06,3.7
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1315,288.40249525575626,271.4753592003533,270.08,4.05,271.4753592003533,270.20,4.08,251.2508992069544,251.43,4.24,3.5,run_00000018,38,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,275.96,273.60,4.07,3.71
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1314,288.40249525575626,271.4753592003533,270.08,4.05,271.4753592003533,270.20,4.08,251.2508992069544,251.43,4.24,3.5,run_00000018,38,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,275.96,273.60,4.07,3.71
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1313,288.40249525575626,271.4753592003533,270.08,4.05,271.4753592003533,270.20,4.08,251.2508992069544,251.43,4.24,3.5,run_00000018,38,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,275.96,273.60,4.07,3.71
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1308,288.40249525575626,271.4753592003533,269.91,4.05,271.4753592003533,270.03,4.08,251.2508992069544,251.19,4.25,3.5,run_00000018,38,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,275.72,273.24,4.06,3.7
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1314,288.40249525575626,271.4753592003533,269.57,4.07,271.4753592003533,269.69,4.10,251.2508992069544,250.92,4.27,3.5,run_00000018,38,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,275.72,272.87,4.09,3.7
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1315,288.40249525575626,271.4753592003533,269.91,4.05,271.4753592003533,270.03,4.08,251.2508992069544,251.19,4.25,3.5,run_00000018,38,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,275.72,273.24,4.06,3.7
RA_164.865__DEC_40.434,458.9481540654082,940.1138525874782,164.86738408774198,40.42862133260184,26.0,38.0,NO,1274,288.40249525575626,271.4753592003533,270.20,4.08,271.4753592003533,270.33,4.11,251.2508992069544,251.46,4.29,3.5,run_00000018,38,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,275.84,273.65,4.09,3.7
RA_165.211__DEC_39.212,1125.0027665656328,788.6986559895977,165.21105237183266,39.21111286444788,28.0,63.0,NO,1798,335.1360721955573,310.57236258785184,283.77,3.84,310.57236258785184,283.84,3.85,304.4727419747585,269.55,4.14,3.5,run_00000018,38,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,310.57,283.77,3.84,3.5
RA_165.211__DEC_39.212,1125.0027665656328,788.6986559895977,165.21105237183266,39.21111286444788,28.0,63.0,NO,1796,335.1360721955573,310.57236258785184,283.77,3.84,310.57236258785184,283.84,3.85,304.4727419747585,269.55,4.14,3.5,run_00000018,38,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,310.57,283.77,3.84,3.5
