# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:12:03.681
# DATE-END: 2026-01-17T03:12:03.825
# TSTART: 1768619523681.04
# TSTOP: 1768619523711.05
# DATE: 2026-01-17T03:12:04
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.126870062052
# DEC: 38.7165902913375
# EQUINOX: 2000.0
# CRVAL1: 166.126870062052
# CRVAL2: 38.7165902913375
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000858624002244667
# CD1_2: 0.00161454467169733
# CD2_1: -0.00161235911091346
# CD2_2: 0.000864578836588053
# A_ORDER: 2
# A_0_2: 8.63233717569129e-07
# A_1_1: 9.46705744958929e-07
# A_2_0: -1.21533879151782e-06
# B_ORDER: 2
# B_0_2: 2.14614456937699e-06
# B_1_1: -7.34207312476615e-07
# B_2_0: -5.23153112521513e-07
# AP_ORDER: 2
# AP_0_0: 7.40590999515215e-05
# AP_0_1: -1.13665291502661e-06
# AP_0_2: -8.6336219335006e-07
# AP_1_0: 3.43061949987036e-06
# AP_1_1: -9.46438928893279e-07
# AP_2_0: 1.21520541325832e-06
# BP_ORDER: 2
# BP_0_0: 4.69267380939442e-05
# BP_0_1: 4.161328308377e-06
# BP_0_2: -2.14626277036636e-06
# BP_1_0: 1.09094957788325e-07
# BP_1_1: 7.34440416989768e-07
# BP_2_0: 5.23045005376499e-07
# NOME_FILE_FITS: 20260117_031203.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000018_stelle_trovate_e_catalogate_immagine_056.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1316,244.5201494372253,233.0334656873328,269.91,4.05,233.0334656873328,270.03,4.08,215.5651476713957,251.19,4.25,3.5,run_00000018,56,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,235.17,273.24,4.06,3.7
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1315,244.5201494372253,233.0334656873328,270.08,4.05,233.0334656873328,270.20,4.08,215.5651476713957,251.43,4.24,3.5,run_00000018,56,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,235.3,273.60,4.07,3.71
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1314,244.5201494372253,233.0334656873328,270.08,4.05,233.0334656873328,270.20,4.08,215.5651476713957,251.43,4.24,3.5,run_00000018,56,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,235.3,273.60,4.07,3.71
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1313,244.5201494372253,233.0334656873328,270.08,4.05,233.0334656873328,270.20,4.08,215.5651476713957,251.43,4.24,3.5,run_00000018,56,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,235.3,273.60,4.07,3.71
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1308,244.5201494372253,233.0334656873328,269.91,4.05,233.0334656873328,270.03,4.08,215.5651476713957,251.19,4.25,3.5,run_00000018,56,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,235.17,273.24,4.06,3.7
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1314,244.5201494372253,233.0334656873328,269.57,4.07,233.0334656873328,269.69,4.10,215.5651476713957,250.92,4.27,3.5,run_00000018,56,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,235.17,272.87,4.09,3.7
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1315,244.5201494372253,233.0334656873328,269.91,4.05,233.0334656873328,270.03,4.08,215.5651476713957,251.19,4.25,3.5,run_00000018,56,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,235.17,273.24,4.06,3.7
RA_164.865__DEC_40.434,456.0007488112423,1002.44166419336,164.8654947914067,40.43250864007784,24.0,43.0,NO,1274,244.5201494372253,233.0334656873328,270.20,4.08,233.0334656873328,270.33,4.11,215.5651476713957,251.46,4.29,3.5,run_00000018,56,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,235.24,273.65,4.09,3.7
RA_165.211__DEC_39.212,1111.054858145084,809.0533854573962,165.21268456369475,39.211305394759016,27.0,47.0,NO,1798,349.8139238926688,308.0165628103788,283.77,3.84,308.0165628103788,283.84,3.85,293.93789562335985,269.55,4.14,3.5,run_00000018,56,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,308.02,283.77,3.84,3.5
RA_165.211__DEC_39.212,1111.054858145084,809.0533854573962,165.21268456369475,39.211305394759016,27.0,47.0,NO,1796,349.8139238926688,308.0165628103788,283.77,3.84,308.0165628103788,283.84,3.85,293.93789562335985,269.55,4.14,3.5,run_00000018,56,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,308.02,283.77,3.84,3.5
RA_165.211__DEC_39.212,1111.054858145084,809.0533854573962,165.21268456369475,39.211305394759016,27.0,47.0,NO,1796,349.8139238926688,308.0165628103788,283.77,3.84,308.0165628103788,283.84,3.85,293.93789562335985,269.55,4.14,3.5,run_00000018,56,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,308.02,283.77,3.84,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,99.61,111.75,1.89,3.5
RA_166.129__DEC_38.242,1764.7214155725942,901.6724697968026,166.13013432365042,38.24108341621727,10.0,28.0,NO,1807,99.53898680642268,99.61074708988164,111.75,1.89,99.61074708988164,111.75,1.89,79.40430049213256,87.70,2.10,3.5,run_00000018,56,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,99.61,111.75,1.89,3.5
RA_167.318__DEC_36.309,2945.1858006383573,872.2433547300363,167.32336996034434,36.31105934514836,23.0,25.0,NO,1708,250.5178254168661,207.08550208299093,223.59,3.93,208.8168993323583,224.49,3.96,179.40837148912902,187.62,3.82,3.56288189678375,run_00000018,56,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,220.99,232.50,3.63,4.07
RA_167.318__DEC_36.309,2945.1858006383573,872.2433547300363,167.32336996034434,36.31105934514836,23.0,25.0,NO,1705,250.5178254168661,207.08550208299093,223.54,3.98,208.8168993323583,224.44,4.02,179.40837148912902,187.58,3.87,3.56288189678375,run_00000018,56,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,221.04,232.50,3.68,4.07
RA_167.318__DEC_36.309,2945.1858006383573,872.2433547300363,167.32336996034434,36.31105934514836,23.0,25.0,NO,1702,250.5178254168661,207.08550208299093,223.98,3.96,208.8168993323583,224.88,4.00,179.40837148912902,188.00,3.85,3.56288189678375,run_00000018,56,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,221.04,232.91,3.66,4.07
RA_167.318__DEC_36.309,2945.1858006383573,872.2433547300363,167.32336996034434,36.31105934514836,23.0,25.0,NO,1705,250.5178254168661,207.08550208299093,223.37,3.98,208.8168993323583,224.27,4.01,179.40837148912902,187.58,3.87,3.56288189678375,run_00000018,56,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,221.04,232.37,3.67,4.07
RA_167.318__DEC_36.309,2945.1858006383573,872.2433547300363,167.32336996034434,36.31105934514836,23.0,25.0,NO,1700,250.5178254168661,207.08550208299093,225.16,3.93,208.8168993323583,226.09,3.96,179.40837148912902,189.13,3.80,3.56288189678375,run_00000018,56,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,221.13,234.28,3.59,4.08
