# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:22:00.386
# DATE-END: 2026-01-17T03:22:00.529
# TSTART: 1768620120385.59
# TSTOP: 1768620120415.6
# DATE: 2026-01-17T03:22:01
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.479315233332
# DEC: 38.2097999856275
# EQUINOX: 2000.0
# CRVAL1: 165.479315233332
# CRVAL2: 38.2097999856275
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000983760603541091
# CD1_2: 0.00153438793128768
# CD2_1: -0.00153762032986894
# CD2_2: 0.000984765495464392
# A_ORDER: 2
# A_0_2: -2.55441695830292e-06
# A_1_1: -1.15006604830293e-06
# A_2_0: -1.40988019637694e-07
# B_ORDER: 2
# B_0_2: -4.966192143871e-06
# B_1_1: -1.38238616585896e-06
# B_2_0: -3.70895300130473e-07
# AP_ORDER: 2
# AP_0_0: 0.000564381518572669
# AP_0_1: 2.15306112115512e-05
# AP_0_2: 2.55254102827427e-06
# AP_1_0: 6.01267931635964e-06
# AP_1_1: 1.14935453231369e-06
# AP_2_0: 1.40877452721993e-07
# BP_ORDER: 2
# BP_0_0: 0.00100546229411425
# BP_0_1: 3.95714938885549e-05
# BP_0_2: 4.96276056471748e-06
# BP_1_0: 9.56419516779991e-06
# BP_1_1: 1.38122159942637e-06
# BP_2_0: 3.70719969278848e-07
# NOME_FILE_FITS: 20260117_032200.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000019_stelle_trovate_e_catalogate_immagine_004.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1316,276.7335079939116,263.4005262994035,239.66,2.38,263.4005262994035,239.96,2.42,250.20738212247304,220.98,2.57,3.5,run_00000019,4,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,265.63,241.79,2.35,3.6
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1315,276.7335079939116,263.4005262994035,239.53,2.40,263.4005262994035,239.84,2.45,250.20738212247304,220.88,2.59,3.5,run_00000019,4,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,265.64,241.67,2.37,3.6
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1314,276.7335079939116,263.4005262994035,239.08,2.44,263.4005262994035,239.39,2.48,250.20738212247304,220.47,2.63,3.5,run_00000019,4,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,265.64,241.20,2.41,3.6
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1313,276.7335079939116,263.4005262994035,239.53,2.40,263.4005262994035,239.84,2.45,250.20738212247304,220.88,2.59,3.5,run_00000019,4,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,265.64,241.67,2.37,3.6
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1308,276.7335079939116,263.4005262994035,239.09,2.39,263.4005262994035,239.39,2.44,250.20738212247304,220.51,2.58,3.5,run_00000019,4,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,265.63,241.21,2.37,3.6
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1314,276.7335079939116,263.4005262994035,239.08,2.44,263.4005262994035,239.39,2.48,250.20738212247304,220.47,2.63,3.5,run_00000019,4,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,265.64,241.20,2.41,3.6
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1315,276.7335079939116,263.4005262994035,239.12,2.41,263.4005262994035,239.43,2.46,250.20738212247304,220.56,2.60,3.5,run_00000019,4,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,265.64,241.24,2.39,3.6
RA_164.865__DEC_40.434,371.49179905233945,1464.6030390978715,164.86623937436144,40.4301008568634,27.0,41.0,NO,1274,276.7335079939116,263.4005262994035,239.58,2.47,263.4005262994035,239.90,2.52,250.20738212247304,221.01,2.63,3.5,run_00000019,4,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,265.8,241.89,2.45,3.61
RA_164.882__DEC_36.096,2368.9891711861583,178.53654994692366,164.8863892447082,36.09399035168036,16.0,24.0,NO,1126,158.25488048905203,150.89440841314152,164.91,2.20,150.89440841314152,164.99,2.21,111.96550973845282,132.06,2.22,3.5,run_00000019,4,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,151.29,165.23,2.19,3.52
RA_164.882__DEC_36.096,2368.9891711861583,178.53654994692366,164.8863892447082,36.09399035168036,16.0,24.0,NO,1083,158.25488048905203,150.89440841314152,164.34,2.23,150.89440841314152,164.42,2.25,111.96550973845282,131.25,2.26,3.5,run_00000019,4,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,151.24,164.62,2.23,3.52
