# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:26:43.290
# DATE-END: 2026-01-17T03:26:43.434
# TSTART: 1768620403289.75
# TSTOP: 1768620403319.76
# DATE: 2026-01-17T03:26:44
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.475790584237
# DEC: 38.2044801367819
# EQUINOX: 2000.0
# CRVAL1: 165.475790584237
# CRVAL2: 38.2044801367819
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00105283116628001
# CD1_2: 0.00149746217376774
# CD2_1: -0.00149286269688294
# CD2_2: 0.00106085289539362
# A_ORDER: 2
# A_0_2: -2.93295969980543e-06
# A_1_1: 1.62386867958279e-06
# A_2_0: -2.29086623929994e-07
# B_ORDER: 2
# B_0_2: 6.97825875451395e-06
# B_1_1: -3.22596294211072e-06
# B_2_0: 1.16301392639265e-06
# AP_ORDER: 2
# AP_0_0: -7.60523648348332e-05
# AP_0_1: -4.05166050888904e-05
# AP_0_2: 2.93405342416456e-06
# AP_1_0: 1.53263223846241e-05
# AP_1_1: -1.62426676916162e-06
# AP_2_0: 2.29126745762388e-07
# BP_ORDER: 2
# BP_0_0: 0.000197466151588917
# BP_0_1: 9.50214536265828e-05
# BP_0_2: -6.98082699409084e-06
# BP_1_0: -3.51186307391008e-05
# BP_1_1: 3.22686662249303e-06
# BP_2_0: -1.16313650605997e-06
# NOME_FILE_FITS: 20260117_032643.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000019_stelle_trovate_e_catalogate_immagine_018.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.863__DEC_40.444,391.3465407321698,1516.2732092847818,164.87366329110137,40.44040371841939,25.0,36.0,NO,1,263.3145849459028,243.902101065952,243.90,NaN,244.0084695330118,244.01,NaN,227.6965055999828,227.70,NaN,3.5049035300420988,run_00000019,18,NO,,INT_69,,,,244.01,244.01,NaN,3.5
RA_164.896__DEC_36.095,2328.82349109507,141.67795369498378,164.889734529086,36.0979877543966,13.0,19.0,NO,1126,146.0761006817491,137.57962959675166,164.91,2.20,137.57962959675166,164.99,2.21,100.27946255050762,132.06,2.22,3.5,run_00000019,18,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,137.9,165.23,2.19,3.52
RA_164.896__DEC_36.095,2328.82349109507,141.67795369498378,164.889734529086,36.0979877543966,13.0,19.0,NO,1083,146.0761006817491,137.57962959675166,164.34,2.23,137.57962959675166,164.42,2.25,100.27946255050762,131.25,2.26,3.5,run_00000019,18,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,137.86,164.62,2.23,3.52
RA_164.896__DEC_36.095,2328.82349109507,141.67795369498378,164.889734529086,36.0979877543966,13.0,19.0,NO,1123,146.0761006817491,137.57962959675166,164.74,2.22,137.57962959675166,164.82,2.24,100.27946255050762,131.89,2.25,3.5,run_00000019,18,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,137.9,165.05,2.22,3.52
RA_164.896__DEC_36.095,2328.82349109507,141.67795369498378,164.889734529086,36.0979877543966,13.0,19.0,NO,1128,146.0761006817491,137.57962959675166,164.91,2.20,137.57962959675166,164.99,2.21,100.27946255050762,132.06,2.22,3.5,run_00000019,18,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,137.9,165.23,2.19,3.52
RA_164.896__DEC_36.095,2328.82349109507,141.67795369498378,164.889734529086,36.0979877543966,13.0,19.0,NO,1127,146.0761006817491,137.57962959675166,164.60,2.19,137.57962959675166,164.67,2.20,100.27946255050762,131.73,2.21,3.5,run_00000019,18,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,137.9,164.91,2.18,3.52
RA_165.211__DEC_39.212,1019.6688845668716,1246.941112785989,165.2114968459884,39.21243532969645,24.0,39.0,NO,1798,256.520185938242,253.0283837192803,279.51,2.34,253.0283837192803,279.51,2.34,234.24126009932328,263.25,2.46,3.5,run_00000019,18,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,253.03,279.51,2.34,3.5
RA_165.211__DEC_39.212,1019.6688845668716,1246.941112785989,165.2114968459884,39.21243532969645,24.0,39.0,NO,1796,256.520185938242,253.0283837192803,279.51,2.34,253.0283837192803,279.51,2.34,234.24126009932328,263.25,2.46,3.5,run_00000019,18,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,253.03,279.51,2.34,3.5
RA_165.211__DEC_39.212,1019.6688845668716,1246.941112785989,165.2114968459884,39.21243532969645,24.0,39.0,NO,1796,256.520185938242,253.0283837192803,279.51,2.34,253.0283837192803,279.51,2.34,234.24126009932328,263.25,2.46,3.5,run_00000019,18,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,253.03,279.51,2.34,3.5
RA_166.129__DEC_38.242,1679.696141790346,1262.4219165208815,166.1282842429368,38.24094554499047,13.0,31.0,NO,1807,113.24019869660847,113.33929052259244,118.55,1.38,113.33929052259244,118.55,1.38,97.12743475354122,96.04,1.36,3.5,run_00000019,18,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,113.34,118.55,1.38,3.5
