# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:36:29.451
# DATE-END: 2026-01-17T03:36:29.595
# TSTART: 1768620989450.72
# TSTOP: 1768620989480.73
# DATE: 2026-01-17T03:36:30
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.473471398812
# DEC: 38.210040779941
# EQUINOX: 2000.0
# CRVAL1: 165.473471398812
# CRVAL2: 38.210040779941
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00120577547835097
# CD1_2: 0.00137415607465058
# CD2_1: -0.00137214299670326
# CD2_2: 0.00120663018437885
# A_ORDER: 2
# A_0_2: 2.6030062559603e-06
# A_1_1: -1.44282477013069e-06
# A_2_0: 8.14918599327938e-07
# B_ORDER: 2
# B_0_2: 3.44739637475927e-06
# B_1_1: -1.37575454513638e-06
# B_2_0: 1.40715466376197e-06
# AP_ORDER: 2
# AP_0_0: 0.000157234638047517
# AP_0_1: 1.39318006421824e-05
# AP_0_2: -2.6035698124503e-06
# AP_1_0: -3.13190067846214e-06
# AP_1_1: 1.44279710025571e-06
# AP_2_0: -8.14991572950934e-07
# BP_ORDER: 2
# BP_0_0: 0.00025779082306651
# BP_0_1: 1.83305154142126e-05
# BP_0_2: -3.44827410527261e-06
# BP_1_0: -1.25031545124257e-06
# BP_1_1: 1.37566825947977e-06
# BP_2_0: -1.4072960473013e-06
# NOME_FILE_FITS: 20260117_033629.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000019_stelle_trovate_e_catalogate_immagine_047.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,451.9632719334037,1634.0700665962584,164.8746830284713,40.4314018799452,24.0,45.0,NO,1316,276.82860311575865,256.1622950582781,239.66,2.38,256.1622950582781,239.96,2.42,243.61370713127872,220.98,2.57,3.5,run_00000019,47,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,258.8,241.79,2.35,3.6
RA_164.865__DEC_40.434,451.9632719334037,1634.0700665962584,164.8746830284713,40.4314018799452,24.0,45.0,NO,1315,276.82860311575865,256.1622950582781,239.53,2.40,256.1622950582781,239.84,2.45,243.61370713127872,220.88,2.59,3.5,run_00000019,47,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,258.8,241.67,2.37,3.6
RA_164.865__DEC_40.434,451.9632719334037,1634.0700665962584,164.8746830284713,40.4314018799452,24.0,45.0,NO,1314,276.82860311575865,256.1622950582781,239.08,2.44,256.1622950582781,239.39,2.48,243.61370713127872,220.47,2.63,3.5,run_00000019,47,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,258.81,241.20,2.41,3.6
RA_164.865__DEC_40.434,451.9632719334037,1634.0700665962584,164.8746830284713,40.4314018799452,24.0,45.0,NO,1313,276.82860311575865,256.1622950582781,239.53,2.40,256.1622950582781,239.84,2.45,243.61370713127872,220.88,2.59,3.5,run_00000019,47,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,258.8,241.67,2.37,3.6
RA_164.865__DEC_40.434,451.9632719334037,1634.0700665962584,164.8746830284713,40.4314018799452,24.0,45.0,NO,1308,276.82860311575865,256.1622950582781,239.09,2.39,256.1622950582781,239.39,2.44,243.61370713127872,220.51,2.58,3.5,run_00000019,47,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,258.8,241.21,2.37,3.6
RA_164.865__DEC_40.434,451.9632719334037,1634.0700665962584,164.8746830284713,40.4314018799452,24.0,45.0,NO,1314,276.82860311575865,256.1622950582781,239.08,2.44,256.1622950582781,239.39,2.48,243.61370713127872,220.47,2.63,3.5,run_00000019,47,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,258.81,241.20,2.41,3.6
RA_164.865__DEC_40.434,451.9632719334037,1634.0700665962584,164.8746830284713,40.4314018799452,24.0,45.0,NO,1315,276.82860311575865,256.1622950582781,239.12,2.41,256.1622950582781,239.43,2.46,243.61370713127872,220.56,2.60,3.5,run_00000019,47,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,258.8,241.24,2.39,3.6
RA_164.896__DEC_36.095,2231.627084266073,60.549229987155016,164.892051228134,36.09293316241619,15.0,15.0,NO,1126,155.393965991488,145.6705433421373,164.91,2.20,145.6705433421373,164.99,2.21,112.7690910307664,132.06,2.22,3.5,run_00000019,47,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,145.9,165.23,2.19,3.52
RA_164.896__DEC_36.095,2231.627084266073,60.549229987155016,164.892051228134,36.09293316241619,15.0,15.0,NO,1083,155.393965991488,145.6705433421373,164.34,2.23,145.6705433421373,164.42,2.25,112.7690910307664,131.25,2.26,3.5,run_00000019,47,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,145.87,164.62,2.23,3.52
RA_164.896__DEC_36.095,2231.627084266073,60.549229987155016,164.892051228134,36.09293316241619,15.0,15.0,NO,1123,155.393965991488,145.6705433421373,164.74,2.22,145.6705433421373,164.82,2.24,112.7690910307664,131.89,2.25,3.5,run_00000019,47,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,145.9,165.05,2.22,3.52
