# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:45:55.785
# DATE-END: 2026-01-17T03:45:55.929
# TSTART: 1768621555784.98
# TSTOP: 1768621555814.98
# DATE: 2026-01-17T03:45:56
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.480886882145
# DEC: 38.2129609001894
# EQUINOX: 2000.0
# CRVAL1: 165.480886882145
# CRVAL2: 38.2129609001894
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00136307935790311
# CD1_2: 0.00119490044422676
# CD2_1: -0.00121204564422481
# CD2_2: 0.00135177253125166
# A_ORDER: 2
# A_0_2: 1.11661110863569e-05
# A_1_1: 3.86533246611243e-07
# A_2_0: -4.40586335067239e-07
# B_ORDER: 2
# B_0_2: -1.31259169232038e-05
# B_1_1: 1.23181393969933e-05
# B_2_0: 6.02673002094783e-07
# AP_ORDER: 2
# AP_0_0: -0.00699821769703632
# AP_0_1: -0.000168031242944415
# AP_0_2: -1.11403906058307e-05
# AP_1_0: 9.27687905623588e-05
# AP_1_1: -4.01630984643552e-07
# AP_2_0: 4.41675264996145e-07
# BP_ORDER: 2
# BP_0_0: 0.0150966513185162
# BP_0_1: 0.000412902313979795
# BP_0_2: 1.30848128346029e-05
# BP_1_0: -0.000154621870459875
# BP_1_1: -1.22961907602154e-05
# BP_2_0: -6.08816195257138e-07
# NOME_FILE_FITS: 20260117_034555.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000019_stelle_trovate_e_catalogate_immagine_075.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.843__DEC_40.402,536.2051722134998,1765.2225712755326,164.84489865094992,40.396221380033936,22.0,39.0,NO,1,246.4297191721525,231.1291988373684,231.13,NaN,231.1291988373684,231.13,NaN,213.96174656138697,213.96,NaN,3.5,run_00000019,75,NO,,INT_70,,,,231.13,231.13,NaN,3.5
RA_165.211__DEC_39.212,1086.0249746291674,1358.9117807375928,165.20778316327832,39.205157212805936,23.0,56.0,NO,1798,280.6126227323453,270.88001252097075,279.51,2.34,270.88001252097075,279.51,2.34,255.55484301867608,263.25,2.46,3.5,run_00000019,75,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,270.88,279.51,2.34,3.5
RA_165.211__DEC_39.212,1086.0249746291674,1358.9117807375928,165.20778316327832,39.205157212805936,23.0,56.0,NO,1796,280.6126227323453,270.88001252097075,279.51,2.34,270.88001252097075,279.51,2.34,255.55484301867608,263.25,2.46,3.5,run_00000019,75,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,270.88,279.51,2.34,3.5
RA_165.211__DEC_39.212,1086.0249746291674,1358.9117807375928,165.20778316327832,39.205157212805936,23.0,56.0,NO,1796,280.6126227323453,270.88001252097075,279.51,2.34,270.88001252097075,279.51,2.34,255.55484301867608,263.25,2.46,3.5,run_00000019,75,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,270.88,279.51,2.34,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,122.24,118.55,1.38,3.5
RA_166.129__DEC_38.242,1732.491465633671,1222.7430108112785,166.12988458600444,38.24132257463761,14.0,20.0,NO,1807,123.52183515424991,122.2406268020936,118.55,1.38,122.2406268020936,118.55,1.38,100.41218717547298,96.04,1.36,3.5,run_00000019,75,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,122.24,118.55,1.38,3.5
RA_167.329__DEC_36.312,2831.35517653631,791.9774272347399,167.3260356319832,36.3117691158915,27.0,26.0,NO,1708,305.956039631673,246.7990234534295,241.42,2.81,252.9979758160512,242.33,2.85,217.5437416382012,207.03,2.72,4.026034692472704,run_00000019,75,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,254.43,250.49,2.54,4.07
RA_167.329__DEC_36.312,2831.35517653631,791.9774272347399,167.3260356319832,36.3117691158915,27.0,26.0,NO,1705,305.956039631673,246.7990234534295,241.42,2.81,252.9979758160512,242.33,2.85,217.5437416382012,207.03,2.72,4.026034692472704,run_00000019,75,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,254.43,250.49,2.54,4.07
