# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:52:27.350
# DATE-END: 2026-01-17T03:52:27.494
# TSTART: 1768621947350.19
# TSTOP: 1768621947380.2
# DATE: 2026-01-17T03:52:28
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.480215812459
# DEC: 38.207877063249
# EQUINOX: 2000.0
# CRVAL1: 165.480215812459
# CRVAL2: 38.207877063249
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00148131715909009
# CD1_2: 0.00106960639911172
# CD2_1: -0.00106810355884091
# CD2_2: 0.0014824459238544
# A_ORDER: 2
# A_0_2: -2.74421069731619e-06
# A_1_1: -1.37039555473951e-06
# A_2_0: 1.07698888163671e-07
# B_ORDER: 2
# B_0_2: 2.33976531658998e-06
# B_1_1: -2.47544983314786e-07
# B_2_0: -7.17910286488371e-07
# AP_ORDER: 2
# AP_0_0: -2.45098576739119e-05
# AP_0_1: -2.68977322180367e-06
# AP_0_2: 2.74473759450984e-06
# AP_1_0: 1.28876672111662e-06
# AP_1_1: 1.37031352469338e-06
# AP_2_0: -1.07821955443933e-07
# BP_ORDER: 2
# BP_0_0: 0.00013334507761904
# BP_0_1: 6.37462135804033e-06
# BP_0_2: -2.3404754169841e-06
# BP_1_0: 9.46796062209334e-07
# BP_1_1: 2.47480875381455e-07
# BP_2_0: 7.17938673771164e-07
# NOME_FILE_FITS: 20260117_035227.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000019_stelle_trovate_e_catalogate_immagine_089.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1316,263.24460887061554,239.19816657736524,239.66,2.38,239.519923998238,239.96,2.42,225.49797127078293,220.98,2.57,3.5155497638602857,run_00000019,89,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,241.23,241.79,2.35,3.6
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1315,263.24460887061554,239.19816657736524,239.53,2.40,239.519923998238,239.84,2.45,225.49797127078293,220.88,2.59,3.5155497638602857,run_00000019,89,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,241.23,241.67,2.37,3.6
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1314,263.24460887061554,239.19816657736524,239.08,2.44,239.519923998238,239.39,2.48,225.49797127078293,220.47,2.63,3.5155497638602857,run_00000019,89,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,241.24,241.20,2.41,3.6
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1313,263.24460887061554,239.19816657736524,239.53,2.40,239.519923998238,239.84,2.45,225.49797127078293,220.88,2.59,3.5155497638602857,run_00000019,89,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,241.23,241.67,2.37,3.6
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1308,263.24460887061554,239.19816657736524,239.09,2.39,239.519923998238,239.39,2.44,225.49797127078293,220.51,2.58,3.5155497638602857,run_00000019,89,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,241.23,241.21,2.37,3.6
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1314,263.24460887061554,239.19816657736524,239.08,2.44,239.519923998238,239.39,2.48,225.49797127078293,220.47,2.63,3.5155497638602857,run_00000019,89,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,241.24,241.20,2.41,3.6
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1315,263.24460887061554,239.19816657736524,239.12,2.41,239.519923998238,239.43,2.46,225.49797127078293,220.56,2.60,3.5155497638602857,run_00000019,89,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,241.23,241.24,2.39,3.6
RA_164.865__DEC_40.434,613.3935484089484,1860.120090444896,164.86535463455834,40.433332956866224,26.0,37.0,NO,1274,263.24460887061554,239.19816657736524,239.58,2.47,239.519923998238,239.90,2.52,225.49797127078293,221.01,2.63,3.5155497638602857,run_00000019,89,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,241.38,241.89,2.45,3.61
RA_165.211__DEC_39.212,1120.0731867159109,1401.2613818988475,165.210849700715,39.21215137195269,27.0,74.0,NO,1798,330.6269070909414,308.0786090396456,279.51,2.34,308.0786090396456,279.51,2.34,292.54715534863885,263.25,2.46,3.5,run_00000019,89,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,308.08,279.51,2.34,3.5
RA_165.211__DEC_39.212,1120.0731867159109,1401.2613818988475,165.210849700715,39.21215137195269,27.0,74.0,NO,1796,330.6269070909414,308.0786090396456,279.51,2.34,308.0786090396456,279.51,2.34,292.54715534863885,263.25,2.46,3.5,run_00000019,89,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,308.08,279.51,2.34,3.5
