# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:57:50.968
# DATE-END: 2026-01-17T03:57:50.112
# TSTART: 1768622270968.22
# TSTOP: 1768622270998.23
# DATE: 2026-01-17T03:57:51
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.477849512338
# DEC: 38.2088505134963
# EQUINOX: 2000.0
# CRVAL1: 165.477849512338
# CRVAL2: 38.2088505134963
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00157366200059215
# CD1_2: 0.00093002050705837
# CD2_1: -0.000930139698793968
# CD2_2: 0.0015722080063934
# A_ORDER: 2
# A_0_2: 1.85228262863314e-06
# A_1_1: -4.20052504318713e-07
# A_2_0: -3.16786339807947e-07
# B_ORDER: 2
# B_0_2: 1.46917305664627e-06
# B_1_1: 1.04359991160857e-06
# B_2_0: -8.41934639967381e-07
# AP_ORDER: 2
# AP_0_0: 2.58167758513691e-05
# AP_0_1: 3.79842517691147e-07
# AP_0_2: -1.85263168527244e-06
# AP_1_0: 1.62348897789163e-06
# AP_1_1: 4.20042932305754e-07
# AP_2_0: 3.16839666039182e-07
# BP_ORDER: 2
# BP_0_0: 6.80681051462055e-05
# BP_0_1: 3.16265670797601e-06
# BP_0_2: -1.46962453991733e-06
# BP_1_0: -1.38732449711672e-07
# BP_1_1: -1.04361927710849e-06
# BP_2_0: 8.41979313170535e-07
# NOME_FILE_FITS: 20260117_035750.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000019_stelle_trovate_e_catalogate_immagine_105.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1316,267.1464003285981,225.78835306946425,239.66,2.38,225.78835306946425,239.96,2.42,205.32923168505133,220.98,2.57,3.5,run_00000019,105,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,228.85,241.79,2.35,3.6
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1315,267.1464003285981,225.78835306946425,239.53,2.40,225.78835306946425,239.84,2.45,205.32923168505133,220.88,2.59,3.5,run_00000019,105,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,228.86,241.67,2.37,3.6
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1314,267.1464003285981,225.78835306946425,239.08,2.44,225.78835306946425,239.39,2.48,205.32923168505133,220.47,2.63,3.5,run_00000019,105,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,228.87,241.20,2.41,3.6
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1313,267.1464003285981,225.78835306946425,239.53,2.40,225.78835306946425,239.84,2.45,205.32923168505133,220.88,2.59,3.5,run_00000019,105,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,228.86,241.67,2.37,3.6
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1308,267.1464003285981,225.78835306946425,239.09,2.39,225.78835306946425,239.39,2.44,205.32923168505133,220.51,2.58,3.5,run_00000019,105,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,228.85,241.21,2.37,3.6
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1314,267.1464003285981,225.78835306946425,239.08,2.44,225.78835306946425,239.39,2.48,205.32923168505133,220.47,2.63,3.5,run_00000019,105,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,228.87,241.20,2.41,3.6
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1315,267.1464003285981,225.78835306946425,239.12,2.41,225.78835306946425,239.43,2.46,205.32923168505133,220.56,2.60,3.5,run_00000019,105,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,228.86,241.24,2.39,3.6
RA_164.865__DEC_40.434,694.2860322889026,1940.871295900016,164.86659970681922,40.42971371642373,23.0,36.0,NO,1274,267.1464003285981,225.78835306946425,239.58,2.47,225.78835306946425,239.90,2.52,205.32923168505133,221.01,2.63,3.5,run_00000019,105,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,229.1,241.89,2.45,3.61
RA_165.211__DEC_39.212,1156.7652380876812,1437.7014576874565,165.20972973784964,39.21220545681985,26.0,66.0,NO,1798,277.1356203913681,261.8005500565106,279.51,2.34,261.8005500565106,279.51,2.34,249.60651598912432,263.25,2.46,3.5,run_00000019,105,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,261.8,279.51,2.34,3.5
RA_165.211__DEC_39.212,1156.7652380876812,1437.7014576874565,165.20972973784964,39.21220545681985,26.0,66.0,NO,1796,277.1356203913681,261.8005500565106,279.51,2.34,261.8005500565106,279.51,2.34,249.60651598912432,263.25,2.46,3.5,run_00000019,105,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,261.8,279.51,2.34,3.5
