# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T04:01:10.402
# DATE-END: 2026-01-17T04:01:10.546
# TSTART: 1768622470402.43
# TSTOP: 1768622470432.44
# DATE: 2026-01-17T04:01:11
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.110864591466
# DEC: 37.7100538259354
# EQUINOX: 2000.0
# CRVAL1: 166.110864591466
# CRVAL2: 37.7100538259354
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00156530830734327
# CD1_2: 0.000942012252244875
# CD2_1: -0.000941044316747734
# CD2_2: 0.00156781330096894
# A_ORDER: 2
# A_0_2: -7.06902793685741e-07
# A_1_1: 7.04713515776135e-07
# A_2_0: 2.09423311525088e-07
# B_ORDER: 2
# B_0_2: 1.79539775851075e-06
# B_1_1: -1.60413443365444e-07
# B_2_0: 8.17109654375781e-07
# AP_ORDER: 2
# AP_0_0: -2.07097117015979e-05
# AP_0_1: -2.64502371374242e-06
# AP_0_2: 7.07037415393426e-07
# AP_1_0: 1.59242657085592e-06
# AP_1_1: -7.04748344891918e-07
# AP_2_0: -2.094376493838e-07
# BP_ORDER: 2
# BP_0_0: 0.000118224942101245
# BP_0_1: 7.60492313693114e-06
# BP_0_2: -1.79570502716517e-06
# BP_1_0: -4.56771536344207e-07
# BP_1_1: 1.6037002330044e-07
# BP_2_0: -8.17191228459157e-07
# NOME_FILE_FITS: 20260117_040110.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000020_stelle_trovate_e_catalogate_immagine_004.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,1316,201.82292666662084,182.42175349697743,186.00,2.42,182.42175349697743,187.92,2.77,165.84178970079105,168.05,3.68,3.5,run_00000020,4,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,190.26,192.88,3.25,3.97
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,1315,201.82292666662084,182.42175349697743,186.00,2.42,182.42175349697743,187.92,2.77,165.84178970079105,168.05,3.68,3.5,run_00000020,4,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,190.26,192.88,3.25,3.97
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,1314,201.82292666662084,182.42175349697743,186.00,2.42,182.42175349697743,187.92,2.77,165.84178970079105,168.05,3.68,3.5,run_00000020,4,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,190.26,192.88,3.25,3.97
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,1313,201.82292666662084,182.42175349697743,186.00,2.42,182.42175349697743,187.92,2.77,165.84178970079105,168.05,3.68,3.5,run_00000020,4,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,190.26,192.88,3.25,3.97
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,1314,201.82292666662084,182.42175349697743,186.00,2.42,182.42175349697743,187.92,2.77,165.84178970079105,168.05,3.68,3.5,run_00000020,4,SI (Rank 5),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,190.26,192.88,3.25,3.97
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,1315,201.82292666662084,182.42175349697743,186.00,2.42,182.42175349697743,187.92,2.77,165.84178970079105,168.05,3.68,3.5,run_00000020,4,SI (Rank 6),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,190.26,192.88,3.25,3.97
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,46,201.82292666662084,182.42175349697743,190.34,7.92,182.42175349697743,190.39,7.96,165.84178970079105,173.88,8.04,3.5,run_00000020,4,SI (Rank 7),II/389/ps1_dr2,1.5653164852205142e+17,164.852503,40.44231608,14.0109,182.49,190.42,7.93,3.5
RA_164.865__DEC_40.434,318.082417184143,2034.223192403946,164.8642205695511,40.43846604763544,20.0,29.0,NO,1274,201.82292666662084,182.42175349697743,188.55,4.91,182.42175349697743,190.27,4.60,165.84178970079105,170.28,5.88,3.5,run_00000020,4,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,190.22,195.98,6.39,3.97
RA_165.211__DEC_39.212,782.4094701502053,1530.7311322543371,165.21022295373595,39.21266302909193,27.0,43.0,NO,1798,307.7896499324363,288.24908946185656,246.64,3.08,288.24908946185656,246.64,3.08,267.2767545418083,229.37,3.30,3.5,run_00000020,4,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,288.25,246.65,3.08,3.5
RA_165.211__DEC_39.212,782.4094701502053,1530.7311322543371,165.21022295373595,39.21266302909193,27.0,43.0,NO,1796,307.7896499324363,288.24908946185656,246.64,3.08,288.24908946185656,246.64,3.08,267.2767545418083,229.37,3.30,3.5,run_00000020,4,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,288.25,246.65,3.08,3.5
