# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T04:03:12.374
# DATE-END: 2026-01-17T04:03:12.519
# TSTART: 1768622592374.32
# TSTOP: 1768622592404.33
# DATE: 2026-01-17T04:03:13
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112910555208
# DEC: 37.7105649554944
# EQUINOX: 2000.0
# CRVAL1: 166.112910555208
# CRVAL2: 37.7105649554944
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00159986954050164
# CD1_2: 0.000881420066558463
# CD2_1: -0.000881153208827381
# CD2_2: 0.00160083783190851
# A_ORDER: 2
# A_0_2: 1.17955785871619e-06
# A_1_1: 9.08613850511929e-07
# A_2_0: 1.08336579470885e-07
# B_ORDER: 2
# B_0_2: 6.8713070458703e-07
# B_1_1: -6.32212122163736e-07
# B_2_0: 5.23328986146737e-07
# AP_ORDER: 2
# AP_0_0: 4.07679359439121e-05
# AP_0_1: 2.5500666288446e-06
# AP_0_2: -1.17965183733745e-06
# AP_1_0: 8.14198005885802e-07
# AP_1_1: -9.08651179128589e-07
# AP_2_0: -1.08372302383592e-07
# BP_ORDER: 2
# BP_0_0: 7.89253215067731e-06
# BP_0_1: 1.77433413232624e-06
# BP_0_2: -6.87121028649177e-07
# BP_1_0: -5.56214356408134e-07
# BP_1_1: 6.32158895809023e-07
# BP_2_0: -5.23339935853907e-07
# NOME_FILE_FITS: 20260117_040312.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000020_stelle_trovate_e_catalogate_immagine_010.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_165.211__DEC_39.212,801.1962769660613,1559.1581801767854,165.21048660062755,39.21312233885168,26.0,70.0,NO,1798,315.8531926499659,306.1540722590585,246.64,3.08,306.1540722590585,246.64,3.08,292.2132746832565,229.37,3.30,3.5,run_00000020,10,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,306.15,246.65,3.08,3.5
RA_165.211__DEC_39.212,801.1962769660613,1559.1581801767854,165.21048660062755,39.21312233885168,26.0,70.0,NO,1796,315.8531926499659,306.1540722590585,246.64,3.08,306.1540722590585,246.64,3.08,292.2132746832565,229.37,3.30,3.5,run_00000020,10,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,306.15,246.65,3.08,3.5
RA_165.211__DEC_39.212,801.1962769660613,1559.1581801767854,165.21048660062755,39.21312233885168,26.0,70.0,NO,1796,315.8531926499659,306.1540722590585,246.64,3.08,306.1540722590585,246.64,3.08,292.2132746832565,229.37,3.30,3.5,run_00000020,10,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,306.15,246.65,3.08,3.5
RA_166.129__DEC_38.242,1400.3433769705402,1280.205540723383,166.12902847803093,38.241386039150285,12.0,25.0,NO,1807,107.16149613698347,108.94134730907209,113.22,1.64,108.94134730907209,113.22,1.64,96.692593739152,93.02,1.82,3.5,run_00000020,10,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,108.94,113.22,1.64,3.5
RA_166.129__DEC_38.242,1400.3433769705402,1280.205540723383,166.12902847803093,38.241386039150285,12.0,25.0,NO,1807,107.16149613698347,108.94134730907209,113.22,1.64,108.94134730907209,113.22,1.64,96.692593739152,93.02,1.82,3.5,run_00000020,10,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,108.94,113.22,1.64,3.5
RA_166.129__DEC_38.242,1400.3433769705402,1280.205540723383,166.12902847803093,38.241386039150285,12.0,25.0,NO,1807,107.16149613698347,108.94134730907209,113.22,1.64,108.94134730907209,113.22,1.64,96.692593739152,93.02,1.82,3.5,run_00000020,10,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,108.94,113.22,1.64,3.5
RA_166.129__DEC_38.242,1400.3433769705402,1280.205540723383,166.12902847803093,38.241386039150285,12.0,25.0,NO,1807,107.16149613698347,108.94134730907209,113.22,1.64,108.94134730907209,113.22,1.64,96.692593739152,93.02,1.82,3.5,run_00000020,10,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,108.94,113.22,1.64,3.5
RA_166.129__DEC_38.242,1400.3433769705402,1280.205540723383,166.12902847803093,38.241386039150285,12.0,25.0,NO,1807,107.16149613698347,108.94134730907209,113.22,1.64,108.94134730907209,113.22,1.64,96.692593739152,93.02,1.82,3.5,run_00000020,10,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,108.94,113.22,1.64,3.5
RA_166.129__DEC_38.242,1400.3433769705402,1280.205540723383,166.12902847803093,38.241386039150285,12.0,25.0,NO,1807,107.16149613698347,108.94134730907209,113.22,1.64,108.94134730907209,113.22,1.64,96.692593739152,93.02,1.82,3.5,run_00000020,10,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,108.94,113.22,1.64,3.5
RA_166.129__DEC_38.242,1400.3433769705402,1280.205540723383,166.12902847803093,38.241386039150285,12.0,25.0,NO,1807,107.16149613698347,108.94134730907209,113.22,1.64,108.94134730907209,113.22,1.64,96.692593739152,93.02,1.82,3.5,run_00000020,10,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,108.94,113.22,1.64,3.5
