# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T04:07:54.858
# DATE-END: 2026-01-17T04:07:54.002
# TSTART: 1768622874858.47
# TSTOP: 1768622874888.47
# DATE: 2026-01-17T04:07:55
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.116163149188
# DEC: 37.705760176056
# EQUINOX: 2000.0
# CRVAL1: 166.116163149188
# CRVAL2: 37.705760176056
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00167607457579001
# CD1_2: 0.000725807432360739
# CD2_1: -0.00072688426152483
# CD2_2: 0.00167745656669289
# A_ORDER: 2
# A_0_2: -1.40652232468363e-06
# A_1_1: 1.53573212858603e-07
# A_2_0: -3.86364990450402e-07
# B_ORDER: 2
# B_0_2: 5.53043551457393e-07
# B_1_1: -7.71602330800993e-07
# B_2_0: -3.93526630325302e-08
# AP_ORDER: 2
# AP_0_0: 1.30010201646158e-05
# AP_0_1: -1.31940827158287e-06
# AP_0_2: 1.40652604035009e-06
# AP_1_0: 1.66541063984585e-06
# AP_1_1: -1.53634692483195e-07
# AP_2_0: 3.86353315665403e-07
# BP_ORDER: 2
# BP_0_0: 1.14386510168781e-05
# BP_0_1: 1.80767180766722e-06
# BP_0_2: -5.53075525847393e-07
# BP_1_0: -3.81410302890586e-07
# BP_1_1: 7.71604608563908e-07
# BP_2_0: 3.93425380532064e-08
# NOME_FILE_FITS: 20260117_040754.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000020_stelle_trovate_e_catalogate_immagine_024.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_165.211__DEC_39.212,854.0582249617485,1627.6355222456673,165.21025786757372,39.21298522852129,23.0,49.0,NO,1798,235.8552853596276,228.2300357846325,246.64,3.08,228.2300357846325,246.64,3.08,208.63090442684643,229.37,3.30,3.5,run_00000020,24,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,228.23,246.65,3.08,3.5
RA_165.211__DEC_39.212,854.0582249617485,1627.6355222456673,165.21025786757372,39.21298522852129,23.0,49.0,NO,1796,235.8552853596276,228.2300357846325,246.64,3.08,228.2300357846325,246.64,3.08,208.63090442684643,229.37,3.30,3.5,run_00000020,24,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,228.23,246.65,3.08,3.5
RA_165.211__DEC_39.212,854.0582249617485,1627.6355222456673,165.21025786757372,39.21298522852129,23.0,49.0,NO,1796,235.8552853596276,228.2300357846325,246.64,3.08,228.2300357846325,246.64,3.08,208.63090442684643,229.37,3.30,3.5,run_00000020,24,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,228.23,246.65,3.08,3.5
RA_166.129__DEC_38.242,1424.2090417212682,1293.6911957242737,166.13122930362056,38.24101193936395,12.0,25.0,NO,1807,116.20062880455308,118.28006596189852,113.22,1.64,118.28006596189852,113.22,1.64,98.19844936144484,93.02,1.82,3.5,run_00000020,24,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,118.28,113.22,1.64,3.5
RA_166.129__DEC_38.242,1424.2090417212682,1293.6911957242737,166.13122930362056,38.24101193936395,12.0,25.0,NO,1807,116.20062880455308,118.28006596189852,113.22,1.64,118.28006596189852,113.22,1.64,98.19844936144484,93.02,1.82,3.5,run_00000020,24,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,118.28,113.22,1.64,3.5
RA_166.129__DEC_38.242,1424.2090417212682,1293.6911957242737,166.13122930362056,38.24101193936395,12.0,25.0,NO,1807,116.20062880455308,118.28006596189852,113.22,1.64,118.28006596189852,113.22,1.64,98.19844936144484,93.02,1.82,3.5,run_00000020,24,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,118.28,113.22,1.64,3.5
RA_166.129__DEC_38.242,1424.2090417212682,1293.6911957242737,166.13122930362056,38.24101193936395,12.0,25.0,NO,1807,116.20062880455308,118.28006596189852,113.22,1.64,118.28006596189852,113.22,1.64,98.19844936144484,93.02,1.82,3.5,run_00000020,24,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,118.28,113.22,1.64,3.5
RA_166.129__DEC_38.242,1424.2090417212682,1293.6911957242737,166.13122930362056,38.24101193936395,12.0,25.0,NO,1807,116.20062880455308,118.28006596189852,113.22,1.64,118.28006596189852,113.22,1.64,98.19844936144484,93.02,1.82,3.5,run_00000020,24,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,118.28,113.22,1.64,3.5
RA_166.129__DEC_38.242,1424.2090417212682,1293.6911957242737,166.13122930362056,38.24101193936395,12.0,25.0,NO,1807,116.20062880455308,118.28006596189852,113.22,1.64,118.28006596189852,113.22,1.64,98.19844936144484,93.02,1.82,3.5,run_00000020,24,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,118.28,113.22,1.64,3.5
RA_166.129__DEC_38.242,1424.2090417212682,1293.6911957242737,166.13122930362056,38.24101193936395,12.0,25.0,NO,1807,116.20062880455308,118.28006596189852,113.22,1.64,118.28006596189852,113.22,1.64,98.19844936144484,93.02,1.82,3.5,run_00000020,24,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,118.28,113.22,1.64,3.5
