# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T04:23:27.087
# DATE-END: 2026-01-17T04:23:27.231
# TSTART: 1768623807087.3
# TSTOP: 1768623807117.31
# DATE: 2026-01-17T04:23:28
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.113964797757
# DEC: 37.7096284282571
# EQUINOX: 2000.0
# CRVAL1: 166.113964797757
# CRVAL2: 37.7096284282571
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00182265297704148
# CD1_2: 0.000104490740714326
# CD2_1: -0.000103079208570191
# CD2_2: 0.00182451641305309
# A_ORDER: 2
# A_0_2: -1.0829681562896e-06
# A_1_1: -1.74155312930466e-06
# A_2_0: -2.66096364446905e-07
# B_ORDER: 2
# B_0_2: 8.42123219971027e-07
# B_1_1: 2.76062793920637e-07
# B_2_0: -5.15144570819762e-08
# AP_ORDER: 2
# AP_0_0: 3.11335779737298e-05
# AP_0_1: 8.74781495644265e-07
# AP_0_2: 1.08293614546066e-06
# AP_1_0: 9.00505905831375e-07
# AP_1_1: 1.74147216073133e-06
# AP_2_0: 2.66067048004477e-07
# BP_ORDER: 2
# BP_0_0: 1.37368361251259e-05
# BP_0_1: 8.08598627186689e-07
# BP_0_2: -8.42175039966973e-07
# BP_1_0: 1.38579361779328e-07
# BP_1_1: -2.7607594877225e-07
# BP_2_0: 5.15120850187241e-08
# NOME_FILE_FITS: 20260117_042326.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000020_stelle_trovate_e_catalogate_immagine_070.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,1043.7696814121505,111.22598705146278,164.88598729677605,36.093395246213966,17.0,25.0,NO,1126,168.05052951968688,156.60544194048816,159.57,2.52,156.60544194048816,159.57,2.52,122.20074157245166,126.87,2.80,3.5,run_00000020,70,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,156.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,1043.7696814121505,111.22598705146278,164.88598729677605,36.093395246213966,17.0,25.0,NO,1083,168.05052951968688,156.60544194048816,159.57,2.52,156.60544194048816,159.57,2.52,122.20074157245166,126.87,2.80,3.5,run_00000020,70,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,156.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,1043.7696814121505,111.22598705146278,164.88598729677605,36.093395246213966,17.0,25.0,NO,1123,168.05052951968688,156.60544194048816,159.57,2.52,156.60544194048816,159.57,2.52,122.20074157245166,126.87,2.80,3.5,run_00000020,70,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,156.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,1043.7696814121505,111.22598705146278,164.88598729677605,36.093395246213966,17.0,25.0,NO,1128,168.05052951968688,156.60544194048816,159.57,2.52,156.60544194048816,159.57,2.52,122.20074157245166,126.87,2.80,3.5,run_00000020,70,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,156.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,1043.7696814121505,111.22598705146278,164.88598729677605,36.093395246213966,17.0,25.0,NO,1127,168.05052951968688,156.60544194048816,159.57,2.52,156.60544194048816,159.57,2.52,122.20074157245166,126.87,2.80,3.5,run_00000020,70,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,156.61,159.56,2.52,3.5
RA_165.211__DEC_39.212,1104.9406545504098,1823.11290255764,165.21151354743873,39.21161958494982,22.0,56.0,NO,1798,221.0423718815948,216.90646328569665,246.64,3.08,216.90646328569665,246.64,3.08,203.4939039550057,229.37,3.30,3.5,run_00000020,70,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,216.91,246.65,3.08,3.5
RA_165.211__DEC_39.212,1104.9406545504098,1823.11290255764,165.21151354743873,39.21161958494982,22.0,56.0,NO,1796,221.0423718815948,216.90646328569665,246.64,3.08,216.90646328569665,246.64,3.08,203.4939039550057,229.37,3.30,3.5,run_00000020,70,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,216.91,246.65,3.08,3.5
RA_165.211__DEC_39.212,1104.9406545504098,1823.11290255764,165.21151354743873,39.21161958494982,22.0,56.0,NO,1796,221.0423718815948,216.90646328569665,246.64,3.08,216.90646328569665,246.64,3.08,203.4939039550057,229.37,3.30,3.5,run_00000020,70,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,216.91,246.65,3.08,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,110.18,113.22,1.64,3.5
RA_166.129__DEC_38.242,1525.0181912629914,1313.0084439544528,166.13041759373195,38.24076407016983,9.0,28.0,NO,1807,106.0331924708479,110.18369865222698,113.22,1.64,110.18369865222698,113.22,1.64,78.38748923479999,93.02,1.82,3.5,run_00000020,70,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,110.18,113.22,1.64,3.5
