# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T04:25:49.125
# DATE-END: 2026-01-17T04:25:49.269
# TSTART: 1768623949124.89
# TSTOP: 1768623949154.9
# DATE: 2026-01-17T04:25:50
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112059014755
# DEC: 37.7094999932066
# EQUINOX: 2000.0
# CRVAL1: 166.112059014755
# CRVAL2: 37.7094999932066
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00182565964901356
# CD1_2: 9.85465746836399e-07
# CD2_1: 3.4770976975495e-06
# CD2_2: 0.00182918014595971
# A_ORDER: 2
# A_0_2: 2.72471425938082e-07
# A_1_1: -1.66638103360561e-06
# A_2_0: -9.25817525037348e-08
# B_ORDER: 2
# B_0_2: 8.86355058976018e-07
# B_1_1: 3.38278617348308e-06
# B_2_0: 7.00332429026934e-08
# AP_ORDER: 2
# AP_0_0: -0.000163021924484052
# AP_0_1: -4.21635455277501e-06
# AP_0_2: -2.72490240818834e-07
# AP_1_0: 9.2264860225372e-07
# AP_1_1: 1.66629872200475e-06
# AP_2_0: 9.27946635547831e-08
# BP_ORDER: 2
# BP_0_0: 0.000435675033303914
# BP_0_1: 1.06194900106792e-05
# BP_0_2: -8.86684941679809e-07
# BP_1_0: 1.48953735601311e-06
# BP_1_1: -3.38337711856157e-06
# BP_2_0: -7.04834699170085e-08
# NOME_FILE_FITS: 20260117_042549.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000020_stelle_trovate_e_catalogate_immagine_077.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.882__DEC_36.096,993.2662378417168,140.96951871444745,164.8873584100507,36.0935797521245,21.0,24.0,NO,1126,226.93035761793112,198.61417221790708,159.57,2.52,198.61417221790708,159.57,2.52,170.6891675787042,126.87,2.80,3.5,run_00000020,77,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,198.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,993.2662378417168,140.96951871444745,164.8873584100507,36.0935797521245,21.0,24.0,NO,1083,226.93035761793112,198.61417221790708,159.57,2.52,198.61417221790708,159.57,2.52,170.6891675787042,126.87,2.80,3.5,run_00000020,77,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,198.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,993.2662378417168,140.96951871444745,164.8873584100507,36.0935797521245,21.0,24.0,NO,1123,226.93035761793112,198.61417221790708,159.57,2.52,198.61417221790708,159.57,2.52,170.6891675787042,126.87,2.80,3.5,run_00000020,77,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,198.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,993.2662378417168,140.96951871444745,164.8873584100507,36.0935797521245,21.0,24.0,NO,1128,226.93035761793112,198.61417221790708,159.57,2.52,198.61417221790708,159.57,2.52,170.6891675787042,126.87,2.80,3.5,run_00000020,77,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,198.61,159.56,2.52,3.5
RA_164.882__DEC_36.096,993.2662378417168,140.96951871444745,164.8873584100507,36.0935797521245,21.0,24.0,NO,1127,226.93035761793112,198.61417221790708,159.57,2.52,198.61417221790708,159.57,2.52,170.6891675787042,126.87,2.80,3.5,run_00000020,77,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,198.61,159.56,2.52,3.5
RA_165.211__DEC_39.212,1151.0269995569124,1846.753999275822,165.21153983975776,39.21122970151957,25.0,47.0,NO,1798,309.8796920475244,275.50797349913563,246.64,3.08,275.50797349913563,246.64,3.08,257.7260980254532,229.37,3.30,3.5,run_00000020,77,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,275.51,246.65,3.08,3.5
RA_165.211__DEC_39.212,1151.0269995569124,1846.753999275822,165.21153983975776,39.21122970151957,25.0,47.0,NO,1796,309.8796920475244,275.50797349913563,246.64,3.08,275.50797349913563,246.64,3.08,257.7260980254532,229.37,3.30,3.5,run_00000020,77,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,275.51,246.65,3.08,3.5
RA_165.211__DEC_39.212,1151.0269995569124,1846.753999275822,165.21153983975776,39.21122970151957,25.0,47.0,NO,1796,309.8796920475244,275.50797349913563,246.64,3.08,275.50797349913563,246.64,3.08,257.7260980254532,229.37,3.30,3.5,run_00000020,77,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,275.51,246.65,3.08,3.5
RA_166.129__DEC_38.242,1541.7534608186438,1313.5016581181935,166.12932950754575,38.24195350658277,14.0,34.0,NO,1807,130.844637652462,130.04355684339544,113.22,1.64,130.04355684339544,113.22,1.64,103.38249998560876,93.02,1.82,3.5,run_00000020,77,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,130.04,113.22,1.64,3.5
RA_166.129__DEC_38.242,1541.7534608186438,1313.5016581181935,166.12932950754575,38.24195350658277,14.0,34.0,NO,1807,130.844637652462,130.04355684339544,113.22,1.64,130.04355684339544,113.22,1.64,103.38249998560876,93.02,1.82,3.5,run_00000020,77,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,130.04,113.22,1.64,3.5
