# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T05:19:28.684
# DATE-END: 2026-01-17T05:19:28.828
# TSTART: 1768627168684.22
# TSTOP: 1768627168714.23
# DATE: 2026-01-17T05:19:30
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.117598138296
# DEC: 38.7119181572512
# EQUINOX: 2000.0
# CRVAL1: 166.117598138296
# CRVAL2: 38.7119181572512
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.0011570460906126
# CD1_2: -0.00142338106510615
# CD2_1: 0.00140852091678517
# CD2_2: 0.00113427140386677
# A_ORDER: 2
# A_0_2: -7.35241309653638e-06
# A_1_1: -6.30606161440849e-06
# A_2_0: 1.45230493331074e-06
# B_ORDER: 2
# B_0_2: -3.1888052968211e-06
# B_1_1: -5.10597633348308e-06
# B_2_0: -7.2598199193916e-06
# AP_ORDER: 2
# AP_0_0: 0.00900849077657095
# AP_0_1: 0.000149440206238121
# AP_0_2: 7.33779211427203e-06
# AP_1_0: 0.000113309672022133
# AP_1_1: 6.29439636145006e-06
# AP_2_0: -1.45884258560809e-06
# BP_ORDER: 2
# BP_0_0: 0.00999349134022509
# BP_0_1: 0.000164188347476453
# BP_0_2: 3.17443090847296e-06
# BP_1_0: 8.8684095611162e-05
# BP_1_1: 5.08849996434172e-06
# BP_2_0: 7.25350282460386e-06
# NOME_FILE_FITS: 20260117_051928.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000021_stelle_trovate_e_catalogate_immagine_005.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.879__DEC_40.396,1946.971080613212,2019.5159451208024,164.87895704466555,40.3957025120596,26.0,46.0,NO,1,321.8047023127977,271.72330228137633,271.72,NaN,271.72330228137633,271.72,NaN,236.11518237559784,236.12,NaN,3.5,run_00000021,5,NO,,INT_73,,,,271.72,271.72,NaN,3.5
RA_164.896__DEC_36.095,78.94628102483489,551.479562299386,164.8947973035909,36.0967948926028,16.0,14.0,NO,1126,174.18440203927673,132.83072031414187,138.04,2.36,132.83072031414187,138.45,2.44,88.91577997559385,97.95,2.90,3.5,run_00000021,5,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,137.17,141.74,2.42,3.71
RA_164.896__DEC_36.095,78.94628102483489,551.479562299386,164.8947973035909,36.0967948926028,16.0,14.0,NO,1123,174.18440203927673,132.83072031414187,138.04,2.36,132.83072031414187,138.45,2.44,88.91577997559385,97.95,2.90,3.5,run_00000021,5,SI (Rank 2),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,137.17,141.74,2.42,3.71
RA_164.896__DEC_36.095,78.94628102483489,551.479562299386,164.8947973035909,36.0967948926028,16.0,14.0,NO,1128,174.18440203927673,132.83072031414187,138.04,2.36,132.83072031414187,138.45,2.44,88.91577997559385,97.95,2.90,3.5,run_00000021,5,SI (Rank 3),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,137.17,141.74,2.42,3.71
RA_164.896__DEC_36.095,78.94628102483489,551.479562299386,164.8947973035909,36.0967948926028,16.0,14.0,NO,1127,174.18440203927673,132.83072031414187,137.92,2.39,132.83072031414187,138.34,2.48,88.91577997559385,97.81,2.94,3.5,run_00000021,5,SI (Rank 4),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,137.25,141.69,2.45,3.71
RA_165.211__DEC_39.212,1510.418557542641,1493.6787044348368,165.21506361173266,39.20600976736329,27.0,53.0,NO,1798,319.9624809613933,283.4687856661932,276.57,3.02,283.4687856661932,276.57,3.02,258.04122822694103,259.30,3.17,3.5,run_00000021,5,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,283.47,276.57,3.02,3.5
RA_165.211__DEC_39.212,1510.418557542641,1493.6787044348368,165.21506361173266,39.20600976736329,27.0,53.0,NO,1796,319.9624809613933,283.4687856661932,276.57,3.02,283.4687856661932,276.57,3.02,258.04122822694103,259.30,3.17,3.5,run_00000021,5,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,283.47,276.57,3.02,3.5
RA_165.211__DEC_39.212,1510.418557542641,1493.6787044348368,165.21506361173266,39.20600976736329,27.0,53.0,NO,1796,319.9624809613933,283.4687856661932,276.57,3.02,283.4687856661932,276.57,3.02,258.04122822694103,259.30,3.17,3.5,run_00000021,5,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,283.47,276.57,3.02,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,149.54,121.46,1.93,3.5
RA_166.129__DEC_38.242,1338.5607083789994,856.1538023246467,166.13085755344403,38.24615881418776,15.0,27.0,NO,1807,174.99359465109669,149.54295590362477,121.46,1.93,149.54295590362477,121.46,1.93,115.41692114270973,98.77,1.92,3.5,run_00000021,5,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,149.54,121.46,1.93,3.5
