# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T05:20:43.473
# DATE-END: 2026-01-17T05:20:43.617
# TSTART: 1768627243473.41
# TSTOP: 1768627243503.41
# DATE: 2026-01-17T05:20:45
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.111956287541
# DEC: 38.7086468314632
# EQUINOX: 2000.0
# CRVAL1: 166.111956287541
# CRVAL2: 38.7086468314632
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00112613307529863
# CD1_2: -0.00143889267427072
# CD2_1: 0.00144265989422092
# CD2_2: 0.00112440509434101
# A_ORDER: 2
# A_0_2: 1.46044929096678e-06
# A_1_1: 1.6191865342018e-06
# A_2_0: 8.67571874586698e-07
# B_ORDER: 2
# B_0_2: -6.74113886009071e-07
# B_1_1: 2.04125907610506e-09
# B_2_0: 2.28376257469749e-07
# AP_ORDER: 2
# AP_0_0: 0.000140319938316817
# AP_0_1: 4.28081909399339e-06
# AP_0_2: -1.4605271782106e-06
# AP_1_0: 4.23139817175461e-06
# AP_1_1: -1.61949478264455e-06
# AP_2_0: -8.67747255581162e-07
# BP_ORDER: 2
# BP_0_0: 3.03159218741023e-05
# BP_0_1: 9.4218596675924e-07
# BP_0_2: 6.74046524861801e-07
# BP_1_0: 8.25877442671986e-07
# BP_1_1: -2.08108373602888e-09
# BP_2_0: -2.2840115116232e-07
# NOME_FILE_FITS: 20260117_052043.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000021_stelle_trovate_e_catalogate_immagine_007.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,1961.581604099472,2013.965379883939,164.87471312165107,40.435056364979424,31.0,34.0,NO,1316,381.7120913268113,295.01635186148974,251.29,4.06,300.361017254837,251.70,4.14,277.1341545375536,230.90,4.29,3.909530763521389,run_00000021,7,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,297.3,257.35,4.09,3.83
RA_164.865__DEC_40.434,1961.581604099472,2013.965379883939,164.87471312165107,40.435056364979424,31.0,34.0,NO,1315,381.7120913268113,295.01635186148974,249.67,4.15,300.361017254837,250.07,4.22,277.1341545375536,229.18,4.42,3.909530763521389,run_00000021,7,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,297.17,255.69,4.17,3.83
RA_164.865__DEC_40.434,1961.581604099472,2013.965379883939,164.87471312165107,40.435056364979424,31.0,34.0,NO,1314,381.7120913268113,295.01635186148974,249.83,4.12,300.361017254837,250.23,4.19,277.1341545375536,229.26,4.37,3.909530763521389,run_00000021,7,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,297.05,255.79,4.14,3.83
RA_164.865__DEC_40.434,1961.581604099472,2013.965379883939,164.87471312165107,40.435056364979424,31.0,34.0,NO,1313,381.7120913268113,295.01635186148974,249.62,4.21,300.361017254837,250.03,4.29,277.1341545375536,229.10,4.49,3.909530763521389,run_00000021,7,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,297.3,255.68,4.24,3.83
RA_164.865__DEC_40.434,1961.581604099472,2013.965379883939,164.87471312165107,40.435056364979424,31.0,34.0,NO,1314,381.7120913268113,295.01635186148974,249.33,4.09,300.361017254837,249.73,4.16,277.1341545375536,228.80,4.36,3.909530763521389,run_00000021,7,SI (Rank 5),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,297.05,255.31,4.11,3.83
RA_164.882__DEC_36.096,74.12613586898566,570.6312089081787,164.88657446059557,36.09434019292725,17.0,14.0,NO,1126,194.7611921881686,153.02408226551094,138.04,2.36,153.02408226551094,138.45,2.44,108.2096378662654,97.95,2.90,3.5,run_00000021,7,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,157.56,141.74,2.42,3.71
RA_164.882__DEC_36.096,74.12613586898566,570.6312089081787,164.88657446059557,36.09434019292725,17.0,14.0,NO,1083,194.7611921881686,153.02408226551094,138.38,2.49,153.02408226551094,138.77,2.58,108.2096378662654,98.19,2.94,3.5,run_00000021,7,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,157.99,142.45,2.56,3.73
RA_164.882__DEC_36.096,74.12613586898566,570.6312089081787,164.88657446059557,36.09434019292725,17.0,14.0,NO,1123,194.7611921881686,153.02408226551094,138.04,2.36,153.02408226551094,138.45,2.44,108.2096378662654,97.95,2.90,3.5,run_00000021,7,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,157.56,141.74,2.42,3.71
RA_164.882__DEC_36.096,74.12613586898566,570.6312089081787,164.88657446059557,36.09434019292725,17.0,14.0,NO,1128,194.7611921881686,153.02408226551094,138.04,2.36,153.02408226551094,138.45,2.44,108.2096378662654,97.95,2.90,3.5,run_00000021,7,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,157.56,141.74,2.42,3.71
RA_164.882__DEC_36.096,74.12613586898566,570.6312089081787,164.88657446059557,36.09434019292725,17.0,14.0,NO,1127,194.7611921881686,153.02408226551094,137.92,2.39,153.02408226551094,138.34,2.48,108.2096378662654,97.81,2.94,3.5,run_00000021,7,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,157.62,141.69,2.45,3.71
RA_165.211__DEC_39.212,1518.1760637844131,1493.9879135201943,165.21343326664123,39.212058179355736,25.0,50.0,NO,1798,311.1386346058115,287.7601808612168,276.57,3.02,287.7601808612168,276.57,3.02,269.42566330819096,259.30,3.17,3.5,run_00000021,7,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,287.76,276.57,3.02,3.5
RA_165.211__DEC_39.212,1518.1760637844131,1493.9879135201943,165.21343326664123,39.212058179355736,25.0,50.0,NO,1796,311.1386346058115,287.7601808612168,276.57,3.02,287.7601808612168,276.57,3.02,269.42566330819096,259.30,3.17,3.5,run_00000021,7,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,287.76,276.57,3.02,3.5
RA_165.211__DEC_39.212,1518.1760637844131,1493.9879135201943,165.21343326664123,39.212058179355736,25.0,50.0,NO,1796,311.1386346058115,287.7601808612168,276.57,3.02,287.7601808612168,276.57,3.02,269.42566330819096,259.30,3.17,3.5,run_00000021,7,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,287.76,276.57,3.02,3.5
RA_166.129__DEC_38.242,1337.821283369372,858.7966049926536,166.13005947744506,38.24101617989074,11.0,24.0,NO,1807,122.4614724363716,109.2927389630437,121.46,1.93,109.2927389630437,121.46,1.93,81.30049387387942,98.77,1.92,3.5,run_00000021,7,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,109.29,121.46,1.93,3.5
