# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T05:21:03.568
# DATE-END: 2026-01-17T05:21:03.712
# TSTART: 1768627263568.37
# TSTOP: 1768627263598.37
# DATE: 2026-01-17T05:21:05
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.106974864849
# DEC: 38.7091987131448
# EQUINOX: 2000.0
# CRVAL1: 166.106974864849
# CRVAL2: 38.7091987131448
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00111647972904565
# CD1_2: -0.00144573800115937
# CD2_1: 0.00144570823999575
# CD2_2: 0.00111678203652699
# A_ORDER: 2
# A_0_2: 9.64771239693883e-06
# A_1_1: -2.53371267811817e-06
# A_2_0: -1.52350249468701e-07
# B_ORDER: 2
# B_0_2: -1.15494001953358e-05
# B_1_1: -2.15471634414665e-06
# B_2_0: 1.14906794382488e-06
# AP_ORDER: 2
# AP_0_0: -0.00979073066157432
# AP_0_1: -0.000111638429433978
# AP_0_2: -9.58714727585752e-06
# AP_1_0: -6.99478183229738e-06
# AP_1_1: 2.5340627265107e-06
# AP_2_0: 1.50180952209042e-07
# BP_ORDER: 2
# BP_0_0: 0.010003936552517
# BP_0_1: 0.000111834484519052
# BP_0_2: 1.14876204742867e-05
# BP_1_0: 2.7536909733517e-05
# BP_1_1: 2.13904722312199e-06
# BP_2_0: -1.14657387548412e-06
# NOME_FILE_FITS: 20260117_052103.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000021_stelle_trovate_e_catalogate_immagine_008.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.885__DEC_40.428,1965.430693829704,2012.4030430150444,164.8946255142812,40.429486399307805,28.0,32.0,NO,1,322.34291697753304,252.45327124958573,252.45,NaN,257.4697432518776,257.47,NaN,235.9987717420236,236.00,NaN,3.682142778034629,run_00000021,8,NO,,INT_75,,,,257.47,257.47,NaN,3.68
RA_164.889DEC36.087,72.82938742386455,575.7223008749147,164.89032315117802,36.09127406898252,22.0,17.0,NO,1126,268.2438204035351,188.12747935743025,138.04,2.36,194.30486286194312,138.45,2.44,156.35372915603318,97.95,2.90,3.912065302938992,run_00000021,8,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,187.48,141.74,2.42,3.71
RA_164.889DEC36.087,72.82938742386455,575.7223008749147,164.89032315117802,36.09127406898252,22.0,17.0,NO,1083,268.2438204035351,188.12747935743025,138.38,2.49,194.30486286194312,138.77,2.58,156.35372915603318,98.19,2.94,3.912065302938992,run_00000021,8,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,188.28,142.45,2.56,3.73
RA_164.889DEC36.087,72.82938742386455,575.7223008749147,164.89032315117802,36.09127406898252,22.0,17.0,NO,1123,268.2438204035351,188.12747935743025,138.04,2.36,194.30486286194312,138.45,2.44,156.35372915603318,97.95,2.90,3.912065302938992,run_00000021,8,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,187.48,141.74,2.42,3.71
RA_164.889DEC36.087,72.82938742386455,575.7223008749147,164.89032315117802,36.09127406898252,22.0,17.0,NO,1128,268.2438204035351,188.12747935743025,138.04,2.36,194.30486286194312,138.45,2.44,156.35372915603318,97.95,2.90,3.912065302938992,run_00000021,8,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,187.48,141.74,2.42,3.71
RA_164.889DEC36.087,72.82938742386455,575.7223008749147,164.89032315117802,36.09127406898252,22.0,17.0,NO,1127,268.2438204035351,188.12747935743025,137.92,2.39,194.30486286194312,138.34,2.48,156.35372915603318,97.81,2.94,3.912065302938992,run_00000021,8,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,187.59,141.69,2.45,3.71
RA_165.211__DEC_39.212,1520.277119730778,1493.949514492751,165.2147332362078,39.21200081647987,28.0,49.0,NO,1798,363.570933754492,317.397978575435,276.57,3.02,317.397978575435,276.57,3.02,298.9220920561649,259.30,3.17,3.5,run_00000021,8,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,317.4,276.57,3.02,3.5
RA_165.211__DEC_39.212,1520.277119730778,1493.949514492751,165.2147332362078,39.21200081647987,28.0,49.0,NO,1796,363.570933754492,317.397978575435,276.57,3.02,317.397978575435,276.57,3.02,298.9220920561649,259.30,3.17,3.5,run_00000021,8,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,317.4,276.57,3.02,3.5
RA_165.211__DEC_39.212,1520.277119730778,1493.949514492751,165.2147332362078,39.21200081647987,28.0,49.0,NO,1796,363.570933754492,317.397978575435,276.57,3.02,317.397978575435,276.57,3.02,298.9220920561649,259.30,3.17,3.5,run_00000021,8,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,317.4,276.57,3.02,3.5
RA_166.129__DEC_38.242,1337.568953759858,859.2843769660732,166.12832301090057,38.24210011937874,14.0,32.0,NO,1807,156.82305760707482,147.03618328470336,121.46,1.93,147.03618328470336,121.46,1.93,114.55348151640612,98.77,1.92,3.5,run_00000021,8,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,147.04,121.46,1.93,3.5
