# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T05:22:04.033
# DATE-END: 2026-01-17T05:22:04.176
# TSTART: 1768627324032.53
# TSTOP: 1768627324062.54
# DATE: 2026-01-17T05:22:05
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.114649098312
# DEC: 38.7105346452541
# EQUINOX: 2000.0
# CRVAL1: 166.114649098312
# CRVAL2: 38.7105346452541
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00109992929860825
# CD1_2: -0.00144869685311444
# CD2_1: 0.00145556026553808
# CD2_2: 0.00110580866185705
# A_ORDER: 2
# A_0_2: -2.87386950506801e-06
# A_1_1: 2.4493035527723e-06
# A_2_0: -1.978605614674e-06
# B_ORDER: 2
# B_0_2: 4.1552318300955e-06
# B_1_1: -2.06882017965202e-06
# B_2_0: 1.47737922839411e-06
# AP_ORDER: 2
# AP_0_0: -0.000301240133538272
# AP_0_1: -4.27335227520812e-05
# AP_0_2: 2.87533439481399e-06
# AP_1_0: 3.08470913749229e-05
# AP_1_1: -2.45021430070202e-06
# AP_2_0: 1.97865559249449e-06
# BP_ORDER: 2
# BP_0_0: 0.000521569796822992
# BP_0_1: 4.863162945431e-05
# BP_0_2: -4.15743496254766e-06
# BP_1_0: -2.70649236095452e-05
# BP_1_1: 2.06973341807081e-06
# BP_2_0: -1.47756765882748e-06
# NOME_FILE_FITS: 20260117_052203.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000021_stelle_trovate_e_catalogate_immagine_011.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1316,322.19319403742713,298.92201771930684,251.29,4.06,305.3053310704793,251.70,4.14,292.31844487949604,230.90,4.29,4.039487488785726,run_00000021,11,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,300.68,257.35,4.09,3.83
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1315,322.19319403742713,298.92201771930684,249.67,4.15,305.3053310704793,250.07,4.22,292.31844487949604,229.18,4.42,4.039487488785726,run_00000021,11,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,300.6,255.69,4.17,3.83
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1314,322.19319403742713,298.92201771930684,249.83,4.12,305.3053310704793,250.23,4.19,292.31844487949604,229.26,4.37,4.039487488785726,run_00000021,11,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,300.52,255.79,4.14,3.83
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1313,322.19319403742713,298.92201771930684,249.62,4.21,305.3053310704793,250.03,4.29,292.31844487949604,229.10,4.49,4.039487488785726,run_00000021,11,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,300.68,255.68,4.24,3.83
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1308,322.19319403742713,298.92201771930684,248.08,3.82,305.3053310704793,248.37,3.87,292.31844487949604,228.04,4.08,4.039487488785726,run_00000021,11,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,295.98,251.13,3.81,3.67
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1314,322.19319403742713,298.92201771930684,249.33,4.09,305.3053310704793,249.73,4.16,292.31844487949604,228.80,4.36,4.039487488785726,run_00000021,11,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,300.52,255.31,4.11,3.83
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1315,322.19319403742713,298.92201771930684,249.22,3.92,305.3053310704793,249.51,3.98,292.31844487949604,229.13,4.16,4.039487488785726,run_00000021,11,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,296.48,252.50,3.90,3.68
RA_164.865__DEC_40.434,1974.3146541621416,2007.8700408909108,164.86584939489245,40.43380952712206,30.0,34.0,NO,1274,322.19319403742713,298.92201771930684,249.08,4.04,305.3053310704793,249.37,4.10,292.31844487949604,228.81,4.30,4.039487488785726,run_00000021,11,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,296.51,252.43,4.01,3.68
RA_164.882__DEC_36.096,67.47223957362404,590.3536415224646,164.88474110120205,36.09104974881754,9.0,12.0,NO,1126,113.67193633852436,105.903361684739,138.04,2.36,105.903361684739,138.45,2.44,55.85797439269327,97.95,2.90,3.5,run_00000021,11,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,108.68,141.74,2.42,3.71
RA_164.882__DEC_36.096,67.47223957362404,590.3536415224646,164.88474110120205,36.09104974881754,9.0,12.0,NO,1083,113.67193633852436,105.903361684739,138.38,2.49,105.903361684739,138.77,2.58,55.85797439269327,98.19,2.94,3.5,run_00000021,11,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,108.96,142.45,2.56,3.73
RA_164.882__DEC_36.096,67.47223957362404,590.3536415224646,164.88474110120205,36.09104974881754,9.0,12.0,NO,1123,113.67193633852436,105.903361684739,138.04,2.36,105.903361684739,138.45,2.44,55.85797439269327,97.95,2.90,3.5,run_00000021,11,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,108.68,141.74,2.42,3.71
RA_164.882__DEC_36.096,67.47223957362404,590.3536415224646,164.88474110120205,36.09104974881754,9.0,12.0,NO,1128,113.67193633852436,105.903361684739,138.04,2.36,105.903361684739,138.45,2.44,55.85797439269327,97.95,2.90,3.5,run_00000021,11,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,108.68,141.74,2.42,3.71
RA_164.882__DEC_36.096,67.47223957362404,590.3536415224646,164.88474110120205,36.09104974881754,9.0,12.0,NO,1127,113.67193633852436,105.903361684739,137.92,2.39,105.903361684739,138.34,2.48,55.85797439269327,97.81,2.94,3.5,run_00000021,11,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,108.72,141.69,2.45,3.71
RA_164.882__DEC_36.096,67.47223957362404,590.3536415224646,164.88474110120205,36.09104974881754,9.0,12.0,NO,262,113.67193633852436,105.903361684739,133.10,4.28,105.903361684739,133.10,4.28,55.85797439269327,88.86,5.64,3.5,run_00000021,11,SI (Rank 6),II/389/ps1_dr2,1.513016487574839e+17,164.87577662,36.08615428,13.3087,105.9,133.10,4.28,3.5
RA_165.211__DEC_39.212,1524.021829022754,1493.9547302129722,165.21565483712268,39.213238793316975,25.0,64.0,NO,1798,318.7692549985067,305.37328474365427,276.57,3.02,305.37328474365427,276.57,3.02,287.5416972632392,259.30,3.17,3.5,run_00000021,11,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,305.37,276.57,3.02,3.5
RA_165.211__DEC_39.212,1524.021829022754,1493.9547302129722,165.21565483712268,39.213238793316975,25.0,64.0,NO,1796,318.7692549985067,305.37328474365427,276.57,3.02,305.37328474365427,276.57,3.02,287.5416972632392,259.30,3.17,3.5,run_00000021,11,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,305.37,276.57,3.02,3.5
RA_165.211__DEC_39.212,1524.021829022754,1493.9547302129722,165.21565483712268,39.213238793316975,25.0,64.0,NO,1796,318.7692549985067,305.37328474365427,276.57,3.02,305.37328474365427,276.57,3.02,287.5416972632392,259.30,3.17,3.5,run_00000021,11,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,305.37,276.57,3.02,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,104.8,121.46,1.93,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,104.8,121.46,1.93,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,104.8,121.46,1.93,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,104.8,121.46,1.93,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,104.8,121.46,1.93,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,104.8,121.46,1.93,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,104.8,121.46,1.93,3.5
RA_166.129__DEC_38.242,1335.004429793326,861.2017506733284,166.1324911632908,38.24180314347674,10.0,25.0,NO,1807,105.89601281251878,104.79931185188788,121.46,1.93,104.79931185188788,121.46,1.93,80.78916405434461,98.77,1.92,3.5,run_00000021,11,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,104.8,121.46,1.93,3.5
