# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T05:44:56.330
# DATE-END: 2026-01-17T05:44:56.474
# TSTART: 1768628696330.34
# TSTOP: 1768628696360.34
# DATE: 2026-01-17T05:44:57
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.115163941657
# DEC: 38.7095768582604
# EQUINOX: 2000.0
# CRVAL1: 166.115163941657
# CRVAL2: 38.7095768582604
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000806759063405049
# CD1_2: -0.00163986217138635
# CD2_1: 0.00163663962735986
# CD2_2: 0.00080849899333008
# A_ORDER: 2
# A_0_2: -2.37364938118313e-07
# A_1_1: -4.61195724270853e-07
# A_2_0: -1.60121161443193e-06
# B_ORDER: 2
# B_0_2: -9.08175373633117e-07
# B_1_1: 1.69950439156219e-06
# B_2_0: -1.79010616275446e-06
# AP_ORDER: 2
# AP_0_0: 0.000182149021663254
# AP_0_1: 2.23113328140758e-06
# AP_0_2: 2.37317720919789e-07
# AP_1_0: 9.0309889434557e-06
# AP_1_1: 4.61101373236452e-07
# AP_2_0: 1.60091639760298e-06
# BP_ORDER: 2
# BP_0_0: 0.000138398364076172
# BP_0_1: 4.99011557773567e-06
# BP_0_2: 9.08132033155856e-07
# BP_1_0: 2.33399677416871e-06
# BP_1_1: -1.69951002289891e-06
# BP_2_0: 1.7899104425786e-06
# NOME_FILE_FITS: 20260117_054456.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000021_stelle_trovate_e_catalogate_immagine_061.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1316,301.5184417852299,281.2124215089985,251.29,4.06,281.2124215089985,251.70,4.14,264.2601660379869,230.90,4.29,3.5,run_00000021,61,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,289.24,257.35,4.09,3.83
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1315,301.5184417852299,281.2124215089985,249.67,4.15,281.2124215089985,250.07,4.22,264.2601660379869,229.18,4.42,3.5,run_00000021,61,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,289.16,255.69,4.17,3.83
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1314,301.5184417852299,281.2124215089985,249.83,4.12,281.2124215089985,250.23,4.19,264.2601660379869,229.26,4.37,3.5,run_00000021,61,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,289.09,255.79,4.14,3.83
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1313,301.5184417852299,281.2124215089985,249.62,4.21,281.2124215089985,250.03,4.29,264.2601660379869,229.10,4.49,3.5,run_00000021,61,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,289.24,255.68,4.24,3.83
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1308,301.5184417852299,281.2124215089985,248.08,3.82,281.2124215089985,248.37,3.87,264.2601660379869,228.04,4.08,3.5,run_00000021,61,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,285.36,251.13,3.81,3.67
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1314,301.5184417852299,281.2124215089985,249.33,4.09,281.2124215089985,249.73,4.16,264.2601660379869,228.80,4.36,3.5,run_00000021,61,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,289.09,255.31,4.11,3.83
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1315,301.5184417852299,281.2124215089985,249.22,3.92,281.2124215089985,249.51,3.98,264.2601660379869,229.13,4.16,3.5,run_00000021,61,SI (Rank 7),II/389/ps1_dr2,1.5651164864432566e+17,164.86423858,40.42902393,13.1642,285.76,252.50,3.90,3.68
RA_164.865__DEC_40.434,2154.716171601021,1907.3528316229908,164.86676592515315,40.43070728300301,29.0,47.0,NO,1274,301.5184417852299,281.2124215089985,249.08,4.04,281.2124215089985,249.37,4.10,264.2601660379869,228.81,4.30,3.5,run_00000021,61,SI (Rank 8),II/389/ps1_dr2,1.5651164860222925e+17,164.86013073,40.43235318,14.2387,285.78,252.43,4.01,3.68
RA_164.889DEC36.087,11.85745357887578,880.0928804120939,164.88930980218308,36.08867767115498,12.0,17.0,NO,1126,133.63959782167146,121.3072607664579,138.04,2.36,121.3072607664579,138.45,2.44,88.10279411394255,97.95,2.90,3.5,run_00000021,61,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,123.77,141.74,2.42,3.71
RA_164.889DEC36.087,11.85745357887578,880.0928804120939,164.88930980218308,36.08867767115498,12.0,17.0,NO,1083,133.63959782167146,121.3072607664579,138.38,2.49,121.3072607664579,138.77,2.58,88.10279411394255,98.19,2.94,3.5,run_00000021,61,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,124.0,142.45,2.56,3.73
