# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:28:35.852
# DATE-END: 2025-01-20T21:28:36.911
# TSTART: 1737408515852.22
# TSTOP: 1737408516852.22
# DATE: 2025-01-20T21:28:38
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1914047972629
# DEC: 21.9821717713445
# EQUINOX: 2000.0
# CRVAL1: 84.1914047972629
# CRVAL2: 21.9821717713445
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00076347944966758
# CD1_2: 0.00165956695939518
# CD2_1: -0.00165890141574319
# CD2_2: -0.000763201057062776
# A_ORDER: 2
# A_0_2: -1.29281708496615e-07
# A_1_1: 1.31298272743637e-07
# A_2_0: -3.51507869220729e-08
# B_ORDER: 2
# B_0_2: 4.35702464895655e-07
# B_1_1: -2.51321138185442e-07
# B_2_0: 3.56083356865725e-07
# AP_ORDER: 2
# AP_0_0: -6.67711231694401e-07
# AP_0_1: -2.00762484434556e-07
# AP_0_2: 1.29283882853852e-07
# AP_1_0: 1.27918431846943e-07
# AP_1_1: -1.31298654419299e-07
# AP_2_0: 3.51508445593953e-08
# BP_ORDER: 2
# BP_0_0: 2.9681168149646e-06
# BP_0_1: 6.66668736875251e-07
# BP_0_2: -4.35709502712438e-07
# BP_1_0: -3.37208578960305e-07
# BP_1_1: 2.51321433967894e-07
# BP_2_0: -3.56084939018959e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_212835.fits
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_212835.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,856.8898018135934,27.157703451824258,8.0,13.0,NO,89.64570735281465,,89.30108391931452,89.30108391931452,3.5,50.774487547421096,82.95252395255348,23.860040417572357,SI (Rank 1),II/389/ps1_dr2,1.3663082953525213e+17,82.95354341,23.85974509,9.894
1,856.8898018135934,27.157703451824258,8.0,13.0,NO,89.64570735281465,,89.30108391931452,89.30108391931452,3.5,50.774487547421096,82.95252395255348,23.860040417572357,SI (Rank 2),II/389/ps1_dr2,1.3663082954005262e+17,82.95394637,23.86000225,10.1615
1,856.8898018135934,27.157703451824258,8.0,13.0,NO,89.64570735281465,,89.30108391931452,89.30108391931452,3.5,50.774487547421096,82.95252395255348,23.860040417572357,SI (Rank 3),II/389/ps1_dr2,1.3663082953443258e+17,82.9536376,23.85981607,10.4052
1,856.8898018135934,27.157703451824258,8.0,13.0,NO,89.64570735281465,,89.30108391931452,89.30108391931452,3.5,50.774487547421096,82.95252395255348,23.860040417572357,SI (Rank 4),II/389/ps1_dr2,1.3663082954090219e+17,82.95412421,23.85968677,13.1771
2,1498.516640270294,29.029065729807368,6.0,16.0,NO,80.82168077945877,,81.35384366488069,81.35384366488069,3.5,38.39328020460392,82.43432024684449,22.790284804586825,SI (Rank 1),II/389/ps1_dr2,1.3534082434927872e+17,82.43507272,22.79022534,11.494
2,1498.516640270294,29.029065729807368,6.0,16.0,NO,80.82168077945877,,81.35384366488069,81.35384366488069,3.5,38.39328020460392,82.43432024684449,22.790284804586825,SI (Rank 2),II/389/ps1_dr2,1.3535082434454277e+17,82.43446892261,22.7935206519,14.6767
3,2011.8220679619913,42.803281630433176,11.0,21.0,NO,118.2398777441163,,117.76473270963302,117.76473270963302,3.5,84.99459323541302,82.04800168661414,21.924003825286224,SI (Rank 1),II/389/ps1_dr2,1.343008204889788e+17,82.04910888,21.9234782,9.4348
3,2011.8220679619913,42.803281630433176,11.0,21.0,NO,118.2398777441163,,117.76473270963302,117.76473270963302,3.5,84.99459323541302,82.04800168661414,21.924003825286224,SI (Rank 2),II/389/ps1_dr2,1.3430082049278886e+17,82.049128,21.923565,9.755
4,2448.4507727383175,42.50024474068225,14.0,19.0,NO,136.93429465966156,,133.0058434061416,133.0058434061416,3.5,104.69410290989681,81.70199634761109,21.195489856289374,SI (Rank 1),II/389/ps1_dr2,1.3343081703234528e+17,81.70307622,21.19571641,10.0469
4,2448.4507727383175,42.50024474068225,14.0,19.0,NO,136.93429465966156,,133.0058434061416,133.0058434061416,3.5,104.69410290989681,81.70199634761109,21.195489856289374,SI (Rank 4),II/389/ps1_dr2,1.3343081702160531e+17,81.70213257,21.19573998,14.6298
4,2448.4507727383175,42.50024474068225,14.0,19.0,NO,136.93429465966156,,133.0058434061416,133.0058434061416,3.5,104.69410290989681,81.70199634761109,21.195489856289374,SI (Rank 3),II/389/ps1_dr2,1.3343081703783542e+17,81.70371126,21.19561726,14.5555
4,2448.4507727383175,42.50024474068225,14.0,19.0,NO,136.93429465966156,,133.0058434061416,133.0058434061416,3.5,104.69410290989681,81.70199634761109,21.195489856289374,SI (Rank 2),II/389/ps1_dr2,1.3343081702949514e+17,81.703003,21.195618,10.154
5,384.5901521642572,46.76013950610605,75.0,111.0,NO,1529.8226112231223,,1468.3771718399264,1471.6382472726896,5.2222112740582425,1479.1753694358429,83.37786156620038,24.62994135640581,SI (Rank 3),II/389/ps1_dr2,1.3755083377035368e+17,83.37702311,24.62761004,11.3974
5,384.5901521642572,46.76013950610605,75.0,111.0,NO,1529.8226112231223,,1468.3771718399264,1471.6382472726896,5.2222112740582425,1479.1753694358429,83.37786156620038,24.62994135640581,SI (Rank 2),II/389/ps1_dr2,1.3755083378194474e+17,83.37815738,24.62879541,7.628
5,384.5901521642572,46.76013950610605,75.0,111.0,NO,1529.8226112231223,,1468.3771718399264,1471.6382472726896,5.2222112740582425,1479.1753694358429,83.37786156620038,24.62994135640581,SI (Rank 1),I/239/hip_main,26062.0,83.3781644015,24.6288114583,6.97
5,384.5901521642572,46.76013950610605,75.0,111.0,NO,1529.8226112231223,,1468.3771718399264,1471.6382472726896,5.2222112740582425,1479.1753694358429,83.37786156620038,24.62994135640581,SI (Rank 6),II/389/ps1_dr2,1.3755083376786587e+17,83.37677923,24.62940479,14.9191
5,384.5901521642572,46.76013950610605,75.0,111.0,NO,1529.8226112231223,,1468.3771718399264,1471.6382472726896,5.2222112740582425,1479.1753694358429,83.37786156620038,24.62994135640581,SI (Rank 5),II/389/ps1_dr2,1.375508337915335e+17,83.3792236,24.62755681,14.1807
5,384.5901521642572,46.76013950610605,75.0,111.0,NO,1529.8226112231223,,1468.3771718399264,1471.6382472726896,5.2222112740582425,1479.1753694358429,83.37786156620038,24.62994135640581,SI (Rank 4),II/389/ps1_dr2,1.3755083379232416e+17,83.37903306,24.62800642,13.5827
6,2273.077126188389,51.0055697266848,28.0,45.0,NO,319.60144564837486,,302.6668416158883,304.10289640956915,3.5510205401237953,292.09714385621146,81.85551252499117,21.481957526399185,SI (Rank 1),II/389/ps1_dr2,1.3377081856034866e+17,81.85601972,21.48175569,9.545
6,2273.077126188389,51.0055697266848,28.0,45.0,NO,319.60144564837486,,302.6668416158883,304.10289640956915,3.5510205401237953,292.09714385621146,81.85551252499117,21.481957526399185,SI (Rank 2),II/389/ps1_dr2,1.3377081856151902e+17,81.8561302,21.48189626,10.4305
