# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:32:39.165
# DATE-END: 2025-01-20T21:32:40.229
# TSTART: 1737408759165.13
# TSTOP: 1737408760165.14
# DATE: 2025-01-20T21:32:42
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1718616458244
# DEC: 22.0154150456079
# EQUINOX: 2000.0
# CRVAL1: 84.1718616458244
# CRVAL2: 22.0154150456079
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000787253698251301
# CD1_2: 0.00164817748640776
# CD2_1: -0.00164775361037628
# CD2_2: -0.000786902310215419
# A_ORDER: 2
# A_0_2: -3.96511904305778e-07
# A_1_1: 3.83205689316852e-07
# A_2_0: -1.73082780637768e-07
# B_ORDER: 2
# B_0_2: 5.46281991258427e-07
# B_1_1: -3.80449766858748e-07
# B_2_0: 3.24924364346134e-07
# AP_ORDER: 2
# AP_0_0: 1.11607481869669e-06
# AP_0_1: -8.85058067014779e-07
# AP_0_2: 3.9651429167822e-07
# AP_1_0: 5.66591364483075e-07
# AP_1_1: -3.83202660804601e-07
# AP_2_0: 1.73080443508219e-07
# BP_ORDER: 2
# BP_0_0: -1.24209878347159e-06
# BP_0_1: 1.16797712438118e-06
# BP_0_2: -5.46284859853188e-07
# BP_1_0: -7.28656657900021e-07
# BP_1_1: 3.80444971758857e-07
# BP_2_0: -3.24921691486288e-07
# NOME_FILE: 20250120_213239.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_014.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,2970.9700306941963,8.026858304082738,81.18854907828339,20.42250089400703,7.0,11.0,NO,67,104.26995886826832,103.8707899537972,108.41,2.50,103.8707899537972,108.41,2.50,44.96518299663961,69.49,2.95,3.5,NO,,INT_544,,,
2,2868.507095974474,20.293774746734517,81.29234744524072,20.58310714910754,82.0,94.0,NO,103,1602.94353638673,1554.2753274447073,1668.65,7.07,1564.6361143531103,1692.11,7.91,1560.0281074665086,1719.69,9.63,5.913040729775413,SI (Rank 1),I/239/hip_main,25337.0,81.2932321018,20.5837266364,6.75
3,883.8663479921648,34.13154116108978,82.95243365215798,23.85982218554401,8.0,11.0,NO,37,80.31320355109,81.00536481690892,99.24,1.53,81.00536481690892,99.24,1.53,47.44430889293408,63.41,1.85,3.5,NO,,INT_1,,,
4,411.2271239422751,47.0341401838009,83.37796290267435,24.629870121275008,82.0,109.0,NO,39,1582.860695782225,1503.950812529905,1398.52,10.78,1507.3236861825117,1408.79,10.87,1507.8071697296448,1405.75,11.92,5.321480184791399,SI (Rank 1),I/239/hip_main,26062.0,83.3781644015,24.6288114583,6.97
5,1525.1855264991818,45.195029436133,82.43445865112825,22.790557705874424,6.0,12.0,NO,107,78.87852449155488,77.7868946489433,79.82,1.07,77.7868946489433,79.82,1.07,35.99547395107838,37.68,1.27,3.5,NO,,INT_2,,,
6,566.6228229014872,58.281037671396895,83.2655398948305,24.364893443439268,30.0,30.0,NO,49,293.5069091555651,281.6497472192076,276.23,2.39,281.6497472192076,276.96,2.39,255.63375825601983,254.03,2.00,3.946407823062559,NO,,INT_8,,,
7,738.529717228458,56.48069040376271,83.11596908337286,24.082585610920656,4.0,10.0,NO,27,78.22371947400367,78.37822060966731,89.38,4.12,78.37822060966731,90.81,5.44,14.006424418473577,35.98,3.80,3.5,NO,,INT_464,,,
8,2038.364396026037,66.67692613990768,82.04872074873789,21.924049742275937,13.0,18.0,NO,114,122.44621882380176,120.63829177886932,121.66,1.07,120.63829177886932,121.66,1.07,87.27547580167196,94.49,1.19,3.5,NO,,INT_5,,,
9,2474.6468841952337,72.58983659881171,81.70296582674418,21.19640435216186,15.0,17.0,NO,104,155.91138128809183,150.81597102115907,142.50,1.19,150.81597102115907,142.50,1.19,120.4339757203794,115.21,1.21,3.5,NO,,INT_4,,,
10,219.27380362426405,77.2073111836996,83.59756343048366,24.92267423735436,12.0,17.0,NO,33,139.5224223373084,125.74269171367764,104.87,4.33,125.74269171367764,104.87,4.33,81.20589626584437,59.89,5.02,3.5,NO,,INT_440,,,
11,2299.4749121907757,78.57688460957637,81.85618180367196,21.482214640992236,31.0,34.0,NO,93,336.3579743060049,320.4097399522237,313.52,1.79,320.4097399522237,314.85,1.86,296.46351102351883,297.13,1.75,3.787111044895997,NO,,INT_6,,,
12,83.30858434592857,81.92309522173765,83.72342256041948,25.14278322586857,9.0,13.0,NO,34,101.35301994949342,98.22029621635852,104.93,1.47,98.22029621635852,104.93,1.47,60.223759758541846,57.37,2.51,3.5,NO,,INT_11,,,
13,2039.2943518840389,91.06333878781508,82.09143808148671,21.90386655577552,16.0,18.0,NO,115,134.65137056224273,133.37157568187388,142.19,1.41,133.37157568187388,142.19,1.41,112.24121824969556,117.45,1.37,3.5,NO,,INT_9,,,
14,252.36097938960316,96.89380658624876,83.60484062829224,24.85287720966284,27.0,22.0,NO,57,290.2796544735656,259.5242432097157,239.64,3.10,260.3045124091884,241.55,3.18,220.09700432246683,204.52,2.57,3.9616313549284583,NO,,INT_13,,,
15,1191.534381842496,113.51541051239536,82.83611986814506,23.290035826456407,4.0,13.0,NO,55,64.70271941896064,65.24972804186939,71.70,1.00,65.24972804186939,71.70,1.00,14.081519632470632,27.28,1.19,3.5,NO,,INT_16,,,
