# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:34:20.754
# DATE-END: 2025-01-20T21:34:21.813
# TSTART: 1737408860754.17
# TSTOP: 1737408861754.18
# DATE: 2025-01-20T21:34:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1724267296134
# DEC: 22.0157723795616
# EQUINOX: 2000.0
# CRVAL1: 84.1724267296134
# CRVAL2: 22.0157723795616
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000798659523927597
# CD1_2: 0.00164254436059783
# CD2_1: -0.00164195686793011
# CD2_2: -0.000799055591932526
# A_ORDER: 2
# A_0_2: -4.56585618364294e-08
# A_1_1: 1.5190642077292e-07
# A_2_0: -5.64281924317552e-08
# B_ORDER: 2
# B_0_2: 8.24804262748891e-08
# B_1_1: 4.008347463306e-08
# B_2_0: 2.87070521009948e-07
# AP_ORDER: 2
# AP_0_0: 7.17785155675739e-07
# AP_0_1: -4.75961547761903e-08
# AP_0_2: 4.56583445857094e-08
# AP_1_0: 8.81332550385508e-08
# AP_1_1: -1.51905810574208e-07
# AP_2_0: 5.64268410852997e-08
# BP_ORDER: 2
# BP_0_0: 1.53657122551702e-07
# BP_0_1: 1.18782093387218e-07
# BP_0_2: -8.24803537914276e-08
# BP_1_0: -3.4893079672357e-08
# BP_1_1: -4.0086197289138e-08
# BP_2_0: -2.87070532618765e-07
# NOME_FILE: 20250120_213420.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_019.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,2977.979789601073,18.98336883116636,81.18812415451052,20.422590014821143,7.0,11.0,NO,51,92.9972116345118,88.34068164352465,94.02,2.50,88.34068164352465,94.02,2.50,36.412898340120414,43.10,2.76,3.5,NO,,INT_489,,,
2,2875.847941169752,30.00461407825911,81.29082252987575,20.582947100526045,82.0,94.0,NO,103,1570.4093146358402,1514.581657953931,1668.65,7.07,1525.9488563401555,1692.11,7.91,1524.031977420721,1719.69,9.63,6.001031298962367,SI (Rank 1),I/239/hip_main,25337.0,81.2932321018,20.5837266364,6.75
3,890.9538455209901,29.62341879212844,82.95233992677227,23.860134753930925,11.0,19.0,NO,37,114.7018083879685,110.65584581426168,99.24,1.53,110.65584581426168,99.24,1.53,80.60315219721761,63.41,1.85,3.5,NO,,INT_1,,,
4,418.4280295895209,39.12227212102728,83.37778722000931,24.62971037028036,77.0,109.0,NO,39,1508.2527191282984,1436.942323190206,1398.52,10.78,1445.729982763194,1408.79,10.87,1453.1533431075186,1405.75,11.92,5.302434983799653,SI (Rank 1),I/239/hip_main,26062.0,83.3781644015,24.6288114583,6.97
5,1532.494347591777,45.0816487671428,82.4335082968176,22.790609617944117,6.0,13.0,NO,107,78.96480896413729,80.16526599820479,79.82,1.07,80.16526599820479,79.82,1.07,42.06576471520912,37.68,1.27,3.5,NO,,INT_2,,,
6,573.6956516782786,51.51052424843102,83.26544563822077,24.36484636777388,27.0,36.0,NO,49,283.540703358892,267.73609357477005,276.23,2.39,268.0071111295709,276.96,2.39,247.15048213325883,254.03,2.00,3.822319595320442,NO,,INT_8,,,
7,745.5045489527885,50.96256497496987,83.1159684335498,24.08275822380985,6.0,13.0,NO,27,88.48607685998101,84.79500492515025,89.38,4.12,84.79500492515025,90.81,5.44,29.44497425672501,35.98,3.80,3.5,NO,,INT_464,,,
8,1935.306647624329,65.33177846540586,82.13089627379128,22.10990147711701,3.0,10.0,NO,16,69.83131759415234,72.36878976169129,73.34,1.70,72.36878976169129,73.34,1.70,13.214837834121564,25.14,1.86,3.5,NO,,INT_3,,,
9,225.72742796794856,67.7247206200814,83.59754998010179,24.923457581080022,16.0,16.0,NO,36,158.0404927640628,145.18477360022914,139.93,2.89,146.6094268880858,140.64,3.08,118.27111665806352,103.62,3.11,3.587737801728946,NO,,INT_10,,,
10,2045.3202061826585,70.5840656701203,82.04830654593128,21.924126259384437,13.0,15.0,NO,114,138.40679623552586,130.2797542219226,121.66,1.07,130.2797542219226,121.66,1.07,91.2970449478473,94.49,1.19,3.5,NO,,INT_5,,,
11,90.46875466963178,71.99170233355582,83.72372104401077,25.141871644561565,10.0,13.0,NO,19,130.16268063748672,113.51682491745711,119.19,5.22,113.51682491745711,119.19,5.22,64.33480599825064,73.11,5.84,3.5,NO,,INT_513,,,
12,2481.582554059434,79.41675046229435,81.70187029676808,21.19650118546996,14.0,20.0,NO,9,156.06955176478849,147.10494152937991,138.32,5.87,147.10494152937991,138.32,5.87,121.30477993398952,109.59,7.47,3.5,NO,,INT_514,,,
13,2306.307916564204,84.25678503583774,81.85547744050366,21.48237663576919,30.0,40.0,NO,93,355.5172424255666,336.33753334358005,313.52,1.79,336.33753334358005,314.85,1.86,308.3170367294725,297.13,1.75,3.7782631363870136,NO,,INT_6,,,
14,259.1310649874373,87.93525354912366,83.60496537805207,24.85269744075317,24.0,21.0,NO,57,279.97997465021336,227.74863785131765,239.64,3.10,227.74863785131768,241.55,3.18,191.18357679319973,204.52,2.57,3.75329026779892,NO,,INT_13,,,
