# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:35:01.310
# DATE-END: 2025-01-20T21:35:02.369
# TSTART: 1737408901310.39
# TSTOP: 1737408902310.4
# DATE: 2025-01-20T21:35:04
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1727699264026
# DEC: 22.0166339101052
# EQUINOX: 2000.0
# CRVAL1: 84.1727699264026
# CRVAL2: 22.0166339101052
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000803422988965272
# CD1_2: 0.00164019083219718
# CD2_1: -0.0016395926470458
# CD2_2: -0.000803807991956343
# A_ORDER: 2
# A_0_2: 4.17935279649327e-08
# A_1_1: 1.27779560831428e-07
# A_2_0: -7.49389281811296e-08
# B_ORDER: 2
# B_0_2: 1.7389346407683e-07
# B_1_1: 3.88526721358382e-08
# B_2_0: 2.37806593819022e-07
# AP_ORDER: 2
# AP_0_0: 8.45328009901891e-07
# AP_0_1: 9.96731180323331e-09
# AP_0_2: -4.17942286241172e-08
# AP_1_0: 7.50923965097602e-08
# AP_1_1: -1.27779855155689e-07
# AP_2_0: 7.49376383927404e-08
# BP_ORDER: 2
# BP_0_0: 5.61397042660635e-07
# BP_0_1: 1.58927623132362e-07
# BP_0_2: -1.73894834645758e-07
# BP_1_0: -2.26732177208753e-08
# BP_1_1: -3.88561580664006e-08
# BP_2_0: -2.37806537985213e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_213501.fits
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_213501.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,2981.6862696770972,22.853862039519736,7.0,13.0,NO,109.23576171727647,,99.95104386834689,99.95104386834689,3.5,46.44455520217596,81.18717335965133,20.422289370533573,SI (Rank 1),II/389/ps1_dr2,1.3250081190235786e+17,81.19025416,20.42282793,9.6921
1,2981.6862696770972,22.853862039519736,7.0,13.0,NO,109.23576171727647,,99.95104386834689,99.95104386834689,3.5,46.44455520217596,81.18717335965133,20.422289370533573,SI (Rank 2),II/389/ps1_dr2,1.3250081190580782e+17,81.19047456,20.42266981,11.187
1,2981.6862696770972,22.853862039519736,7.0,13.0,NO,109.23576171727647,,99.95104386834689,99.95104386834689,3.5,46.44455520217596,81.18717335965133,20.422289370533573,SI (Rank 3),II/389/ps1_dr2,1.3250081190029686e+17,81.18997934,20.42194635,12.4594
2,894.2395913423304,27.834038146471745,11.0,17.0,NO,111.03393256893635,,108.52271352399237,108.52271352399237,3.5,79.90326036031813,82.95256087961813,23.860084516404793,SI (Rank 1),II/389/ps1_dr2,1.3663082953525213e+17,82.95354341,23.85974509,9.894
2,894.2395913423304,27.834038146471745,11.0,17.0,NO,111.03393256893635,,108.52271352399237,108.52271352399237,3.5,79.90326036031813,82.95256087961813,23.860084516404793,SI (Rank 3),II/389/ps1_dr2,1.3663082953443258e+17,82.9536376,23.85981607,10.4052
2,894.2395913423304,27.834038146471745,11.0,17.0,NO,111.03393256893635,,108.52271352399237,108.52271352399237,3.5,79.90326036031813,82.95256087961813,23.860084516404793,SI (Rank 4),II/389/ps1_dr2,1.3663082954090219e+17,82.95412421,23.85968677,13.1771
2,894.2395913423304,27.834038146471745,11.0,17.0,NO,111.03393256893635,,108.52271352399237,108.52271352399237,3.5,79.90326036031813,82.95256087961813,23.860084516404793,SI (Rank 2),II/389/ps1_dr2,1.3663082954005262e+17,82.95394637,23.86000225,10.1615
3,2879.2000548894657,33.99107192939689,84.0,84.0,NO,1608.737765022055,,1545.3716030514329,1553.4246188774812,6.001906374772758,1553.7208123646005,81.29088201797478,20.58284751052407,SI (Rank 1),I/239/hip_main,25337.0,81.2932321018,20.5837266364,6.75
3,2879.2000548894657,33.99107192939689,84.0,84.0,NO,1608.737765022055,,1545.3716030514329,1553.4246188774812,6.001906374772758,1553.7208123646005,81.29088201797478,20.58284751052407,SI (Rank 3),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486
3,2879.2000548894657,33.99107192939689,84.0,84.0,NO,1608.737765022055,,1545.3716030514329,1553.4246188774812,6.001906374772758,1553.7208123646005,81.29088201797478,20.58284751052407,SI (Rank 4),II/389/ps1_dr2,1.3270081294269011e+17,81.29417628,20.58289277,13.1611
3,2879.2000548894657,33.99107192939689,84.0,84.0,NO,1608.737765022055,,1545.3716030514329,1553.4246188774812,6.001906374772758,1553.7208123646005,81.29088201797478,20.58284751052407,SI (Rank 5),II/389/ps1_dr2,1.3270081292093142e+17,81.29195597,20.58408639,13.3859
3,2879.2000548894657,33.99107192939689,84.0,84.0,NO,1608.737765022055,,1545.3716030514329,1553.4246188774812,6.001906374772758,1553.7208123646005,81.29088201797478,20.58284751052407,SI (Rank 2),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086
4,421.7450919630486,35.96957412022845,81.0,112.0,NO,1527.6635896498244,,1453.7635075245337,1461.7541830839948,5.494392049138296,1469.9490266802368,83.37791674293028,24.629621964322045,SI (Rank 5),II/389/ps1_dr2,1.375508337915335e+17,83.3792236,24.62755681,14.1807
4,421.7450919630486,35.96957412022845,81.0,112.0,NO,1527.6635896498244,,1453.7635075245337,1461.7541830839948,5.494392049138296,1469.9490266802368,83.37791674293028,24.629621964322045,SI (Rank 6),II/389/ps1_dr2,1.3755083376786587e+17,83.37677923,24.62940479,14.9191
