# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:53:39.026
# DATE-END: 2025-01-20T21:53:40.088
# TSTART: 1737410019026.29
# TSTOP: 1737410020026.29
# DATE: 2025-01-20T21:53:41
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1710296658162
# DEC: 22.0162538564702
# EQUINOX: 2000.0
# CRVAL1: 84.1710296658162
# CRVAL2: 22.0162538564702
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000983420935098464
# CD1_2: 0.00153880536180418
# CD2_1: -0.00153836165609619
# CD2_2: -0.000983662109095652
# A_ORDER: 2
# A_0_2: -4.33268285853421e-07
# A_1_1: -3.50957661718862e-08
# A_2_0: -1.91928907950444e-07
# B_ORDER: 2
# B_0_2: -1.60563522622533e-07
# B_1_1: -2.61016427240348e-07
# B_2_0: 1.98127937462721e-07
# AP_ORDER: 2
# AP_0_0: 1.92949564604324e-06
# AP_0_1: -1.63279198552746e-08
# AP_0_2: 4.3326178663453e-07
# AP_1_0: 2.46781989106927e-07
# AP_1_1: 3.5092372871321e-08
# AP_2_0: 1.91928324111622e-07
# BP_ORDER: 2
# BP_0_0: -5.9666151962882e-07
# BP_0_1: 1.42789214063457e-07
# BP_0_2: 1.60560357652077e-07
# BP_1_0: -2.04572149430003e-07
# BP_1_1: 2.61016302367381e-07
# BP_2_0: -1.98125340157805e-07
# NOME_FILE: 20250120_215338.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_076.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
1,798.8570027531105,32.82405495639194,83.29592025672825,24.119092905228253,6.0,11.0,NO,31,76.49003921152342,77.17688210359424,73.04,1.53,77.17688210359424,73.04,1.53,31.7952805752473,20.09,1.66,3.5,NO,,INT_20,,,,77.18,73.04,1.52,3.5
2,1645.5012813682995,52.49419458163466,82.43437199520731,22.79094398937091,4.0,14.0,NO,107,78.9322954118316,83.22250934837656,79.82,1.07,83.22250934837656,79.82,1.07,17.538655785118664,37.68,1.27,3.5,NO,,INT_2,,,,83.22,79.82,1.07,3.5
3,2873.1543902911185,57.82387016214243,81.17764452261959,20.88045463633196,18.0,15.0,NO,63,191.9255700583223,178.92636074002945,117.56,5.37,180.20662174179648,118.18,5.45,146.52268305505248,84.32,5.90,3.8615768846211695,NO,,INT_620,,,,180.21,118.18,5.45,3.86
4,2183.391941296504,72.89278819211154,81.90933260344217,21.937232637986902,216.0,254.0,SI,92,7451.148613013949,7109.408891958728,7343.89,13.67,7177.35647016954,7460.33,15.92,7519.81119037598,7810.47,18.48,7.460467589490628,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88,7195.37,7552.23,16.41,7.54
5,249.14638276409377,73.85905811582043,83.95605775906587,24.92536443384198,8.0,11.0,NO,12,100.32823142459448,95.05697196572083,100.30,7.69,95.05697196572083,100.30,7.69,42.40203281181937,52.17,9.90,3.5,NO,,INT_643,,,,95.06,100.30,7.69,3.5
6,1306.3294737268548,79.30589308587523,82.83580698207086,23.28998861729252,3.0,12.0,NO,55,61.74990292596393,63.647914771408914,71.70,1.00,63.647914771408914,71.70,1.00,16.423162976969543,27.28,1.19,3.5,NO,,INT_16,,,,63.65,71.70,1.00,3.5
7,88.3180775602081,89.32220881719083,84.15659998973659,25.15713284274421,13.0,11.0,NO,51,141.30493977924158,131.1843972720105,110.79,2.30,131.1843972720105,110.82,2.30,78.35788905899625,67.47,2.82,3.5,NO,,INT_585,,,,131.18,110.82,2.30,3.5
8,685.4970897935664,97.47695688298056,83.52641477348874,24.230796714237343,4.0,12.0,NO,62,77.53357755147752,76.43176178640024,79.13,1.09,76.43176178640024,79.13,1.09,12.543691448795304,25.21,1.23,3.5,NO,,INT_31,,,,76.43,79.13,1.09,3.5
9,1521.0607173183053,107.78787848255035,82.6576735950845,22.93013712580333,10.0,13.0,NO,115,101.1871880889524,98.79503870019695,84.54,0.87,98.79503870019695,84.54,0.87,74.03613741553147,48.28,1.14,3.5,NO,,INT_15,,,,98.8,84.54,0.87,3.5
10,2678.2811123443,110.74196906421912,81.46412670675377,21.132604637340545,31.0,24.0,NO,87,310.5666582475339,288.2895742832648,220.67,8.31,290.7987038033295,221.59,8.37,270.72096490633646,194.42,9.75,4.268524993627267,NO,,INT_577,,,,290.8,221.59,8.37,4.27
11,504.7136855364252,121.01103437546244,83.7602639419036,24.48617556011158,7.0,11.0,NO,19,94.01622274067134,84.70060987826123,79.94,2.40,84.70060987826123,79.94,2.40,36.28066936015406,28.02,2.76,3.5,NO,,INT_593,,,,84.7,79.94,2.40,3.5
12,1526.9702139488984,134.0347738311328,82.69554836490502,22.89555864965567,9.0,19.0,NO,115,93.3627879790604,94.88052228279068,92.01,0.84,94.88052228279068,92.01,0.84,61.87943503822816,59.50,0.93,3.5,NO,,INT_19,,,,94.88,92.01,0.84,3.5
13,2152.0042529485245,136.83279882462926,82.04864053426576,21.92439888669564,10.0,20.0,NO,114,117.57975497585528,116.50843062912789,121.66,1.07,116.50843062912789,121.66,1.07,82.29823904331903,94.49,1.19,3.5,NO,,INT_5,,,,116.51,121.66,1.07,3.5
14,1619.3189981886298,137.31537579410886,82.60416731959903,22.74943395748448,3.0,12.0,NO,9,60.34039462007604,62.01869729253502,73.72,3.34,62.01869729253502,73.72,3.34,16.325090572277627,23.25,4.62,3.5,NO,,INT_538,,,,62.02,73.72,3.34,3.5
15,320.5098975687337,140.81457629415408,83.99240132956218,24.75002911632364,27.0,27.0,NO,103,279.94106502915986,263.97597284262645,267.35,1.88,264.26082491492207,268.49,1.95,245.9263409898554,246.70,1.69,3.8201752236106574,NO,,INT_50,,,,264.26,268.49,1.95,3.82
16,1230.3178168291806,147.3138517400651,83.0305647877106,23.3414388122048,3.0,12.0,NO,33,59.65390694377948,61.94352762077652,70.50,0.84,61.94352762077652,70.50,0.84,16.998691128455004,21.30,0.99,3.5,NO,,INT_27,,,,61.94,70.50,0.84,3.5
17,448.3601907815559,161.11049925251484,83.8887917955881,24.533582661862862,20.0,29.0,NO,113,205.4838969874812,192.349268627422,177.86,1.48,192.349268627422,178.01,1.50,169.17596011016403,152.27,1.48,3.5,NO,,INT_52,,,,192.35,178.01,1.50,3.5
