# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:56:21.810
# DATE-END: 2025-01-20T21:56:22.872
# TSTART: 1737410181809.65
# TSTOP: 1737410182809.66
# DATE: 2025-01-20T21:56:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.171018225956
# DEC: 22.0153426090385
# EQUINOX: 2000.0
# CRVAL1: 84.171018225956
# CRVAL2: 22.0153426090385
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00101898092617102
# CD1_2: 0.00151543787359143
# CD2_1: -0.00151508884664351
# CD2_2: -0.00101932079327608
# A_ORDER: 2
# A_0_2: -3.81950330838845e-07
# A_1_1: 3.49973983808087e-08
# A_2_0: -1.76547527197494e-07
# B_ORDER: 2
# B_0_2: -1.16368920810246e-07
# B_1_1: -2.22674839809904e-07
# B_2_0: 2.02736904349513e-07
# AP_ORDER: 2
# AP_0_0: 7.57964844192808e-07
# AP_0_1: -1.01115363151856e-07
# AP_0_2: 3.81945941038647e-07
# AP_1_0: 2.14673115874072e-07
# AP_1_1: -3.50002262886748e-08
# AP_2_0: 1.7654764287002e-07
# BP_ORDER: 2
# BP_0_0: -4.32531587464998e-07
# BP_0_1: 1.20431675882854e-07
# BP_0_2: 1.1636654183639e-07
# BP_1_0: -2.05782793967541e-07
# BP_1_1: 2.22675552651056e-07
# BP_2_0: -2.02734943188668e-07
# NOME_FILE: 20250120_215621.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_084.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,271.1446578944097,43.85693083365151,83.95602831819312,24.925310229066994,8.0,11.0,NO,12,83.38361806449797,83.20577725433678,100.30,7.69,83.20577725433678,100.30,7.69,42.52408940416969,52.17,9.90,3.5,NO,,INT_643,,,
2,109.8450474344791,55.46444824497572,84.15655350898241,25.157401842106644,11.0,12.0,NO,51,114.7077801976942,110.7050648272506,110.79,2.30,110.7050648272506,110.82,2.30,71.14355915969276,67.47,2.82,3.5,NO,,INT_585,,,
3,1667.7447447794866,54.99741170622367,82.43424207825964,22.79083922910937,4.0,13.0,NO,107,63.78685801972238,66.21091677348929,79.82,1.07,66.21091677348929,79.82,1.07,28.481683070124983,37.68,1.27,3.5,NO,,INT_2,,,
4,1383.2622053779692,69.55972100453766,82.76809200402597,23.210094441905888,24.0,28.0,NO,145,265.1221339429259,218.37318333997035,206.35,3.95,218.37318333997035,208.12,4.07,198.58839901027667,183.07,5.29,3.5,NO,,INT_450,,,
5,706.5211586599683,77.52049866306994,83.52656709213758,24.231377660734243,4.0,13.0,NO,62,66.45658533182747,67.88678800351997,79.13,1.09,67.88678800351997,79.13,1.09,15.555646308993085,25.21,1.23,3.5,NO,,INT_31,,,
6,2204.888333466742,88.13239705700431,81.90969825121209,21.93711981272939,198.0,254.0,SI,92,7256.553617063624,6962.389112578578,7343.89,13.67,7023.17383809184,7460.33,15.92,7302.734205856874,7810.47,18.48,7.277500520632297,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88
7,2894.847733802758,88.9868513868554,81.17773483964089,20.88041929866353,16.0,13.0,NO,63,142.91046716606442,137.21090558539734,117.56,5.37,138.25035551683862,118.18,5.45,105.33480631216848,84.32,5.90,3.699784983765678,NO,,INT_620,,,
8,525.5086525801237,97.48356240057925,83.76117893160018,24.48567777197568,4.0,10.0,NO,19,70.19109699522974,70.3904568057779,79.94,2.40,70.3904568057779,79.94,2.40,13.254827939595907,28.02,2.76,3.5,NO,,INT_593,,,
9,1542.1100593283256,107.33466959566438,82.65739535936066,22.929987329539127,9.0,17.0,NO,115,85.30188747739572,86.4126965983153,84.54,0.87,86.4126965983153,84.54,0.87,67.2542543811595,48.28,1.14,3.5,NO,,INT_15,,,
10,340.9310866818055,112.64187971853788,83.99267714077581,24.749811904831184,24.0,29.0,NO,103,256.6816981737344,252.07862755382223,267.35,1.88,252.07862755382223,268.49,1.95,224.36787315190497,246.70,1.69,3.684460658436017,NO,,INT_50,,,
