# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:56:41.984
# DATE-END: 2025-01-20T21:56:42.044
# TSTART: 1737410201984.29
# TSTOP: 1737410202984.29
# DATE: 2025-01-20T21:56:44
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1712426688648
# DEC: 22.0156430968031
# EQUINOX: 2000.0
# CRVAL1: 84.1712426688648
# CRVAL2: 22.0156430968031
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00102354491432359
# CD1_2: 0.00151242997992239
# CD2_1: -0.00151198433516894
# CD2_2: -0.00102376979207433
# A_ORDER: 2
# A_0_2: -4.27395916101744e-07
# A_1_1: -1.4281837404129e-08
# A_2_0: -1.37607053857577e-07
# B_ORDER: 2
# B_0_2: -1.24587498683264e-07
# B_1_1: -2.71962857664066e-07
# B_2_0: 2.03655311531718e-07
# AP_ORDER: 2
# AP_0_0: 1.81418155499694e-06
# AP_0_1: -6.18257820651912e-08
# AP_0_2: 4.27387864416694e-07
# AP_1_0: 1.8078935523962e-07
# AP_1_1: 1.42789701260907e-08
# AP_2_0: 1.37607318633003e-07
# BP_ORDER: 2
# BP_0_0: -1.02414759843109e-06
# BP_0_1: 1.42164264969092e-07
# BP_0_2: 1.24583987420739e-07
# BP_1_0: -1.90578397738716e-07
# BP_1_1: 2.71962832572211e-07
# BP_2_0: -2.03651680206443e-07
# NOME_FILE: 20250120_215641.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_085.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,274.0131819040188,39.99614813863051,83.95611602853846,24.92579509925772,7.0,9.0,NO,12,89.40255428405519,88.1656708376412,100.30,7.69,88.1656708376412,100.30,7.69,38.43170790906824,52.17,9.90,3.5,NO,,INT_643,,,
2,112.69445450380157,51.00587227235282,84.15641584364845,25.15796587827067,9.0,10.0,NO,51,107.93708079868784,102.16759486633376,110.79,2.30,102.16759486633376,110.82,2.30,63.41610792055394,67.47,2.82,3.5,NO,,INT_585,,,
3,1670.5277112994447,55.49810337599808,82.43473098748419,22.79119283438628,4.0,15.0,NO,107,61.453602218153634,62.99273645418481,79.82,1.07,62.99273645418481,79.82,1.07,17.380449186009663,37.68,1.27,3.5,NO,,INT_2,,,
4,1386.5532317865238,69.08789875109926,82.76778044891675,23.20975366696864,19.0,30.0,NO,145,211.89561246109724,193.61310932256848,206.35,3.95,193.61310932256848,208.12,4.07,179.17107507543807,183.07,5.29,3.5,NO,,INT_450,,,
5,2207.83226041462,90.13133896287196,81.90969820407231,21.93711476931938,195.0,254.0,SI,92,7220.650272010302,6946.018042898388,7343.89,13.67,6991.869220606879,7460.33,15.92,7260.380762072147,7810.47,18.48,7.171169852390511,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88
6,2897.847567312517,92.89665545833124,81.17735662413025,20.88033575477687,15.0,13.0,NO,63,137.1605851692465,129.77403349864957,117.56,5.37,129.77403349864957,118.18,5.45,101.43616447736244,84.32,5.90,3.5,NO,,INT_620,,,
7,528.6709532523397,94.3223654870575,83.76067696999924,24.48554039650832,3.0,10.0,NO,19,67.51915128551701,69.96662312700366,79.94,2.40,69.96662312700366,79.94,2.40,14.244849552171722,28.02,2.76,3.5,NO,,INT_593,,,
8,343.7557536851932,109.01789096824976,83.99263700207118,24.750012653070097,25.0,23.0,NO,103,257.26852497269067,248.75601747838763,267.35,1.88,249.4008118481637,268.49,1.95,227.75174374455452,246.70,1.69,3.8689012463858794,NO,,INT_50,,,
9,1545.19487581132,107.77522472214088,82.657906936766,22.929332606240717,6.0,14.0,NO,115,72.04573497862617,72.26987938439181,84.54,0.87,72.26987938439181,84.54,0.87,42.01412666474718,48.28,1.14,3.5,NO,,INT_15,,,
10,471.2146084212524,132.66207814042903,83.88882824295611,24.533314080128864,17.0,22.0,NO,113,160.3684665005147,158.5485169748507,177.86,1.48,158.5485169748507,178.01,1.50,139.27582617898543,152.27,1.48,3.5,NO,,INT_52,,,
11,1549.9568076869705,134.0036521829786,82.69600414696734,22.89561593450181,9.0,20.0,NO,115,82.14257507177453,84.39617106378988,92.01,0.84,84.39617106378988,92.01,0.84,60.05298937984092,59.50,0.93,3.5,NO,,INT_19,,,
12,2701.411774313904,140.7587814027229,81.46424250846313,21.132826502476732,27.0,28.0,NO,87,253.95336209033445,243.9674211495168,220.67,8.31,245.06369161461728,221.59,8.37,235.0104226240168,194.42,9.75,3.8285261995868014,NO,,INT_577,,,
13,616.0280061711871,155.36207827874895,83.76438117782304,24.291188663420037,85.0,143.0,NO,115,1738.8624955591808,1645.8080575328668,1748.42,5.28,1655.5068104977815,1766.36,5.73,1678.8090239413907,1791.64,6.72,5.276483180214746,SI (Rank 1),I/239/hip_main,26201.0,83.7648740231,24.2907687512,6.82
14,2174.9786513239137,152.99973034246287,82.0484073557163,21.92420720195164,9.0,15.0,NO,114,93.29450887826307,93.80488649750797,121.66,1.07,93.80488649750797,121.66,1.07,52.86117750809248,94.49,1.19,3.5,NO,,INT_5,,,
15,1197.477269257807,170.09503160428108,83.14293037830024,23.39489937379852,17.0,30.0,NO,115,180.4638570402537,178.91575344483903,183.95,1.10,178.91575344483903,183.95,1.10,164.7762674751817,163.98,1.05,3.5,NO,,INT_35,,,
16,151.16397413040093,172.17834851204003,84.31493253630089,24.975964489103973,6.0,10.0,NO,81,83.42725874574322,82.89573951466248,94.24,1.18,82.89573951466248,94.24,1.18,33.28998684912278,43.96,1.62,3.5,NO,,INT_76,,,
17,1428.23483407098,175.5107507513123,82.89792327739248,23.03881161644422,10.0,18.0,NO,115,93.07055894568724,93.49084013018584,106.40,0.87,93.49084013018584,106.40,0.87,74.28484918818387,78.55,0.90,3.5,NO,,INT_29,,,
18,2172.113755256929,177.2756323806596,82.09137338828495,21.904215012445714,12.0,19.0,NO,115,121.1259610386573,122.07219091606004,142.19,1.41,122.07219091606004,142.19,1.41,102.2157332880316,117.45,1.37,3.5,NO,,INT_9,,,
19,1748.8933517216474,186.1347251672286,82.56477362538011,22.540225528909453,90.0,129.0,NO,115,1525.4210407636938,1420.9736732779706,1493.85,5.77,1435.9083896808845,1517.37,6.09,1432.5503048850258,1486.86,5.59,5.812833185732755,NO,,INT_23,,,
20,427.4736683857623,191.5244519257774,84.03578327544413,24.53929310696503,4.0,10.0,NO,16,77.897886235491,77.86059999784507,99.87,3.67,77.86059999784507,99.87,3.67,15.285906164411152,53.91,4.25,3.5,NO,,INT_650,,,
21,1159.6663083112544,196.68401474745545,83.22865650464153,23.425336904686187,3.0,11.0,NO,29,54.27887207128289,58.51832598583728,69.99,1.02,58.51832598583728,69.99,1.02,16.97565346525493,22.44,1.11,3.5,NO,,INT_41,,,
22,2431.319353020793,203.6977149167733,81.85592796662839,21.482292756401428,27.0,38.0,NO,23,296.4747077483617,281.88502223569014,305.62,3.21,281.88502223569014,306.90,3.27,261.6027944269022,284.68,3.46,3.5,NO,,INT_673,,,
23,456.1209980969496,208.33841653408277,84.03154976243441,24.47884211800991,22.0,30.0,NO,115,221.5591706396872,216.7661665953051,250.32,1.77,216.7661665953051,251.13,1.86,193.3136856202765,225.54,1.62,3.5,NO,,INT_71,,,
24,2039.3682206625415,210.09076305570284,82.28872785918281,22.07362369407535,11.0,18.0,NO,18,112.01665153994666,111.7965853886069,94.26,2.44,111.7965853886069,94.26,2.44,84.63841325483088,55.08,2.33,3.5,NO,,INT_671,,,
25,2605.469804733241,223.86793779082927,81.7025515048812,21.196317357032957,15.0,22.0,NO,104,137.60018917772084,136.98649363552104,142.50,1.19,136.98649363552104,142.50,1.19,116.15103504207174,115.21,1.21,3.5,NO,,INT_4,,,
26,3002.793234285652,230.9493676675747,81.2916508899287,20.582555023113795,83.0,94.0,NO,103,1581.9257262599508,1535.961315298859,1668.65,7.07,1544.981221582077,1692.11,7.91,1545.4119849812548,1719.69,9.63,5.97586365819145,SI (Rank 1),I/239/hip_main,25337.0,81.2932321018,20.5837266364,6.75
27,708.2922072417998,253.38629465610956,83.82392295834246,24.051650070492855,13.0,21.0,NO,22,122.66468735803764,122.69950910147094,135.31,3.72,122.69950910147094,135.35,3.75,97.24944844753855,105.20,4.51,3.5,NO,,INT_651,,,
28,1751.802199244801,258.98124455964665,82.68155189562452,22.462305334444995,115.0,254.0,SI,115,3025.6935295090275,2850.5792245129987,2998.77,7.12,2865.71247117653,3046.05,7.28,2953.196562028618,3158.40,7.40,5.654587815550195,SI (Rank 1),I/239/hip_main,25806.0,82.6806152023,22.4622546563,6.29
29,2413.726568358948,265.9118520921552,81.9767221811595,21.44678882477488,20.0,29.0,NO,114,199.0905831173566,194.3431457947372,199.33,1.25,194.3431457947372,199.50,1.27,180.1913189617291,181.62,1.27,3.5,NO,,INT_17,,,
30,702.2528167707225,273.5692391932,83.86412047554678,24.04019155290221,182.0,254.0,SI,115,5507.529218096904,5245.975130167995,5241.07,8.64,5323.174766569897,5300.85,9.52,5592.795607045196,5539.87,11.57,7.344536677032833,SI (Rank 1),I/239/hip_main,26248.0,83.8630420877,24.0395887842,5.37
31,2247.731535389069,274.5351233546295,82.16943238186998,21.69125285071941,14.0,24.0,NO,115,132.9452036019909,130.54340641562865,150.11,1.41,130.54340641562865,150.11,1.41,106.769586932124,124.32,1.30,3.5,NO,,INT_24,,,
32,482.8305345681003,277.2868244074139,84.11603927155603,24.36800929566981,60.0,80.0,NO,115,868.7653999181764,796.7902472100758,854.45,4.44,805.9756210232583,874.55,6.12,794.3165090963458,857.56,6.72,4.986803693969061,NO,,INT_85,,,
33,1795.8582161779973,280.9446473229904,82.66967070238533,22.373090629692264,23.0,48.0,NO,115,284.81518766148565,277.9543037068911,295.10,1.36,277.9543037068911,295.65,1.42,262.8921744531636,278.10,1.42,3.5,NO,,INT_37,,,
34,2418.4784533212546,283.4828135537389,82.00039175584497,21.42192140288098,4.0,17.0,NO,81,73.40415319318831,75.96526532854381,99.80,1.39,75.96526532854381,99.80,1.39,18.13819221818435,67.95,1.64,3.5,NO,,INT_465,,,
35,1422.643509180312,285.56554801148707,83.08567848402528,22.935893165998653,15.0,32.0,NO,115,148.79620482891056,146.6348864542005,154.10,0.98,146.6348864542005,154.10,0.98,126.97292701338937,131.01,0.85,3.5,NO,,INT_49,,,
