# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:57:22.122
# DATE-END: 2025-01-20T21:57:23.181
# TSTART: 1737410242121.92
# TSTOP: 1737410243121.92
# DATE: 2025-01-20T21:57:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.170781012089
# DEC: 22.0159878940876
# EQUINOX: 2000.0
# CRVAL1: 84.170781012089
# CRVAL2: 22.0159878940876
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.0010330125068407
# CD1_2: 0.00150594349664325
# CD2_1: -0.00150578937258316
# CD2_2: -0.00103317584371109
# A_ORDER: 2
# A_0_2: -4.44537562550544e-08
# A_1_1: 1.48893315318093e-07
# A_2_0: -2.71736979663917e-07
# B_ORDER: 2
# B_0_2: -8.48010090227836e-09
# B_1_1: -2.44714237235804e-07
# B_2_0: 3.6253694902371e-07
# AP_ORDER: 2
# AP_0_0: 2.65146200133515e-06
# AP_0_1: -1.61250859088113e-07
# AP_0_2: 4.44528546633007e-08
# AP_1_0: 3.24705115448576e-07
# AP_1_1: -1.48889932672879e-07
# AP_2_0: 2.71731616407849e-07
# BP_ORDER: 2
# BP_0_0: -3.81771220592242e-06
# BP_0_1: 1.9624573404538e-07
# BP_0_2: 8.48089577582154e-09
# BP_1_0: -4.48220434880116e-07
# BP_1_1: 2.44709917903427e-07
# BP_2_0: -3.62529069419457e-07
# NOME_FILE: 20250120_215722.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
1,280.19932462976965,32.19349814138103,83.95608233850369,24.92536827349554,6.0,10.0,NO,12,82.19313163638697,81.54742138098622,100.30,7.69,81.54742138098622,100.30,7.69,32.479957974632995,52.17,9.90,3.5,NO,,INT_643,,,,81.55,100.30,7.69,3.5
2,119.00583594740972,42.47332030841808,84.15679542168229,25.15699459654752,10.0,12.0,NO,51,106.07899566768036,103.411058206042,110.79,2.30,103.411058206042,110.82,2.30,61.26737409261544,67.47,2.82,3.5,NO,,INT_585,,,,103.41,110.82,2.30,3.5
3,1676.692643325682,56.33426749829256,82.43395154025313,22.790709223278697,3.0,13.0,NO,107,53.44937358933454,55.85287396319359,79.82,1.07,55.85287396319359,79.82,1.07,18.57648078704498,37.68,1.27,3.5,NO,,INT_2,,,,55.85,79.82,1.07,3.5
4,2213.5805336352387,94.21955716585444,81.90919541403657,21.93709970269491,193.0,254.0,SI,92,7250.257129268154,6961.64503310591,7343.89,13.67,7010.743748671339,7460.33,15.92,7276.863059168243,7810.47,18.48,7.192327522360554,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88,7080.03,7552.23,16.41,7.54
5,349.4990823166048,101.74499692537913,83.99274726785903,24.749614037711897,27.0,28.0,NO,103,245.54433353888496,241.41658956691623,267.35,1.88,241.6846281468654,268.49,1.95,227.4467063636323,246.70,1.69,3.8080522188362793,NO,,INT_50,,,,241.68,268.49,1.95,3.81
6,2903.438869856343,101.50047999187986,81.17794791066596,20.88038554175429,14.0,15.0,NO,63,144.99752635101126,139.56063131459152,117.56,5.37,139.56063131459152,118.18,5.45,96.93327073422802,84.32,5.90,3.5,NO,,INT_620,,,,139.56,118.18,5.45,3.5
7,1550.5423558262198,107.47502100945236,82.65708978388984,22.930020442179924,4.0,20.0,NO,115,63.59223064322852,66.78437542226582,84.54,0.87,66.78437542226582,84.54,0.87,19.13522344404916,48.28,1.14,3.5,NO,,INT_15,,,,66.78,84.54,0.87,3.5
8,476.6148146084744,126.33379273728988,83.88930855414115,24.533081883735885,15.0,22.0,NO,113,149.8929567668241,149.4423536894636,177.86,1.48,149.4423536894636,178.01,1.50,126.03356676229495,152.27,1.48,3.5,NO,,INT_52,,,,149.44,178.01,1.50,3.5
9,1555.6632467010984,134.00945696039034,82.69507415896844,22.895263485012457,7.0,13.0,NO,115,79.0950837339499,81.20041263714482,92.01,0.84,81.20041263714482,92.01,0.84,50.66462437262556,59.50,0.93,3.5,NO,,INT_19,,,,81.2,92.01,0.84,3.5
10,621.4802662758703,149.7740144075694,83.76427233084559,24.29085434872804,83.0,163.0,NO,115,1774.2678244728295,1681.737780539113,1748.42,5.28,1688.3450623392223,1766.36,5.73,1709.1000308150676,1791.64,6.72,5.256983759342432,SI (Rank 1),I/239/hip_main,26201.0,83.7648740231,24.2907687512,6.82,1744.65,1797.70,5.52,6.01
