# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:59:44.289
# DATE-END: 2025-01-20T21:59:45.348
# TSTART: 1737410384288.56
# TSTOP: 1737410385288.56
# DATE: 2025-01-20T21:59:47
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1713519986228
# DEC: 22.0164907149168
# EQUINOX: 2000.0
# CRVAL1: 84.1713519986228
# CRVAL2: 22.0164907149168
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00106702388578804
# CD1_2: 0.00148208058944709
# CD2_1: -0.00148160076775314
# CD2_2: -0.00106721372384326
# A_ORDER: 2
# A_0_2: -4.11572832735883e-07
# A_1_1: -1.44505148090717e-08
# A_2_0: -1.8780277723964e-07
# B_ORDER: 2
# B_0_2: -9.63508177728235e-08
# B_1_1: -1.74470998366809e-07
# B_2_0: 2.09121046587689e-07
# AP_ORDER: 2
# AP_0_0: 2.15334986668481e-06
# AP_0_1: -7.70736127308903e-08
# AP_0_2: 4.1156778706901e-07
# AP_1_0: 2.11118450059907e-07
# AP_1_1: 1.44509928570954e-08
# AP_2_0: 1.87801276873031e-07
# BP_ORDER: 2
# BP_0_0: -2.14031528701734e-06
# BP_0_1: 7.39427341562397e-08
# BP_0_2: 9.63507215198031e-08
# BP_1_0: -2.15064197087014e-07
# BP_1_1: 1.74471895645287e-07
# BP_2_0: -2.09117145532295e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_215944.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,flusso_fisso_max_run,raggio_fisso_max_run,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,142.1778600332231,10.50411116185477,11.0,12.0,NO,106.96606683155512,,105.27711888417248,105.27711888417248,3.5,70.06392600675831,105.28,3.50,84.15671524480547,25.15735060895149,SI (Rank 1),II/389/ps1_dr2,1.3818084156949587e+17,84.15688918,25.15449484,14.221
2,2903.6089022020483,37.86536927924973,13.0,12.0,NO,129.21244812530745,,125.5908064705434,125.5908064705434,3.5,96.76466183242437,125.59,3.50,81.04782518335139,21.01091537528828,SI (Rank 1),II/389/ps1_dr2,1.332108104932434e+17,81.04963491,21.01079476,9.0894
2,2903.6089022020483,37.86536927924973,13.0,12.0,NO,129.21244812530745,,125.5908064705434,125.5908064705434,3.5,96.76466183242437,125.59,3.50,81.04782518335139,21.01091537528828,SI (Rank 2),II/389/ps1_dr2,1.3321081050546184e+17,81.05054455226,21.00942761469,12.336
2,2903.6089022020483,37.86536927924973,13.0,12.0,NO,129.21244812530745,,125.5908064705434,125.5908064705434,3.5,96.76466183242437,125.59,3.50,81.04782518335139,21.01091537528828,SI (Rank 3),II/389/ps1_dr2,1.3321081049033224e+17,81.04912442,21.01005789,12.6722
2,2903.6089022020483,37.86536927924973,13.0,12.0,NO,129.21244812530745,,125.5908064705434,125.5908064705434,3.5,96.76466183242437,125.59,3.50,81.04782518335139,21.01091537528828,SI (Rank 4),II/389/ps1_dr2,1.3321081050035358e+17,81.0497512,21.01097634,12.7704
3,1699.1921292327422,60.17567724859415,6.0,14.0,NO,70.34360937291753,,72.43903833043714,72.43903833043714,3.5,38.66429436001821,72.44,3.50,82.43464484571851,22.79066538910951,SI (Rank 1),II/389/ps1_dr2,1.3534082434927872e+17,82.43507272,22.79022534,11.494
3,1699.1921292327422,60.17567724859415,6.0,14.0,NO,70.34360937291753,,72.43903833043714,72.43903833043714,3.5,38.66429436001821,72.44,3.50,82.43464484571851,22.79066538910951,SI (Rank 2),II/389/ps1_dr2,1.3535082434454275e+17,82.43446892261,22.7935206519,14.6767
4,1414.7405534988384,65.36043740657517,23.0,39.0,NO,223.62332222323664,,212.6933378183778,212.6933378183778,3.5,197.47737367070425,258.72,5.33,82.76771381281549,23.20967237302977,SI (Rank 1),II/389/ps1_dr2,1.3585082768103187e+17,82.76830105,23.20950418,8.9439
4,1414.7405534988384,65.36043740657517,23.0,39.0,NO,223.62332222323664,,212.6933378183778,212.6933378183778,3.5,197.47737367070425,258.72,5.33,82.76771381281549,23.20967237302977,SI (Rank 2),II/389/ps1_dr2,1.3585082768634314e+17,82.76864436,23.21078231,13.6659
4,1414.7405534988384,65.36043740657517,23.0,39.0,NO,223.62332222323664,,212.6933378183778,212.6933378183778,3.5,197.47737367070425,258.72,5.33,82.76771381281549,23.20967237302977,SI (Rank 3),II/389/ps1_dr2,1.3585082767525184e+17,82.76723654,23.209526,14.2662
