# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:01:35.872
# DATE-END: 2025-01-20T22:01:36.931
# TSTART: 1737410495872.11
# TSTOP: 1737410496872.11
# DATE: 2025-01-20T22:01:38
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1706669467233
# DEC: 22.0163420352834
# EQUINOX: 2000.0
# CRVAL1: 84.1706669467233
# CRVAL2: 22.0163420352834
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00109604737347584
# CD1_2: 0.00146059380778976
# CD2_1: -0.00146054934239819
# CD2_2: -0.00109616862978361
# A_ORDER: 2
# A_0_2: 1.73362241319781e-08
# A_1_1: 1.72613995309251e-07
# A_2_0: -2.67457177726375e-07
# B_ORDER: 2
# B_0_2: 8.60013358395126e-08
# B_1_1: -2.03371470222658e-07
# B_2_0: 3.60296273691974e-07
# AP_ORDER: 2
# AP_0_0: 4.14454391085191e-06
# AP_0_1: -1.28647337808859e-07
# AP_0_2: -1.73370158722783e-08
# AP_1_0: 3.14010512184095e-07
# AP_1_1: -1.72609280405346e-07
# AP_2_0: 2.67448726766934e-07
# BP_ORDER: 2
# BP_0_0: -5.13805909676535e-06
# BP_0_1: 2.39644486259842e-07
# BP_0_2: -8.59999996091042e-08
# BP_1_0: -4.21083384000473e-07
# BP_1_1: 2.03363592155567e-07
# BP_2_0: -3.60285824526127e-07
# NOME_FILE_FITS: 20250120_220135.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_099.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_81.047__DEC_21.011,2922.340493164263,64.3501288028619,81.04748176767139,21.011120602799505,12.0,13.0,NO,28,113.30340390177686,108.73122183148608,115.54,3.89,108.73122183148608,115.54,3.89,85.48031801340748,77.00,4.97,3.5,1,99,SI (Rank 1),II/389/ps1_dr2,1.332108104932434e+17,81.04963491,21.01079476,9.0894,108.73,115.54,3.89,3.5
RA_81.047__DEC_21.011,2922.340493164263,64.3501288028619,81.04748176767139,21.011120602799505,12.0,13.0,NO,28,113.30340390177686,108.73122183148608,115.54,3.89,108.73122183148608,115.54,3.89,85.48031801340748,77.00,4.97,3.5,1,99,SI (Rank 2),II/389/ps1_dr2,1.3321081050546184e+17,81.05054455226,21.00942761469,12.336,108.73,115.54,3.89,3.5
RA_81.047__DEC_21.011,2922.340493164263,64.3501288028619,81.04748176767139,21.011120602799505,12.0,13.0,NO,28,113.30340390177686,108.73122183148608,115.54,3.89,108.73122183148608,115.54,3.89,85.48031801340748,77.00,4.97,3.5,1,99,SI (Rank 3),II/389/ps1_dr2,1.3321081049033224e+17,81.04912442,21.01005789,12.6722,108.73,115.54,3.89,3.5
RA_81.047__DEC_21.011,2922.340493164263,64.3501288028619,81.04748176767139,21.011120602799505,12.0,13.0,NO,28,113.30340390177686,108.73122183148608,115.54,3.89,108.73122183148608,115.54,3.89,85.48031801340748,77.00,4.97,3.5,1,99,SI (Rank 4),II/389/ps1_dr2,1.3321081050035358e+17,81.0497512,21.01097634,12.7704,108.73,115.54,3.89,3.5
RA_81.178__DEC_20.880,2941.523688893516,160.44186059674556,81.17770596753891,20.880295429630905,14.0,15.0,NO,55,142.82272918784776,138.60714906629835,148.23,2.82,138.60714906629835,149.05,2.87,102.92760317433674,117.72,3.12,3.5,1,99,SI (Rank 1),II/389/ps1_dr2,1.330508118010871e+17,81.17980065,20.88039458,9.0389,140.93,151.64,2.87,3.87
RA_81.292__DEC_20.583,3039.640180524636,303.3940472186621,81.29198465169989,20.582694679899365,84.0,98.0,NO,104,1515.9024659151637,1468.8297985011632,1591.07,7.27,1478.7749688561898,1604.25,7.77,1473.2110455591614,1605.26,8.53,5.965948350749492,1,99,SI (Rank 1),II/389/ps1_dr2,1.3270081293375078e+17,81.29323099,20.58370643,6.453,1497.57,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3039.640180524636,303.3940472186621,81.29198465169989,20.582694679899365,84.0,98.0,NO,103,1515.9024659151637,1468.8297985011632,1591.26,7.34,1478.7749688561898,1604.52,7.84,1473.2110455591614,1605.71,8.60,5.965948350749492,1,99,SI (Rank 2),II/389/ps1_dr2,1.3270081289714494e+17,81.28994724,20.5869675,12.3114,1497.59,1620.13,7.32,6.38
RA_81.292__DEC_20.583,3039.640180524636,303.3940472186621,81.29198465169989,20.582694679899365,84.0,98.0,NO,104,1515.9024659151637,1468.8297985011632,1591.07,7.27,1478.7749688561898,1604.25,7.77,1473.2110455591614,1605.26,8.53,5.965948350749492,1,99,SI (Rank 3),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086,1497.57,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3039.640180524636,303.3940472186621,81.29198465169989,20.582694679899365,84.0,98.0,NO,104,1515.9024659151637,1468.8297985011632,1591.07,7.27,1478.7749688561898,1604.25,7.77,1473.2110455591614,1605.26,8.53,5.965948350749492,1,99,SI (Rank 4),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486,1497.57,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3039.640180524636,303.3940472186621,81.29198465169989,20.582694679899365,84.0,98.0,NO,104,1515.9024659151637,1468.8297985011632,1591.07,7.27,1478.7749688561898,1604.25,7.77,1473.2110455591614,1605.26,8.53,5.965948350749492,1,99,SI (Rank 5),II/389/ps1_dr2,1.3270081294269011e+17,81.29417628,20.58289277,13.1611,1497.57,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3039.640180524636,303.3940472186621,81.29198465169989,20.582694679899365,84.0,98.0,NO,104,1515.9024659151637,1468.8297985011632,1591.07,7.27,1478.7749688561898,1604.25,7.77,1473.2110455591614,1605.26,8.53,5.965948350749492,1,99,SI (Rank 6),II/389/ps1_dr2,1.3270081292093142e+17,81.29195597,20.58408639,13.3859,1497.57,1619.93,7.25,6.37
RA_81.464__DEC_21.133,2743.223739170647,198.54830310042223,81.46390876989172,21.132620593777947,28.0,24.0,NO,82,264.3572985249561,259.09178454933937,268.88,2.26,259.9712920647058,270.11,2.31,248.1473313992558,251.31,2.22,3.953346529790396,1,99,SI (Rank 1),I/239/hip_main,25385.0,81.4653225298,21.1325115058,8.77,262.72,273.84,2.36,4.27
RA_81.464__DEC_21.133,2743.223739170647,198.54830310042223,81.46390876989172,21.132620593777947,28.0,24.0,NO,82,264.3572985249561,259.09178454933937,268.88,2.26,259.9712920647058,270.11,2.31,248.1473313992558,251.31,2.22,3.953346529790396,1,99,SI (Rank 2),II/389/ps1_dr2,1.3335081466134982e+17,81.46601453,21.13263068,13.9154,262.72,273.84,2.36,4.27
RA_81.464__DEC_21.133,2743.223739170647,198.54830310042223,81.46390876989172,21.132620593777947,28.0,24.0,NO,79,264.3572985249561,259.09178454933937,266.96,1.97,259.9712920647058,268.17,2.02,248.1473313992558,249.36,1.88,3.953346529790396,1,99,SI (Rank 3),II/389/ps1_dr2,1.3335081457515206e+17,81.45750563502,21.1262615312,14.9213,262.74,271.61,1.92,4.27
