# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:02:36.899
# DATE-END: 2025-01-20T22:02:37.960
# TSTART: 1737410556898.91
# TSTOP: 1737410557898.92
# DATE: 2025-01-20T22:02:39
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1714472687462
# DEC: 22.0164324498336
# EQUINOX: 2000.0
# CRVAL1: 84.1714472687462
# CRVAL2: 22.0164324498336
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00111207545916005
# CD1_2: 0.00144831174695545
# CD2_1: -0.00144816567629971
# CD2_2: -0.00111228541953931
# A_ORDER: 2
# A_0_2: 5.45923149781226e-08
# A_1_1: -1.77098953070562e-07
# A_2_0: -3.50179034045973e-08
# B_ORDER: 2
# B_0_2: -3.43437117148274e-07
# B_1_1: -5.43594971492422e-08
# B_2_0: 1.79596756520831e-07
# AP_ORDER: 2
# AP_0_0: -1.85756428335478e-07
# AP_0_1: 7.98155021828167e-09
# AP_0_2: -5.4592873451772e-08
# AP_1_0: -1.28974411700507e-08
# AP_1_1: 1.770962667056e-07
# AP_2_0: 3.50191531774355e-08
# BP_ORDER: 2
# BP_0_0: 4.10697514811413e-08
# BP_0_1: 4.92159975585574e-09
# BP_0_2: 3.43431261970492e-07
# BP_1_0: -1.46684336183881e-09
# BP_1_1: 5.43648452456758e-08
# BP_2_0: -1.79594471209041e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_220236.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,flusso_fisso_max_run,raggio_fisso_max_run,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,1829.1598310968136,10.099235239085193,8.0,16.0,NO,85.61904362637785,,86.99300519728564,86.99300519728564,3.5,62.05393125229756,86.99,3.50,82.22689491496571,22.70420903455191,SI (Rank 1),II/389/ps1_dr2,1.3524082228187526e+17,82.22791899,22.7039881,10.0417
1,1829.1598310968136,10.099235239085193,8.0,16.0,NO,85.61904362637785,,86.99300519728564,86.99300519728564,3.5,62.05393125229756,86.99,3.50,82.22689491496571,22.70420903455191,SI (Rank 2),II/389/ps1_dr2,1.352408222787655e+17,82.22771586,22.70441788,10.166
2,767.6834307120507,27.67977459077381,3.0,13.0,NO,59.61386837790932,,63.13707234306782,63.13707234306782,3.5,15.385238515466106,63.14,3.50,83.52676834571767,24.231424252637083,SI (Rank 1),II/389/ps1_dr2,1.3707083528493816e+17,83.52838122,24.23128293,11.6743
2,767.6834307120507,27.67977459077381,3.0,13.0,NO,59.61386837790932,,63.13707234306782,63.13707234306782,3.5,15.385238515466106,63.14,3.50,83.52676834571767,24.231424252637083,SI (Rank 2),II/389/ps1_dr2,1.370708352828578e+17,83.5283393,24.23119882,11.826
3,2278.5907776699178,28.368921458817137,13.0,16.0,NO,121.36319196103952,,121.18948887601236,121.18948887601236,3.5,95.94154042780468,121.19,3.50,81.72629372070946,22.02645510323674,SI (Rank 1),II/389/ps1_dr2,1.344308172774718e+17,81.72777241,22.02606388,11.0578
4,586.3285843971619,35.68760515210338,3.0,10.0,NO,68.68249123073093,,68.97960156271644,68.97960156271644,3.5,14.657352607421616,68.98,3.50,83.75984545605408,24.4855280654515,SI (Rank 1),II/389/ps1_dr2,1.373808376190019e+17,83.76191344,24.48442376,10.2284
4,586.3285843971619,35.68760515210338,3.0,10.0,NO,68.68249123073093,,68.97960156271644,68.97960156271644,3.5,14.657352607421616,68.98,3.50,83.75984545605408,24.4855280654515,SI (Rank 2),II/389/ps1_dr2,1.373808376212522e+17,83.76205791,24.48463112,10.359
4,586.3285843971619,35.68760515210338,3.0,10.0,NO,68.68249123073093,,68.97960156271644,68.97960156271644,3.5,14.657352607421616,68.98,3.50,83.75984545605408,24.4855280654515,SI (Rank 3),II/389/ps1_dr2,1.3738083762345294e+17,83.7622618,24.48512784,13.5571
4,586.3285843971619,35.68760515210338,3.0,10.0,NO,68.68249123073093,,68.97960156271644,68.97960156271644,3.5,14.657352607421616,68.98,3.50,83.75984545605408,24.4855280654515,SI (Rank 4),II/389/ps1_dr2,1.3738083761411197e+17,83.76147421,24.48471798,13.6726
4,586.3285843971619,35.68760515210338,3.0,10.0,NO,68.68249123073093,,68.97960156271644,68.97960156271644,3.5,14.657352607421616,68.98,3.50,83.75984545605408,24.4855280654515,SI (Rank 5),II/389/ps1_dr2,1.3738083762607197e+17,83.76266467,24.4844109,13.8157
