# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:04:38.956
# DATE-END: 2025-01-20T22:04:39.014
# TSTART: 1737410678955.65
# TSTOP: 1737410679955.66
# DATE: 2025-01-20T22:04:41
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1719115188106
# DEC: 22.018066669621
# EQUINOX: 2000.0
# CRVAL1: 84.1719115188106
# CRVAL2: 22.018066669621
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00114632210772465
# CD1_2: 0.00142177734102284
# CD2_1: -0.00142154608747959
# CD2_2: -0.00114614157163244
# A_ORDER: 2
# A_0_2: 1.05612806701806e-07
# A_1_1: -2.15423648699357e-08
# A_2_0: -4.46790158901224e-08
# B_ORDER: 2
# B_0_2: -7.70666843780897e-08
# B_1_1: -1.71502813558243e-07
# B_2_0: 3.2332016002046e-07
# AP_ORDER: 2
# AP_0_0: 9.66703885977675e-08
# AP_0_1: 4.97020461540062e-08
# AP_0_2: -1.05611781151875e-07
# AP_1_0: -2.04449862052832e-08
# AP_1_1: 2.15412778442754e-08
# AP_2_0: 4.46785602819268e-08
# BP_ORDER: 2
# BP_0_0: -1.14640303584916e-06
# BP_0_1: -2.62242767848763e-08
# BP_0_2: 7.70654814689566e-08
# BP_1_0: -8.4358161584867e-08
# BP_1_1: 1.71501729060846e-07
# BP_2_0: -3.23317049894858e-07
# NOME_FILE: 20250120_220438.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_108.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,425.0066720024682,13.36644623032366,83.99287386366267,24.749508226741813,25.0,20.0,NO,103,246.0344518224004,238.46928357991905,267.35,1.88,240.38598036377653,268.49,1.95,219.67238566813032,246.70,1.69,3.990957917472037,NO,,INT_50,,,
2,610.4963824247947,13.994015571236956,83.76060642493105,24.485273772792457,4.0,10.0,NO,69,68.00618277725054,71.6695898284608,81.99,1.22,71.6695898284608,81.99,1.22,27.11517026019799,32.92,1.52,3.5,NO,,INT_42,,,
3,1853.528886248839,17.430356226672785,82.22706297199697,22.70454566151332,12.0,15.0,NO,11,112.67589938613082,112.2922958539832,106.32,4.73,112.2922958539832,106.34,4.75,66.26428557004877,73.96,5.00,3.5,NO,,INT_687,,,
4,2485.8461135694606,25.483340592501328,81.47299115139882,21.785928755295664,30.0,33.0,NO,17,322.4977100787109,312.50385543904184,207.18,27.56,313.1678803757466,207.65,27.67,300.68772937774884,183.38,29.60,3.854288584057766,NO,,INT_695,,,
5,549.8616997280537,47.19309994373547,83.88870178116538,24.533594414812804,19.0,24.0,NO,113,186.7496489966305,182.92716921325655,177.86,1.48,182.92716921325655,178.01,1.50,153.75697895049288,152.27,1.48,3.5,NO,,INT_52,,,
6,2302.6000990760704,46.3974577800774,81.72646398614404,22.026363442015864,13.0,16.0,NO,27,118.19211131561438,117.22762504168726,287.16,53.82,117.22762504168726,289.61,54.68,96.63148279506724,260.22,54.22,3.5,NO,,INT_683,,,
7,1467.3230468894626,60.32803557362171,82.7675174440545,23.209893076589942,21.0,33.0,NO,145,224.61228354828268,212.21968176225903,206.35,3.95,212.21968176225903,208.12,4.07,192.4484860418897,183.07,5.29,3.5,NO,,INT_450,,,
8,227.85039358378208,60.128229327800405,84.31507146527075,24.97554971852092,8.0,13.0,NO,81,90.88359895506942,90.2950014365438,94.24,1.18,90.2950014365438,94.24,1.18,40.42837587037222,43.96,1.62,3.5,NO,,INT_76,,,
9,1462.6825892020497,59.33289765203144,82.77168430479088,23.21766293406795,3.0,10.0,NO,22,58.25995870231256,72.29567772400873,86.50,2.03,72.29567772400873,86.50,2.03,15.768339678306791,33.89,2.27,3.5,NO,,INT_654,,,
10,1751.9595538688352,70.50597427095465,82.43380154982066,22.790473858453563,6.0,16.0,NO,107,69.88340138796183,70.91220033838383,79.82,1.07,70.91220033838383,79.82,1.07,39.830675348148326,37.68,1.27,3.5,NO,,INT_2,,,
