# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:14:18.327
# DATE-END: 2025-01-20T22:14:19.386
# TSTART: 1737411258326.8
# TSTOP: 1737411259326.81
# DATE: 2025-01-20T22:14:21
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0908344793243
# DEC: 22.016126627874
# EQUINOX: 2000.0
# CRVAL1: 83.0908344793243
# CRVAL2: 22.016126627874
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00143104215755784
# CD1_2: 0.00113389493565002
# CD2_1: -0.00113389507146226
# CD2_2: -0.00143205211720197
# A_ORDER: 2
# A_0_2: -7.07476351804854e-07
# A_1_1: 2.96345355333766e-07
# A_2_0: -4.80142086217027e-08
# B_ORDER: 2
# B_0_2: 9.87242034770255e-08
# B_1_1: -1.20609007776078e-08
# B_2_0: 1.36660545379785e-07
# AP_ORDER: 2
# AP_0_0: -8.54101640050213e-07
# AP_0_1: -4.29408036750984e-07
# AP_0_2: 7.07480539175672e-07
# AP_1_0: 1.41490410283007e-07
# AP_1_1: -2.96341928618159e-07
# AP_2_0: 4.80139843979152e-08
# BP_ORDER: 2
# BP_0_0: -5.9071824602223e-07
# BP_0_1: 1.08420161377653e-07
# BP_0_2: -9.87221742725725e-08
# BP_1_0: -9.58411204400616e-08
# BP_1_1: 1.2060742292673e-08
# BP_2_0: -1.36660632143263e-07
# NOME_FILE_FITS: 20250120_221418.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_018.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_79.630__DEC_21.793,2980.5430765923456,8.421936995888569,79.6296373809662,21.79344541101414,75.0,50.0,NO,12,1069.5208760923729,993.9738848435968,951.80,13.81,1005.3435578315006,959.17,15.06,966.7560443523708,933.80,14.38,6.271682199589327,2,18,SI (Rank 1),I/239/hip_main,24761.0,79.6317827898,21.7924064272,7.3,1010.38,971.90,13.60,6.37
RA_79.630__DEC_21.793,2980.5430765923456,8.421936995888569,79.6296373809662,21.79344541101414,75.0,50.0,NO,12,1069.5208760923729,993.9738848435968,951.80,13.81,1005.3435578315006,959.17,15.06,966.7560443523708,933.80,14.38,6.271682199589327,2,18,SI (Rank 2),II/389/ps1_dr2,1.3415079632763078e+17,79.63257975,21.79166467,12.84,1010.38,971.90,13.60,6.37
RA_79.630__DEC_21.793,2980.5430765923456,8.421936995888569,79.6296373809662,21.79344541101414,75.0,50.0,NO,12,1069.5208760923729,993.9738848435968,951.80,13.81,1005.3435578315006,959.17,15.06,966.7560443523708,933.80,14.38,6.271682199589327,2,18,SI (Rank 3),II/389/ps1_dr2,1.341507963079715e+17,79.6306622,21.79252126,13.4613,1010.38,971.90,13.60,6.37
RA_79.785__DEC_21.709,2947.965947678561,95.337072369753,79.78721502017574,21.709087236037416,18.0,13.0,NO,19,192.3951704612123,159.88854248344327,122.30,4.53,161.06936126287664,122.98,4.76,124.76811238305127,78.85,5.84,3.722408782386472,2,18,SI (Rank 1),II/389/ps1_dr2,1.3404079789311958e+17,79.789154,21.70752,9.159,161.94,125.24,4.52,3.76
RA_79.785__DEC_21.709,2947.965947678561,95.337072369753,79.78721502017574,21.709087236037416,18.0,13.0,NO,19,192.3951704612123,159.88854248344327,122.30,4.53,161.06936126287664,122.98,4.76,124.76811238305127,78.85,5.84,3.722408782386472,2,18,SI (Rank 2),II/389/ps1_dr2,1.3404079789013938e+17,79.7890271,21.70743558,9.3915,161.94,125.24,4.52,3.76
RA_79.785__DEC_21.709,2947.965947678561,95.337072369753,79.78721502017574,21.709087236037416,18.0,13.0,NO,18,192.3951704612123,159.88854248344327,122.17,4.79,161.06936126287664,122.89,5.04,124.76811238305127,79.44,6.14,3.722408782386472,2,18,SI (Rank 3),II/389/ps1_dr2,1.3404079789652947e+17,79.78960678,21.70731899,12.7269,162.37,125.21,4.79,3.78
RA_79.785__DEC_21.709,2947.965947678561,95.337072369753,79.78721502017574,21.709087236037416,18.0,13.0,NO,19,192.3951704612123,159.88854248344327,122.30,4.53,161.06936126287664,122.98,4.76,124.76811238305127,78.85,5.84,3.722408782386472,2,18,SI (Rank 4),II/389/ps1_dr2,1.3404079788471933e+17,79.78862551,21.70733176,14.3523,161.94,125.24,4.52,3.76
RA_79.829__DEC_21.752,2915.3340332126463,91.32873009899076,79.8314428703383,21.7526589456718,3.0,7.0,NO,2,94.40649801319792,91.25828747896942,90.68,0.58,91.25828747896942,90.68,0.58,10.652025294822211,10.31,0.35,3.5,2,18,SI (Rank 1),II/389/ps1_dr2,1.3410079832429174e+17,79.83238147,21.75089195,10.5077,91.26,90.69,0.58,3.5
RA_79.829__DEC_21.752,2915.3340332126463,91.32873009899076,79.8314428703383,21.7526589456718,3.0,7.0,NO,2,94.40649801319792,91.25828747896942,90.68,0.58,91.25828747896942,90.68,0.58,10.652025294822211,10.31,0.35,3.5,2,18,SI (Rank 2),II/389/ps1_dr2,1.3410079832084142e+17,79.83199182,21.75037683,10.8264,91.26,90.69,0.58,3.5
RA_79.906__DEC_21.587,2944.0829322468844,186.21227026344016,79.90631573350889,21.585671683323955,17.0,16.0,NO,45,179.0062076340679,148.27981368420342,146.58,2.94,148.4107775009618,147.42,3.09,116.08372386198408,110.23,3.27,3.508632017675181,2,18,SI (Rank 1),II/389/ps1_dr2,1.339007990663523e+17,79.90661686,21.5845955,10.487,151.68,150.94,3.06,3.77
RA_79.906__DEC_21.587,2944.0829322468844,186.21227026344016,79.90631573350889,21.585671683323955,17.0,16.0,NO,45,179.0062076340679,148.27981368420342,146.58,2.94,148.4107775009618,147.42,3.09,116.08372386198408,110.23,3.27,3.508632017675181,2,18,SI (Rank 2),II/389/ps1_dr2,1.3390079906424189e+17,79.90653608,21.58455248,11.704,151.68,150.94,3.06,3.77
RA_79.906__DEC_21.587,2944.0829322468844,186.21227026344016,79.90631573350889,21.585671683323955,17.0,16.0,NO,42,179.0062076340679,148.27981368420342,145.96,3.13,148.4107775009618,146.78,3.30,116.08372386198408,109.49,3.47,3.508632017675181,2,18,SI (Rank 3),II/389/ps1_dr2,1.3390079907025203e+17,79.90693672,21.58459732,12.816,151.75,150.40,3.27,3.78
RA_80.020__DEC_21.153,3049.9360513658085,406.7423349624224,80.0210088857584,21.15215720801288,20.0,18.0,NO,28,238.5978593985626,175.0882727718584,187.57,3.50,177.55009098591816,190.16,3.61,145.8715549311499,154.10,3.90,3.701869687295732,2,18,SI (Rank 1),II/389/ps1_dr2,1.3338080022393216e+17,80.02253296,21.15154469,8.558,188.04,195.12,3.29,4.1
RA_80.020__DEC_21.153,3049.9360513658085,406.7423349624224,80.0210088857584,21.15215720801288,20.0,18.0,NO,28,238.5978593985626,175.0882727718584,187.57,3.50,177.55009098591816,190.16,3.61,145.8715549311499,154.10,3.90,3.701869687295732,2,18,SI (Rank 2),II/389/ps1_dr2,1.3338080022716222e+17,80.02255659,21.15158773,9.305,188.04,195.12,3.29,4.1
RA_80.149__DEC_21.080,3024.488743398033,479.5158963296051,80.14957040381182,21.07907462993673,4.0,9.0,NO,25,90.63371996514871,83.4712694521158,84.06,1.04,83.4712694521158,84.06,1.04,11.20095332071522,21.04,1.90,3.5,2,18,SI (Rank 1),II/389/ps1_dr2,1.3329080151379448e+17,80.15121634,21.07842576,10.8712,83.47,84.06,1.04,3.5
RA_80.149__DEC_21.080,3024.488743398033,479.5158963296051,80.14957040381182,21.07907462993673,4.0,9.0,NO,23,90.63371996514871,83.4712694521158,84.33,1.12,83.4712694521158,84.33,1.12,11.20095332071522,21.05,2.02,3.5,2,18,SI (Rank 2),II/389/ps1_dr2,1.3329080151480406e+17,80.15155915,21.07802442,11.0376,83.47,84.33,1.12,3.5
RA_80.150__DEC_21.552,2859.6419722441115,279.8889980119099,80.15031706096467,21.5516470164394,9.0,14.0,NO,63,130.999567966445,108.6927260413442,87.66,1.45,108.6927260413442,87.66,1.45,57.410076637093134,27.64,1.73,3.5,2,18,SI (Rank 1),II/389/ps1_dr2,1.338608014951502e+17,80.14977951,21.5498968,11.7693,108.69,87.66,1.45,3.5
RA_80.150__DEC_21.552,2859.6419722441115,279.8889980119099,80.15031706096467,21.5516470164394,9.0,14.0,NO,64,130.999567966445,108.6927260413442,87.60,1.43,108.6927260413442,87.60,1.43,57.410076637093134,27.70,1.70,3.5,2,18,SI (Rank 2),II/389/ps1_dr2,1.3386080150082093e+17,80.14998839,21.55006801,12.515,108.69,87.60,1.43,3.5
RA_80.150__DEC_21.552,2859.6419722441115,279.8889980119099,80.15031706096467,21.5516470164394,9.0,14.0,NO,64,130.999567966445,108.6927260413442,87.60,1.43,108.6927260413442,87.60,1.43,57.410076637093134,27.70,1.70,3.5,2,18,SI (Rank 3),II/389/ps1_dr2,1.3386080149885064e+17,80.14996924,21.55005665,12.597,108.69,87.60,1.43,3.5
RA_80.154__DEC_20.963,3063.3899343871267,530.6472263312703,80.15438882344702,20.96190344271226,26.0,22.0,NO,49,281.2691144320804,238.85443548016949,239.39,2.92,242.47405574845445,244.71,3.14,202.1211711732944,212.73,2.85,4.179373373846886,2,18,SI (Rank 1),II/389/ps1_dr2,1.331508015495548e+17,80.154878,20.961847,9.857,246.95,253.57,2.49,4.4
RA_80.154__DEC_20.963,3063.3899343871267,530.6472263312703,80.15438882344702,20.96190344271226,26.0,22.0,NO,49,281.2691144320804,238.85443548016949,239.39,2.92,242.47405574845445,244.71,3.14,202.1211711732944,212.73,2.85,4.179373373846886,2,18,SI (Rank 2),II/389/ps1_dr2,1.3315080154823437e+17,80.15493865,20.96174985,10.5492,246.95,253.57,2.49,4.4
RA_80.154__DEC_20.963,3063.3899343871267,530.6472263312703,80.15438882344702,20.96190344271226,26.0,22.0,NO,51,281.2691144320804,238.85443548016949,239.52,2.80,242.47405574845445,244.99,3.01,202.1211711732944,213.15,2.75,4.179373373846886,2,18,SI (Rank 3),II/389/ps1_dr2,1.3315080154388456e+17,80.15457634,20.96179317,13.578,246.98,253.68,2.40,4.4
RA_80.461__DEC_20.935,2951.1591777702647,642.328583086648,80.4615711521613,20.93416740146176,17.0,16.0,NO,115,171.98252254128568,145.44267195282805,149.91,1.46,145.44267195282805,150.06,1.49,114.68259385799216,116.20,1.54,3.5,2,18,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,147.74,151.50,1.49,3.62
RA_80.461__DEC_20.935,2951.1591777702647,642.328583086648,80.4615711521613,20.93416740146176,17.0,16.0,NO,116,171.98252254128568,145.44267195282805,150.09,1.46,145.44267195282805,150.24,1.48,114.68259385799216,116.39,1.54,3.5,2,18,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,147.73,151.67,1.48,3.61
RA_80.543__DEC_20.936,2918.262242224057,668.6023035227656,80.54363936325632,20.935066826487056,8.0,10.0,NO,114,123.34583230377746,105.9907777006325,95.31,1.39,105.9907777006325,95.32,1.39,59.74481270833193,46.01,1.70,3.5,2,18,SI (Rank 1),II/389/ps1_dr2,1.331208054426822e+17,80.54427752,20.93477877,9.862,105.99,95.21,1.36,3.5
RA_80.543__DEC_20.936,2918.262242224057,668.6023035227656,80.54363936325632,20.935066826487056,8.0,10.0,NO,115,123.34583230377746,105.9907777006325,95.31,1.37,105.9907777006325,95.32,1.38,59.74481270833193,45.98,1.69,3.5,2,18,SI (Rank 2),II/389/ps1_dr2,1.3312080543760206e+17,80.54391048,20.93457176,10.9438,105.99,95.21,1.35,3.5
RA_80.562__DEC_21.216,2813.4974182632304,555.6161622203526,80.56207124087852,21.215792963981087,38.0,29.0,NO,116,457.213063988006,378.6683633865417,299.18,2.77,380.2734717201659,301.14,2.86,333.8860395728784,265.21,2.42,4.4833677339288585,2,18,SI (Rank 1),II/389/ps1_dr2,1.33450805614218e+17,80.5613988,21.21475524,10.35,376.37,312.14,2.38,4.37
RA_80.562__DEC_21.216,2813.4974182632304,555.6161622203526,80.56207124087852,21.215792963981087,38.0,29.0,NO,116,457.213063988006,378.6683633865417,299.18,2.77,380.2734717201659,301.14,2.86,333.8860395728784,265.21,2.42,4.4833677339288585,2,18,SI (Rank 2),II/389/ps1_dr2,1.3345080560996792e+17,80.56089449,21.21484457,11.4147,376.37,312.14,2.38,4.37
RA_80.633__DEC_22.173,2453.3609097288136,173.46696781606022,80.63396247113236,22.17227834717566,26.0,23.0,NO,149,261.62040617018266,224.18955663074627,205.29,1.41,224.8569804898026,205.63,1.45,206.6345207057472,182.59,1.55,3.613001950105682,2,18,SI (Rank 1),II/389/ps1_dr2,1.3460080633080562e+17,80.63320209,22.17082104,9.338,228.32,209.31,1.40,3.78
RA_80.633__DEC_22.173,2453.3609097288136,173.46696781606022,80.63396247113236,22.17227834717566,26.0,23.0,NO,136,261.62040617018266,224.18955663074627,205.54,1.58,224.8569804898026,205.92,1.63,206.6345207057472,183.30,1.71,3.613001950105682,2,18,SI (Rank 2),II/389/ps1_dr2,1.3460080632849502e+17,80.63271842,22.17042241,9.3438,228.39,209.48,1.59,3.78
RA_80.633__DEC_22.173,2453.3609097288136,173.46696781606022,80.63396247113236,22.17227834717566,26.0,23.0,NO,153,261.62040617018266,224.18955663074627,204.94,1.41,224.8569804898026,205.29,1.45,206.6345207057472,182.22,1.53,3.613001950105682,2,18,SI (Rank 3),II/389/ps1_dr2,1.3460080633271594e+17,80.63341688,22.17124147,9.4743,228.39,208.93,1.41,3.78
