# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:29:52.876
# DATE-END: 2025-01-20T22:29:53.934
# TSTART: 1737412192875.86
# TSTOP: 1737412193875.86
# DATE: 2025-01-20T22:29:56
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0908326784777
# DEC: 22.016340529107
# EQUINOX: 2000.0
# CRVAL1: 83.0908326784777
# CRVAL2: 22.016340529107
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00176809455960696
# CD1_2: 0.000455900598202811
# CD2_1: -0.000455499980358788
# CD2_2: -0.00176866913704144
# A_ORDER: 2
# A_0_2: -6.10223024581385e-08
# A_1_1: 3.5091774337887e-07
# A_2_0: -5.12120956242717e-09
# B_ORDER: 2
# B_0_2: 1.85896725219297e-07
# B_1_1: 3.33552475477149e-07
# B_2_0: -1.19465690391283e-08
# AP_ORDER: 2
# AP_0_0: 7.67641152177312e-07
# AP_0_1: 6.50010188608445e-08
# AP_0_2: 6.10223426119983e-08
# AP_1_0: 4.83325452918718e-08
# AP_1_1: -3.50921538567848e-07
# AP_2_0: 5.12048790345396e-09
# BP_ORDER: 2
# BP_0_0: 1.49302761431325e-06
# BP_0_1: 1.12715482100992e-07
# BP_0_2: -1.85899748491208e-07
# BP_1_0: 1.0620604708243e-07
# BP_1_1: -3.33558383285597e-07
# BP_2_0: 1.19459667533396e-08
# NOME_FILE_FITS: 20250120_222952.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_064.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.461__DEC_20.935,2983.17917324722,1249.599166158429,80.46105214561582,20.934557318034305,17.0,21.0,NO,115,152.0382882918944,146.41000768607145,149.91,1.46,146.41000768607145,150.06,1.49,114.2742173016334,116.20,1.54,3.5,2,64,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,147.74,151.50,1.49,3.62
RA_80.461__DEC_20.935,2983.17917324722,1249.599166158429,80.46105214561582,20.934557318034305,17.0,21.0,NO,116,152.0382882918944,146.41000768607145,150.09,1.46,146.41000768607145,150.24,1.48,114.2742173016334,116.39,1.54,3.5,2,64,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,147.74,151.67,1.48,3.61
RA_80.494__DEC_22.956,2672.729621064709,186.7012888705759,80.49381827503339,22.95541990853977,33.0,30.0,NO,72,343.2245022542743,336.7386475806437,309.04,3.01,337.6555243331697,310.34,3.01,322.56623746497706,282.75,2.81,4.185775581096582,2,64,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,337.71,315.89,2.75,4.19
RA_80.494__DEC_22.956,2672.729621064709,186.7012888705759,80.49381827503339,22.95541990853977,33.0,30.0,NO,59,343.2245022542743,336.7386475806437,309.04,3.01,337.6555243331697,310.34,3.01,322.56623746497706,282.75,2.81,4.185775581096582,2,64,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,337.71,315.89,2.75,4.19
RA_80.494__DEC_22.956,2672.729621064709,186.7012888705759,80.49381827503339,22.95541990853977,33.0,30.0,NO,67,343.2245022542743,336.7386475806437,309.73,2.52,337.6555243331697,310.91,2.51,322.56623746497706,282.43,2.32,4.185775581096582,2,64,SI (Rank 3),II/389/ps1_dr2,1.3554080495605722e+17,80.4955215,22.95561822,13.1194,337.66,316.22,2.28,4.19
RA_80.494__DEC_22.956,2672.729621064709,186.7012888705759,80.49381827503339,22.95541990853977,33.0,30.0,NO,78,343.2245022542743,336.7386475806437,309.67,3.01,337.6555243331697,310.95,3.00,322.56623746497706,282.99,2.76,4.185775581096582,2,64,SI (Rank 4),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,337.7,316.47,2.75,4.19
RA_80.539__DEC_20.125,3062.4049762984805,1687.8765068031255,80.53910223273725,20.12500556530348,13.0,15.0,NO,21,140.68071866270856,133.6816782463384,151.25,3.44,133.6816782463384,151.97,3.61,90.80626757917815,116.82,4.45,3.5,2,64,SI (Rank 1),II/389/ps1_dr2,1.3215080542017053e+17,80.541995,20.124842,10.3941,136.83,154.68,3.38,3.78
RA_80.539__DEC_20.125,3062.4049762984805,1687.8765068031255,80.53910223273725,20.12500556530348,13.0,15.0,NO,21,140.68071866270856,133.6816782463384,151.25,3.44,133.6816782463384,151.97,3.61,90.80626757917815,116.82,4.45,3.5,2,64,SI (Rank 2),II/389/ps1_dr2,1.321508054109224e+17,80.54109404,20.12658347,13.8114,136.83,154.68,3.38,3.78
RA_80.539__DEC_20.125,3062.4049762984805,1687.8765068031255,80.53910223273725,20.12500556530348,13.0,15.0,NO,22,140.68071866270856,133.6816782463384,151.80,3.33,133.6816782463384,152.72,3.52,90.80626757917815,117.77,4.35,3.5,2,64,SI (Rank 3),II/389/ps1_dr2,1.3214080541393997e+17,80.54140035,20.12460831,14.6373,138.05,157.17,3.36,3.91
RA_80.543__DEC_20.936,2942.498332972363,1260.4700962082056,80.54320878174332,20.935091934707884,4.0,11.0,NO,114,78.09772372399813,77.98041834979571,95.31,1.39,77.98041834979571,95.32,1.39,12.327910640489746,46.01,1.70,3.5,2,64,SI (Rank 1),II/389/ps1_dr2,1.331208054426822e+17,80.54427752,20.93477877,9.862,77.98,95.21,1.36,3.5
