# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:31:14.479
# DATE-END: 2025-01-20T22:31:15.538
# TSTART: 1737412274478.7
# TSTOP: 1737412275478.7
# DATE: 2025-01-20T22:31:17
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0906026365509
# DEC: 22.0161382923376
# EQUINOX: 2000.0
# CRVAL1: 83.0906026365509
# CRVAL2: 22.0161382923376
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00178695255152271
# CD1_2: 0.000375645009096243
# CD2_1: -0.000375109721558173
# CD2_2: -0.00178757751943111
# A_ORDER: 2
# A_0_2: -1.70886715253914e-07
# A_1_1: 4.22602120274955e-07
# A_2_0: -9.56695950561113e-08
# B_ORDER: 2
# B_0_2: 2.14009817345587e-07
# B_1_1: 3.35178248776123e-07
# B_2_0: -6.06059458384337e-08
# AP_ORDER: 2
# AP_0_0: 1.72921588455684e-08
# AP_0_1: -6.18528097524493e-08
# AP_0_2: 1.70888643130069e-07
# AP_1_0: 5.78029016775086e-08
# AP_1_1: -4.22606095317805e-07
# AP_2_0: 9.56694797539633e-08
# BP_ORDER: 2
# BP_0_0: 1.39179235135363e-06
# BP_0_1: 2.51610003790424e-08
# BP_0_2: -2.14014201537342e-07
# BP_1_0: 1.25581821113584e-07
# BP_1_1: -3.3518472132688e-07
# BP_2_0: 6.06061983880581e-08
# NOME_FILE_FITS: 20250120_223114.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_068.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.451__DEC_23.290,2689.3134529355343,57.34366343289159,80.45275215745929,23.286703366793294,3.0,10.0,NO,43,71.68317285668815,72.52206753874631,84.36,1.15,72.52206753874631,84.36,1.15,14.862572736606468,27.55,1.90,3.5,2,68,SI (Rank 1),I/239/hip_main,25051.0,80.453950214,23.2835172983,10.04,72.52,84.36,1.15,3.5
RA_80.451__DEC_23.290,2689.3134529355343,57.34366343289159,80.45275215745929,23.286703366793294,3.0,10.0,NO,43,71.68317285668815,72.52206753874631,84.36,1.15,72.52206753874631,84.36,1.15,14.862572736606468,27.55,1.90,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.3594080454200088e+17,80.45419118,23.28367234,10.4035,72.52,84.36,1.15,3.5
RA_80.461DEC20.935,2971.4560706956186,1314.7519466399988,80.46091596346352,20.934619172395728,14.0,16.0,NO,114,134.9854972351716,130.06645015036517,150.09,1.46,130.06645015036517,150.24,1.48,99.62649875808177,116.39,1.54,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,131.12,151.67,1.48,3.61
RA_80.461DEC20.935,2971.4560706956186,1314.7519466399988,80.46091596346352,20.934619172395728,14.0,16.0,NO,114,134.9854972351716,130.06645015036517,150.09,1.46,130.06645015036517,150.24,1.48,99.62649875808177,116.39,1.54,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,131.12,151.67,1.48,3.61
RA_80.461DEC20.935,2971.4560706956186,1314.7519466399988,80.46091596346352,20.934619172395728,14.0,16.0,NO,67,134.9854972351716,130.06645015036517,148.75,2.04,130.06645015036517,148.97,2.10,99.62649875808177,115.25,2.20,3.5,2,68,SI (Rank 3),II/389/ps1_dr2,1.3312080453327894e+17,80.45333587447,20.94033238424,14.5353,131.51,150.75,2.08,3.66
RA_80.494__DEC_22.956,2709.375067424436,238.93684809822244,80.49378827806474,22.955573359163825,30.0,35.0,NO,67,320.92356427086827,296.7925475317664,309.81,2.34,297.7836754465717,310.97,2.32,283.1180160900464,282.79,2.12,3.767809446971953,2,68,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,307.23,316.09,2.13,4.18
RA_80.494__DEC_22.956,2709.375067424436,238.93684809822244,80.49378827806474,22.955573359163825,30.0,35.0,NO,67,320.92356427086827,296.7925475317664,309.81,2.34,297.7836754465717,310.97,2.32,283.1180160900464,282.79,2.12,3.767809446971953,2,68,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,307.23,316.09,2.13,4.18
RA_80.494__DEC_22.956,2709.375067424436,238.93684809822244,80.49378827806474,22.955573359163825,30.0,35.0,NO,67,320.92356427086827,296.7925475317664,309.81,2.34,297.7836754465717,310.97,2.32,283.1180160900464,282.79,2.12,3.767809446971953,2,68,SI (Rank 3),II/389/ps1_dr2,1.3554080495605722e+17,80.4955215,22.95561822,13.1194,307.23,316.09,2.13,4.18
RA_80.494__DEC_22.956,2709.375067424436,238.93684809822244,80.49378827806474,22.955573359163825,30.0,35.0,NO,67,320.92356427086827,296.7925475317664,309.81,2.34,297.7836754465717,310.97,2.32,283.1180160900464,282.79,2.12,3.767809446971953,2,68,SI (Rank 4),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,307.23,316.09,2.13,4.18
RA_80.494__DEC_22.956,2709.375067424436,238.93684809822244,80.49378827806474,22.955573359163825,30.0,35.0,NO,52,320.92356427086827,296.7925475317664,308.46,2.66,297.7836754465717,309.75,2.66,283.1180160900464,281.56,2.53,3.767809446971953,2,68,SI (Rank 5),II/389/ps1_dr2,1.3553080497395885e+17,80.49740861252,22.94857047003,14.984,307.4,315.31,2.43,4.19
RA_80.539__DEC_20.125,3030.560903479714,1756.3521652423212,80.53956067831075,20.12476064286177,11.0,11.0,NO,22,120.20696867241897,112.90248953008634,151.80,3.33,112.90248953008634,152.72,3.52,65.37804748992971,117.77,4.35,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.3215080542017053e+17,80.541995,20.124842,10.3941,116.44,157.17,3.36,3.91
RA_80.539__DEC_20.125,3030.560903479714,1756.3521652423212,80.53956067831075,20.12476064286177,11.0,11.0,NO,22,120.20696867241897,112.90248953008634,151.80,3.33,112.90248953008634,152.72,3.52,65.37804748992971,117.77,4.35,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.321508054109224e+17,80.54109404,20.12658347,13.8114,116.44,157.17,3.36,3.91
RA_80.539__DEC_20.125,3030.560903479714,1756.3521652423212,80.53956067831075,20.12476064286177,11.0,11.0,NO,22,120.20696867241897,112.90248953008634,151.80,3.33,112.90248953008634,152.72,3.52,65.37804748992971,117.77,4.35,3.5,2,68,SI (Rank 3),II/389/ps1_dr2,1.3214080541393997e+17,80.54140035,20.12460831,14.6373,116.44,157.17,3.36,3.91
RA_80.543DEC20.936,2930.4841857123693,1323.5081362061246,80.54264588162854,20.93555073023008,4.0,12.0,NO,113,70.71157817326585,70.955783865867,95.31,1.37,70.955783865867,95.32,1.38,13.661482530413045,45.98,1.69,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.331208054426822e+17,80.54427752,20.93477877,9.862,70.96,95.21,1.35,3.5
RA_80.543DEC20.936,2930.4841857123693,1323.5081362061246,80.54264588162854,20.93555073023008,4.0,12.0,NO,113,70.71157817326585,70.955783865867,95.31,1.37,70.955783865867,95.32,1.38,13.661482530413045,45.98,1.69,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.3312080543760206e+17,80.54391048,20.93457176,10.9438,70.96,95.21,1.35,3.5
RA_80.558__DEC_19.832,3057.006546179172,1915.12361993364,80.55784273184474,19.831603674572392,29.0,18.0,NO,8,283.46652090784534,275.7925451708888,305.87,7.76,278.9462668946159,310.52,8.22,251.43701201164765,279.94,8.07,4.575004743330391,2,68,SI (Rank 1),I/239/hip_main,25086.0,80.5607356633,19.8342188797,8.58,281.66,314.62,7.80,4.89
RA_80.562DEC21.216,2887.101567949079,1175.5477008503894,80.56121757784699,21.216479236336,27.0,30.0,NO,114,295.6807002631029,264.9494992852995,299.18,2.77,265.39873345202267,301.14,2.86,231.8253720660984,265.21,2.42,3.666020202650513,2,68,SI (Rank 1),II/389/ps1_dr2,1.33450805614218e+17,80.5613988,21.21475524,10.35,282.06,312.14,2.38,4.37
RA_80.562DEC21.216,2887.101567949079,1175.5477008503894,80.56121757784699,21.216479236336,27.0,30.0,NO,114,295.6807002631029,264.9494992852995,299.18,2.77,265.39873345202267,301.14,2.86,231.8253720660984,265.21,2.42,3.666020202650513,2,68,SI (Rank 2),II/389/ps1_dr2,1.3345080560996792e+17,80.56089449,21.21484457,11.4147,282.06,312.14,2.38,4.37
RA_80.603__DEC_20.057,3006.8105781922545,1799.819684030593,80.60318032699598,20.05693177871369,6.0,9.0,NO,22,94.45770735151682,88.8355387977716,104.95,3.13,88.8355387977716,104.95,3.13,30.635788081464568,56.01,3.99,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.3207080604976035e+17,80.60509567,20.05828095,9.6148,88.84,104.95,3.13,3.5
RA_80.603__DEC_20.057,3006.8105781922545,1799.819684030593,80.60318032699598,20.05693177871369,6.0,9.0,NO,22,94.45770735151682,88.8355387977716,104.95,3.13,88.8355387977716,104.95,3.13,30.635788081464568,56.01,3.99,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.3207080603238147e+17,80.60323756129,20.05908707844,13.531,88.84,104.95,3.13,3.5
RA_80.633DEC22.173,2735.3675063738424,672.905280331585,80.63330370750842,22.17266762067895,22.0,25.0,NO,114,197.870702437293,188.5136924320552,204.94,1.41,188.5136924320552,205.29,1.45,167.06120500551145,182.22,1.53,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.3460080633080562e+17,80.63320209,22.17082104,9.338,192.28,208.93,1.41,3.78
RA_80.633DEC22.173,2735.3675063738424,672.905280331585,80.63330370750842,22.17266762067895,22.0,25.0,NO,114,197.870702437293,188.5136924320552,204.94,1.41,188.5136924320552,205.29,1.45,167.06120500551145,182.22,1.53,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.3460080632849502e+17,80.63271842,22.17042241,9.3438,192.28,208.93,1.41,3.78
RA_80.633DEC22.173,2735.3675063738424,672.905280331585,80.63330370750842,22.17266762067895,22.0,25.0,NO,114,197.870702437293,188.5136924320552,204.94,1.41,188.5136924320552,205.29,1.45,167.06120500551145,182.22,1.53,3.5,2,68,SI (Rank 3),II/389/ps1_dr2,1.3460080633271594e+17,80.63341688,22.17124147,9.4743,192.28,208.93,1.41,3.78
RA_80.633DEC22.173,2735.3675063738424,672.905280331585,80.63330370750842,22.17266762067895,22.0,25.0,NO,114,197.870702437293,188.5136924320552,204.94,1.41,188.5136924320552,205.29,1.45,167.06120500551145,182.22,1.53,3.5,2,68,SI (Rank 4),II/389/ps1_dr2,1.3460080632562483e+17,80.6324625,22.1701378,11.7803,192.28,208.93,1.41,3.78
RA_80.633DEC22.173,2735.3675063738424,672.905280331585,80.63330370750842,22.17266762067895,22.0,25.0,NO,114,197.870702437293,188.5136924320552,204.94,1.41,188.5136924320552,205.29,1.45,167.06120500551145,182.22,1.53,3.5,2,68,SI (Rank 5),II/389/ps1_dr2,1.346008063373054e+17,80.63383564,22.17090452,13.5644,192.28,208.93,1.41,3.78
RA_80.633DEC22.173,2735.3675063738424,672.905280331585,80.63330370750842,22.17266762067895,22.0,25.0,NO,114,197.870702437293,188.5136924320552,204.94,1.41,188.5136924320552,205.29,1.45,167.06120500551145,182.22,1.53,3.5,2,68,SI (Rank 6),II/389/ps1_dr2,1.3460080631725389e+17,80.63157499,22.1692501,14.4074,192.28,208.93,1.41,3.78
RA_80.665DEC20.918,2871.764569841362,1346.9831085453245,80.664508925514,20.91736228522463,10.0,14.0,NO,114,105.46244190838009,104.02453676748316,117.13,1.22,104.02453676748316,117.13,1.22,73.43983286181793,78.20,1.35,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.3310080665667043e+17,80.66564701,20.9165224,9.659,104.02,117.13,1.22,3.5
RA_80.729DEC20.852,2847.4200816860894,1389.2468836505618,80.7290299453094,20.851856490527908,5.0,13.0,NO,113,84.6854686563643,86.57096442683748,90.17,1.24,86.57096442683748,90.17,1.24,44.28722402561288,41.44,1.45,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.330208072934208e+17,80.72934853,20.85013365,10.7497,86.57,90.17,1.24,3.5
RA_80.856DEC20.574,2817.4556558071954,1552.125005363488,80.85588372740068,20.57372667868427,15.0,19.0,NO,104,151.58748362668535,141.1562198212483,155.13,1.46,141.1562198212483,155.22,1.48,108.38955856846415,122.27,1.36,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.3268080856651818e+17,80.85669995,20.57263142,10.2288,141.16,155.12,1.46,3.5
RA_80.856DEC20.574,2817.4556558071954,1552.125005363488,80.85588372740068,20.57372667868427,15.0,19.0,NO,104,151.58748362668535,141.1562198212483,155.13,1.46,141.1562198212483,155.22,1.48,108.38955856846415,122.27,1.36,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.3268080856248818e+17,80.85638456,20.57296848,10.428,141.16,155.12,1.46,3.5
RA_80.856DEC20.574,2817.4556558071954,1552.125005363488,80.85588372740068,20.57372667868427,15.0,19.0,NO,104,151.58748362668535,141.1562198212483,155.13,1.46,141.1562198212483,155.22,1.48,108.38955856846415,122.27,1.36,3.5,2,68,SI (Rank 3),II/389/ps1_dr2,1.3268080856527854e+17,80.85655198,20.57342318,11.6939,141.16,155.12,1.46,3.5
RA_80.892DEC20.682,2786.0613136835573,1498.332517535035,80.89252109668122,20.68207527551528,7.0,14.0,NO,110,94.46086622170432,93.984376083619,98.33,1.12,93.984376083619,98.33,1.12,49.48933375172474,53.17,1.23,3.5,2,68,SI (Rank 1),II/389/ps1_dr2,1.3281080893239808e+17,80.89320384,20.68147639,10.3123,93.98,98.33,1.12,3.5
RA_80.892DEC20.682,2786.0613136835573,1498.332517535035,80.89252109668122,20.68207527551528,7.0,14.0,NO,110,94.46086622170432,93.984376083619,98.33,1.12,93.984376083619,98.33,1.12,49.48933375172474,53.17,1.23,3.5,2,68,SI (Rank 2),II/389/ps1_dr2,1.3282080897633277e+17,80.89767606393,20.68514954399,14.6342,93.98,98.33,1.12,3.5
RA_80.940DEC20.579,2774.7312464633324,1558.5394072733973,80.93979084747355,20.579331963588388,27.0,35.0,NO,105,297.08821449737536,279.5822689039353,300.72,2.28,279.5822689039353,302.69,2.37,248.5071596629068,279.89,2.13,3.631486108281372,2,68,SI (Rank 1),II/389/ps1_dr2,1.3269080940356536e+17,80.94049885,20.57923435,7.5783,291.93,309.28,2.10,4.18
RA_80.940DEC20.579,2774.7312464633324,1558.5394072733973,80.93979084747355,20.579331963588388,27.0,35.0,NO,105,297.08821449737536,279.5822689039353,300.72,2.28,279.5822689039353,302.69,2.37,248.5071596629068,279.89,2.13,3.631486108281372,2,68,SI (Rank 2),II/389/ps1_dr2,1.3269080940820562e+17,80.94084306,20.57929218,8.968,291.93,309.28,2.10,4.18
RA_80.940DEC20.579,2774.7312464633324,1558.5394072733973,80.93979084747355,20.579331963588388,27.0,35.0,NO,105,297.08821449737536,279.5822689039353,300.72,2.28,279.5822689039353,302.69,2.37,248.5071596629068,279.89,2.13,3.631486108281372,2,68,SI (Rank 3),II/389/ps1_dr2,1.3269080940986515e+17,80.9409422,20.57878099,12.6731,291.93,309.28,2.10,4.18
RA_80.978DEC20.398,2777.411051612632,1659.545770352602,80.97779208245956,20.398322774487777,30.0,33.0,NO,97,307.6783282866252,286.6469373067463,334.06,2.12,286.6469373067463,335.90,2.18,257.4772531680636,309.12,1.90,3.83637306990898,2,68,SI (Rank 1),II/389/ps1_dr2,1.3247080978600845e+17,80.97858049,20.39819617,9.5736,296.99,343.42,1.96,4.31
RA_80.978DEC20.398,2777.411051612632,1659.545770352602,80.97779208245956,20.398322774487777,30.0,33.0,NO,96,307.6783282866252,286.6469373067463,333.87,2.13,286.6469373067463,335.67,2.19,257.4772531680636,308.91,1.91,3.83637306990898,2,68,SI (Rank 2),II/389/ps1_dr2,1.32470809787451e+17,80.97876266536,20.39206498959,14.1196,296.99,343.27,1.98,4.31
RA_80.987__DEC_19.998,2820.9344223644425,1874.577665107044,80.9868160514678,19.99800769736168,34.0,30.0,NO,60,355.72976887259443,342.11935672666704,372.12,5.63,342.903745431648,375.47,5.69,315.4353415318882,354.03,5.59,4.258365085188041,2,68,SI (Rank 1),I/239/hip_main,25250.0,80.9878102181,19.9992498143,8.4,348.16,381.52,5.08,4.64
RA_80.987__DEC_19.998,2820.9344223644425,1874.577665107044,80.9868160514678,19.99800769736168,34.0,30.0,NO,60,355.72976887259443,342.11935672666704,372.12,5.63,342.903745431648,375.47,5.69,315.4353415318882,354.03,5.59,4.258365085188041,2,68,SI (Rank 2),II/389/ps1_dr2,1.3199080988257971e+17,80.98809093,19.99930473,9.0496,348.16,381.52,5.08,4.64
