# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:33:16.016
# DATE-END: 2025-01-20T22:33:17.085
# TSTART: 1737412396016.12
# TSTOP: 1737412397016.12
# DATE: 2025-01-20T22:33:19
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0906829425604
# DEC: 22.0165187788566
# EQUINOX: 2000.0
# CRVAL1: 83.0906829425604
# CRVAL2: 22.0165187788566
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00180856992692792
# CD1_2: 0.00025090406660255
# CD2_1: -0.000250721049425657
# CD2_2: -0.00180918122111493
# A_ORDER: 2
# A_0_2: -4.1131491782316e-07
# A_1_1: -1.05136401217972e-07
# A_2_0: -5.19358770116867e-08
# B_ORDER: 2
# B_0_2: -7.22475388901789e-08
# B_1_1: 2.2405585860599e-07
# B_2_0: -1.23715667865434e-07
# AP_ORDER: 2
# AP_0_0: 8.89658740484596e-07
# AP_0_1: 1.46377033783249e-07
# AP_0_2: 4.11313859181343e-07
# AP_1_0: -1.78517926305854e-08
# AP_1_1: 1.05136250819934e-07
# AP_2_0: 5.19346603221353e-08
# BP_ORDER: 2
# BP_0_0: 7.08286204501955e-09
# BP_0_1: 1.42964669582639e-08
# BP_0_2: 7.22489134582351e-08
# BP_1_0: -1.1251505635004e-08
# BP_1_1: -2.24057927611456e-07
# BP_2_0: 1.23715526841262e-07
# NOME_FILE_FITS: 20250120_223315.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_074.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.150__DEC_21.552,3052.6783679924324,1054.6712779361765,80.14953989368347,21.552396365850605,3.0,9.0,NO,63,64.67239139824956,72.36591423843471,87.66,1.45,72.36591423843471,87.66,1.45,14.793450762658916,27.64,1.73,3.5,2,74,SI (Rank 1),II/389/ps1_dr2,1.338608014951502e+17,80.14977951,21.5498968,11.7693,72.37,87.66,1.45,3.5
RA_80.150__DEC_21.552,3052.6783679924324,1054.6712779361765,80.14953989368347,21.552396365850605,3.0,9.0,NO,64,64.67239139824956,72.36591423843471,87.60,1.43,72.36591423843471,87.60,1.43,14.793450762658916,27.70,1.70,3.5,2,74,SI (Rank 2),II/389/ps1_dr2,1.3386080150082093e+17,80.14998839,21.55006801,12.515,72.37,87.60,1.43,3.5
RA_80.150__DEC_21.552,3052.6783679924324,1054.6712779361765,80.14953989368347,21.552396365850605,3.0,9.0,NO,64,64.67239139824956,72.36591423843471,87.60,1.43,72.36591423843471,87.60,1.43,14.793450762658916,27.70,1.70,3.5,2,74,SI (Rank 3),II/389/ps1_dr2,1.3386080149885064e+17,80.14996924,21.55005665,12.597,72.37,87.60,1.43,3.5
RA_80.461__DEC_20.935,2947.987641324401,1413.6475842712998,80.46103375551503,20.93473849099937,18.0,15.0,NO,115,177.74931337690657,157.90870797912214,149.91,1.46,157.90870797912214,150.06,1.49,127.81436725622255,116.20,1.54,3.5,2,74,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,160.02,151.50,1.49,3.62
RA_80.461__DEC_20.935,2947.987641324401,1413.6475842712998,80.46103375551503,20.93473849099937,18.0,15.0,NO,116,177.74931337690657,157.90870797912214,150.09,1.46,157.90870797912214,150.24,1.48,127.81436725622255,116.39,1.54,3.5,2,74,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,160.01,151.67,1.48,3.61
RA_80.494__DEC_22.956,2760.8231503720244,322.21120577962074,80.49322838193358,22.955550297951,32.0,34.0,NO,72,371.10911820181815,343.2538604777295,309.04,3.01,343.2538604777295,310.34,3.01,311.03967241427654,282.75,2.81,4.052747947362285,2,74,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,346.73,315.89,2.75,4.19
RA_80.494__DEC_22.956,2760.8231503720244,322.21120577962074,80.49322838193358,22.955550297951,32.0,34.0,NO,59,371.10911820181815,343.2538604777295,309.04,3.01,343.2538604777295,310.34,3.01,311.03967241427654,282.75,2.81,4.052747947362285,2,74,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,346.73,315.89,2.75,4.19
RA_80.494__DEC_22.956,2760.8231503720244,322.21120577962074,80.49322838193358,22.955550297951,32.0,34.0,NO,67,371.10911820181815,343.2538604777295,309.73,2.52,343.2538604777295,310.91,2.51,311.03967241427654,282.43,2.32,4.052747947362285,2,74,SI (Rank 3),II/389/ps1_dr2,1.3554080495605722e+17,80.4955215,22.95561822,13.1194,346.63,316.22,2.28,4.19
RA_80.494__DEC_22.956,2760.8231503720244,322.21120577962074,80.49322838193358,22.955550297951,32.0,34.0,NO,78,371.10911820181815,343.2538604777295,309.67,3.01,343.2538604777295,310.95,3.00,311.03967241427654,282.99,2.76,4.052747947362285,2,74,SI (Rank 4),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,346.72,316.47,2.75,4.19
RA_80.539__DEC_20.125,2976.349663911857,1858.1042027883163,80.54045059950327,20.1257740669539,20.0,17.0,NO,21,208.24954433032696,175.21032210976617,151.25,3.44,179.30011197464506,151.97,3.61,142.57198974423463,116.82,4.45,4.012248715720292,2,74,SI (Rank 1),II/389/ps1_dr2,1.3215080542017053e+17,80.541995,20.124842,10.3941,173.78,154.68,3.38,3.78
