# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:33:56.405
# DATE-END: 2025-01-20T22:33:57.464
# TSTART: 1737412436405.32
# TSTOP: 1737412437405.32
# DATE: 2025-01-20T22:33:59
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0909146143909
# DEC: 22.0162368004646
# EQUINOX: 2000.0
# CRVAL1: 83.0909146143909
# CRVAL2: 22.0162368004646
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00181388877215959
# CD1_2: 0.000208588378437104
# CD2_1: -0.00020843482072037
# CD2_2: -0.00181450189155236
# A_ORDER: 2
# A_0_2: -4.69600785187774e-08
# A_1_1: 1.83392401388489e-07
# A_2_0: 3.29504101591385e-08
# B_ORDER: 2
# B_0_2: -1.26123753308705e-07
# B_1_1: 1.17868700611657e-07
# B_2_0: -9.91148575008647e-08
# AP_ORDER: 2
# AP_0_0: 5.02549558005031e-08
# AP_0_1: 4.26683953075069e-08
# AP_0_2: 4.69600300708418e-08
# AP_1_0: -2.51229381017795e-08
# AP_1_1: -1.83393563892539e-07
# AP_2_0: -3.29502168382724e-08
# BP_ORDER: 2
# BP_0_0: -2.03473995430414e-07
# BP_0_1: 2.26442801310374e-08
# BP_0_2: 1.26123242718463e-07
# BP_1_0: -3.20681926882142e-08
# BP_1_1: -1.1786862176574e-07
# BP_2_0: 9.9115483926118e-08
# NOME_FILE_FITS: 20250120_223356.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_076.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_79.887__DEC_23.428,3045.50216078664,53.01140773123726,79.88739177610158,23.42840510562768,4.0,8.0,NO,1,87.66839897218532,86.06125146240463,86.06,NaN,86.06125146240463,86.06,NaN,24.325880657289087,24.33,NaN,3.5,2,76,SI (Rank 1),II/389/ps1_dr2,1.361107988979216e+17,79.88988397,23.42598839,14.1407,86.06,86.06,NaN,3.5
RA_80.184__DEC_22.830,2939.829790245547,398.3958286265898,80.18627140682493,22.8299987397626,5.0,9.0,NO,19,78.50924476813839,78.20756753722517,80.83,2.61,78.20756753722517,81.08,2.82,33.556424463707586,22.67,4.06,3.5,2,76,SI (Rank 1),II/389/ps1_dr2,1.3539080186698413e+17,80.18667401,22.82794179,10.3049,78.42,81.15,2.46,3.55
RA_80.184__DEC_22.830,2939.829790245547,398.3958286265898,80.18627140682493,22.8299987397626,5.0,9.0,NO,18,78.50924476813839,78.20756753722517,80.94,2.75,78.20756753722517,81.20,2.98,33.556424463707586,23.24,4.25,3.5,2,76,SI (Rank 2),II/389/ps1_dr2,1.3539080187081389e+17,80.18692055,22.82768065,10.987,78.53,81.51,2.62,3.58
RA_80.184__DEC_22.830,2939.829790245547,398.3958286265898,80.18627140682493,22.8299987397626,5.0,9.0,NO,18,78.50924476813839,78.20756753722517,80.94,2.75,78.20756753722517,81.20,2.98,33.556424463707586,23.24,4.25,3.5,2,76,SI (Rank 3),II/389/ps1_dr2,1.3539080186628378e+17,80.18668317,22.82758387,11.0817,78.53,81.51,2.62,3.58
RA_80.184__DEC_22.830,2939.829790245547,398.3958286265898,80.18627140682493,22.8299987397626,5.0,9.0,NO,19,78.50924476813839,78.20756753722517,80.83,2.61,78.20756753722517,81.08,2.82,33.556424463707586,22.67,4.06,3.5,2,76,SI (Rank 4),II/389/ps1_dr2,1.353908018718042e+17,80.18725443,22.82826548,11.3776,78.42,81.15,2.46,3.55
RA_80.453__DEC_23.287,2773.468060725118,168.52179979946268,80.45270855207909,23.28595397111058,8.0,9.0,NO,22,115.6690582955504,103.60663569590078,86.18,1.61,103.60663569590078,86.18,1.61,47.5137452844487,29.52,2.81,3.5,2,76,SI (Rank 1),I/239/hip_main,25051.0,80.453950214,23.2835172983,10.04,103.61,86.18,1.61,3.5
RA_80.453__DEC_23.287,2773.468060725118,168.52179979946268,80.45270855207909,23.28595397111058,8.0,9.0,NO,24,115.6690582955504,103.60663569590078,85.72,1.59,103.60663569590078,85.72,1.59,47.5137452844487,29.60,2.74,3.5,2,76,SI (Rank 2),II/389/ps1_dr2,1.3594080454200088e+17,80.45419118,23.28367234,10.4035,103.61,85.72,1.59,3.5
RA_80.461__DEC_20.935,2938.119277681993,1446.3537417972118,80.4612090242206,20.934791151427905,17.0,19.0,NO,115,172.6971175517009,156.2005621517946,149.91,1.46,156.2005621517946,150.06,1.49,126.32428480225757,116.20,1.54,3.5,2,76,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,158.0,151.50,1.49,3.62
RA_80.461__DEC_20.935,2938.119277681993,1446.3537417972118,80.4612090242206,20.934791151427905,17.0,19.0,NO,116,172.6971175517009,156.2005621517946,150.09,1.46,156.2005621517946,150.24,1.48,126.32428480225757,116.39,1.54,3.5,2,76,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,157.99,151.67,1.48,3.61
RA_80.494__DEC_22.956,2776.6562088265177,350.78170155589544,80.49375516799628,22.95550288927081,32.0,29.0,NO,72,354.36481486054896,326.6489407696508,309.04,3.01,329.37851673881096,310.34,3.01,293.51608841512126,282.75,2.81,4.165345001262138,2,76,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,329.98,315.89,2.75,4.19
